BU_CODE;WK_CODE;Gemeente;RES;Provincie;Aantal_woningen;Aantal_utiliteiten;Vraag_Aardgas;Vraag_MT_Warmte;Vraag_LT_Warmte;Vraag_ElektrischeWarmte;Vraag_Koude;Vraag_Elektriciteit;Vraag_Warmte_totaal;CO2_uitstoot_gas;CO2_uitstoot_elek;Maatschappelijke_kosten;nr_OrgEntity
'BU04020602';'WK040206';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';1066;47;24436.2889;0;5988.48724;0;0;11350.1029;30424.7762;0;0;2087030.97;5255
'BU04020603';'WK040206';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';1916;142;44172.7256;0;9188.80523;0;0;20049.0384;53361.5308;0;0;3399187.69;5256
'BU04020604';'WK040206';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';2251;84;52516.5386;0;8217.11375;0;0;24089.0534;60733.6524;0;0;3555764.39;5257
'BU04020605';'WK040206';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';2403;226;73540.6473;0;2640.70324;0;0;27487.8209;76181.3506;0;0;5310017.82;5258
'BU04020606';'WK040206';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';204;4;6239.79404;0;0;0;0;2256.76818;6239.79404;0;0;359454.821;5259
'BU04020701';'WK040207';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';890;38;29921.4561;0;1011.39007;0;0;10330.7014;30932.8462;0;0;2333936.06;5260
'BU04020702';'WK040207';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';767;82;24615.7487;0;0;0;0;8820.42387;24615.7487;0;0;1572222.11;5261
'BU04020703';'WK040207';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';3684;276;86125.8361;0;8475.68985;0;0;37709.6453;94601.526;0;0;5140787.05;5262
'BU04020704';'WK040207';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';9;2;471.756956;0;0;0;0;113.248489;471.756956;0;0;85951.8742;5263
'BU04020801';'WK040208';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';1827;86;54732.0968;0;2220.52369;0;0;21239.1696;56952.6205;0;0;3205067.09;5264
'BU04020901';'WK040209';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';12;22;574.024295;0;0;0;0;139.357705;574.024295;0;0;442038.672;5265
'BU04020902';'WK040209';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';0;5;0;0;0;0;0;0;0;0;0;63647.9291;5266
'BU04020903';'WK040209';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';19;35;740.6931;0;47.5219156;0;0;224.050045;788.215016;0;0;1064739;5267
'BU04020904';'WK040209';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';37;13;1859.26003;0;0;0;0;464.355685;1859.26003;0;0;376988.681;5268
'BU04020905';'WK040209';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';134;87;4559.80346;0;0;0;0;1495.26354;4559.80346;0;0;1227671.02;5269
'BU04020906';'WK040209';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';6;2;331.881863;0;0;0;0;76.3542881;331.881863;0;0;77778.6771;5270
'BU04020907';'WK040209';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';4;7;196.098689;0;0;0;0;44.7725197;196.098689;0;0;74347.4631;5271
'BU04060001';'WK040600';'Huizen';'Noord-Holland Zuid';'Noord-Holland';1673;229;53943.9686;0;2438.3297;0;0;18957.9282;56382.2983;0;0;4568052.28;5346
'BU04060002';'WK040600';'Huizen';'Noord-Holland Zuid';'Noord-Holland';1250;66;41720.922;0;0;0;0;14465.4984;41720.922;0;0;2733283.79;5347
'BU04060103';'WK040601';'Huizen';'Noord-Holland Zuid';'Noord-Holland';1008;34;36909.855;0;0;0;0;12186.4678;36909.855;0;0;2581485.87;5348
'BU04060204';'WK040602';'Huizen';'Noord-Holland Zuid';'Noord-Holland';94;2;5172.76544;0;0;0;0;1219.34091;5172.76544;0;0;486093.027;5349
'BU04060205';'WK040602';'Huizen';'Noord-Holland Zuid';'Noord-Holland';109;4;5300.10305;0;0;0;0;1393.3607;5300.10305;0;0;561868.032;5350
'BU04060206';'WK040602';'Huizen';'Noord-Holland Zuid';'Noord-Holland';149;16;8141.61749;0;0;0;0;1959.75331;8141.61749;0;0;1105210.54;5351
