BU_CODE;WK_CODE;Gemeente;RES;Provincie;WarmteAllocatieOptie;Aantal_WoningEQ;Aantal_woningen;Aantal_utiliteiten;Vraag_Aardgas;Vraag_MT_Warmte;Vraag_LT_Warmte;Vraag_ElektrischeWarmte;Vraag_Koude;Vraag_Elektriciteit;Vraag_Warmte_totaal;Vraag_Warmte_perhectare;CO2_reductie;Nat_abskosten;Nat_meerkosten;Nat_meerkost_CO2;CO2_uitstoot_gas;CO2_uitstoot_elek;Maatschappelijke_kosten;Aansl_aardgas;Aansl_eWP;Aansl_MT;Aansl_LT;Aansl_hWPgroengas;Aansl_HRgroengas;nr_OrgEntity
BU04020405;WK040204;Hilversum;Noord-Holland Zuid;Noord-Holland;;2421.75385;2277;144.753846;0;0;0;0;2;12;26;1149;5051;4518886;1864064;369;0;0;3292513.24;0;0;0;0;0;2706;5247
BU04020501;WK040205;Hilversum;Noord-Holland Zuid;Noord-Holland;;2060.36154;1437;623.361538;0;0;0;0;2;21;33;784;6747;6193306;2415419;358;0;0;5300734.1;0;0;0;0;0;1684;5248
BU04020502;WK040205;Hilversum;Noord-Holland Zuid;Noord-Holland;;675.9;624;51.9;0;0;0;0;3;13;36;176;1896;1821951;699097;369;0;0;1544427.53;0;0;0;0;0;675;5249
BU04020503;WK040205;Hilversum;Noord-Holland Zuid;Noord-Holland;;1620.23846;240;1380.23846;0;0;0;0;1;45;23;749;3449;4133978;557502;162;0;0;3349355.01;0;0;0;0;0;395;5250
BU04020504;WK040205;Hilversum;Noord-Holland Zuid;Noord-Holland;;121.176923;97;24.1769231;0;0;0;0;2;15;50;192;566;549269;196593;347;0;0;517264.416;0;0;0;0;0;101;5251
BU04020505;WK040205;Hilversum;Noord-Holland Zuid;Noord-Holland;;2147.09231;1933;214.092308;0;0;0;0;1;12;24;1214;4149;3723317;1487696;359;0;0;2718953.76;0;0;0;0;0;2142;5252
BU04020506;WK040205;Hilversum;Noord-Holland Zuid;Noord-Holland;;2.78461538;0;2.78461538;0;0;0;0;8;65;8;5;2;47307;55;28;0;0;50268.9533;0;0;0;0;0;2;5253
BU04020601;WK040206;Hilversum;Noord-Holland Zuid;Noord-Holland;;1559.46923;1200;359.469231;0;0;0;0;1;17;27;1522;3938;3495890;1369982;348;0;0;2809238.69;0;0;0;0;0;1311;5254
BU04020602;WK040206;Hilversum;Noord-Holland Zuid;Noord-Holland;;1288.54615;1066;222.546154;0;0;0;0;1;16;27;1501;3092;2788945;1117204;361;0;0;2212516.7;0;0;0;0;0;1113;5255
BU04020603;WK040206;Hilversum;Noord-Holland Zuid;Noord-Holland;;2268.59231;1916;352.592308;0;0;0;0;1;16;26;1266;4989;4528437;1694360;340;0;0;3491692.79;0;0;0;0;0;2058;5256
BU04020604;WK040206;Hilversum;Noord-Holland Zuid;Noord-Holland;;2463.03846;2251;212.038462;0;0;0;0;1;13;27;1350;5379;4656204;1814883;337;0;0;3551259.96;0;0;0;0;0;2335;5257
BU04020605;WK040206;Hilversum;Noord-Holland Zuid;Noord-Holland;;2858.4;2403;455.4;0;3;0;0;2;18;30;1127;7686;6715130;2582231;336;0;0;5442503.98;0;0;262.9;0;0;2366.1;5258
BU04020606;WK040206;Hilversum;Noord-Holland Zuid;Noord-Holland;;216.623077;204;12.6230769;0;0;0;0;2;12;30;358;415;441281;122583;295;0;0;359454.821;0;0;0;0;0;208;5259
BU04020701;WK040207;Hilversum;Noord-Holland Zuid;Noord-Holland;;1031.49231;890;141.492308;0;0;0;0;2;15;32;999;2931;2764964;1216759;415;0;0;2322982.8;0;0;0;0;0;928;5260
BU04020702;WK040207;Hilversum;Noord-Holland Zuid;Noord-Holland;;811.992308;767;44.9923077;0;0;0;0;2;14;31;1100;2160;1953502;887949;411;0;0;1572222.11;0;0;0;0;0;849;5261
BU04020703;WK040207;Hilversum;Noord-Holland Zuid;Noord-Holland;;3926.90769;3684;242.907692;0;0;0;0;1;12;25;1053;7633;6967436;2847818;373;0;0;5124973.66;0;0;0;0;0;3960;5262
BU04020704;WK040207;Hilversum;Noord-Holland Zuid;Noord-Holland;;20.1307692;9;11.1307692;0;0;0;0;2;38;37;30;64;93024;31731;493;0;0;85951.8742;0;0;0;0;0;11;5263
BU04020801;WK040208;Hilversum;Noord-Holland Zuid;Noord-Holland;;1889.7;1827;62.7;0;0;0;0;2;12;31;568;4395;4036749;1612735;367;0;0;3192410.71;0;0;0;0;0;1913;5264
BU04020901;WK040209;Hilversum;Noord-Holland Zuid;Noord-Holland;;93.4538462;12;81.4538462;0;0;0;0;4;36;23;3;238;453586;38425;161;0;0;442038.672;0;0;0;0;0;34;5265
BU04020902;WK040209;Hilversum;Noord-Holland Zuid;Noord-Holland;;15.5769231;0;15.5769231;0;0;0;0;5;43;20;4;26;67083;4064;157;0;0;63647.9291;0;0;0;0;0;5;5266
BU04020903;WK040209;Hilversum;Noord-Holland Zuid;Noord-Holland;;488.438462;19;469.438462;0;0;0;0;1;33;35;28;3207;1740209;414144;129;0;0;1603921.84;0;0;0;0;0;54;5267
