BU_CODE;I01_buurtcode;I02_buurtnaam;I03_wijkcode;I04_wijknaam;I05_gemeentecode;I06_gemeentenaam;I07_energieregionaam;I08_provincienaam;I09_aantal_woningen;I10_aantal_utiliteit;I11_woningequivalenten;I12_opp_woningen;I13_opp_utiliteit;Uitgesloten;Woning_H01_Vraag_Totaal;Woning_H02_Vraag_Ruimteverwarming;Woning_H03_Vraag_Tapwater;Woning_H04_Vraag_Ventilatie;Woning_H05_Vraag_Koude;Woning_H06_Vraag_Apparaten;Woning_H07_Vraag_perhectare;Woning_H08_Input_Totaal;Woning_H09_Input_Aardgas;Woning_H10_Input_Duurzaamgas;Woning_H11_Input_Elektriciteit;Woning_H12_Input_MTwarmte;Woning_H13_Input_LTwarmte;Woning_H14_Saldo_Omgevingswarmte;Woning_H19_Waarde_hernieuwbaar_gas;Woning_H21_CapaciteitsvraagE;Woning_A01_Aansl_aardgas;Woning_A02_Aansl_groengas;Woning_A03_Aansl_waterstof;Woning_A04_Aansl_HR;Woning_A05_Aansl_eWP_lucht;Woning_A05_Aansl_eWP_bodem;Woning_A06_Aansl_Rest70_collGGheater;Woning_A07_Aansl_Geo70_collGGheater;Woning_A08_Aansl_Rest30_eWPlucht;Woning_A09_Aansl_Rest30_colleWP70;Woning_A10_Aansl_WKO15_colleWP70;Woning_A11_Aansl_WKO15_colleWP50_beWP;Woning_A12_Aansl_WKO15_TEO15_colleWP70;Woning_A13_Aansl_hWP;Woning_A14_Aansl_h2WP;Woning_A15_Aansl_h2R;Woning_G01_Aansl_LT15_50;Woning_G02_Aansl_LT15_70;Woning_G03_Aansl_LT30_30;Woning_G04_Aansl_LT30_70;Woning_G05_Aansl_TEO;Woning_G06_Aansl_WKO;Woning_G07_Aansl_WijkWKK;Woning_G08_Aansl_BioWKK;Woning_G09_Aansl_BuurtWKO;Woning_G10_Aansl_Restwarmte;Woning_G11_Aansl_Geothermie;Woning_G12_Aansl_WaterstofHR;Woning_G13_Aansl_WaterstofWP;Woning_L01_Aansl_LabelAppp;Woning_L02_Aansl_LabelA;Woning_L03_Aansl_LabelB;Woning_L04_Aansl_LabelC;Woning_L05_Aansl_LabelD;Woning_L06_Aansl_LabelE;Woning_L07_Aansl_LabelF;Util_H01_Vraag_Totaal;Util_H02_Vraag_Ruimteverwarming;Util_H03_Vraag_Tapwater;Util_H04_Vraag_Ventilatie;Util_H05_Vraag_Koude;Util_H06_Vraag_Apparaten;Util_H07_Vraag_perhectare;Util_H08_Input_Totaal;Util_H09_Input_Aardgas;Util_H10_Input_Duurzaamgas;Util_H11_Input_Elektriciteit;Util_H12_Input_MTwarmte;Util_H13_Input_LTwarmte;Util_H14_Saldo_Omgevingswarmte;Util_H19_Waarde_hernieuwbaar_gas;Util_H21_CapaciteitsvraagE;Util_A01_Aansl_aardgas;Util_A02_Aansl_groengas;Util_A03_Aansl_waterstof;Util_A04_Aansl_HR;Util_A05_Aansl_eWP_lucht;Util_A05_Aansl_eWP_bodem;Util_A06_Aansl_Rest70_collGGheater;Util_A07_Aansl_Geo70_collGGheater;Util_A08_Aansl_Rest30_eWPlucht;Util_A09_Aansl_Rest30_colleWP70;Util_A10_Aansl_WKO15_colleWP70;Util_A11_Aansl_WKO15_colleWP50_beWP;Util_A12_Aansl_WKO15_TEO15_colleWP70;Util_A13_Aansl_hWP;Util_A14_Aansl_h2WP;Util_A15_Aansl_h2R;Util_G01_Aansl_LT15_50;Util_G02_Aansl_LT15_70;Util_G03_Aansl_LT30_30;Util_G04_Aansl_LT30_70;Util_G05_Aansl_TEO;Util_G06_Aansl_WKO;Util_G07_Aansl_WijkWKK;Util_G08_Aansl_BioWKK;Util_G09_Aansl_BuurtWKO;Util_G10_Aansl_Restwarmte;Util_G11_Aansl_Geothermie;Util_G12_Aansl_WaterstofHR;Util_G13_Aansl_WaterstofWP;Util_L01_Aansl_LabelAppp;Util_L02_Aansl_LabelA;Util_L03_Aansl_LabelB;Util_L04_Aansl_LabelC;Util_L05_Aansl_LabelD;Util_L06_Aansl_LabelE;Util_L07_Aansl_LabelF;H15_CO2_uitstoot;H16_Nat_meerkost;H17_Nat_meerkost_CO2;H18_Nat_meerkost_WEQ;nr_OrgEntity
BU03631000;BU03631000;Coenhaven/Mercuriushaven;WK036310;Westelijk Havengebied;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;7026;277;9945;583235;379377.35;False;177539;80726;26712;0;0;70102;745;177539;114720;0;72109;0;0;-9290;0;6;7026;0;0;7026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7022;0;0;0;0;0;0;265135;63860;2065;0;44746;154465;457;265135;64271;0;168455;0;0;32409;0;6612;277;0;0;277;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;0;186;3;0;40;0;10006;4541862;-699;4541862;126
BU03631001;BU03631001;Alfa-driehoek;WK036310;Westelijk Havengebied;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;4069;61;5166;337661;142572.85;False;102757;46686;15471;0;0;40600;1530;102757;66378;0;41762;0;0;-5383;0;3;4069;0;0;4069;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4067;0;0;0;0;0;0;103985;28237;883;0;17771;57094;717;103985;28377;0;62659;0;0;12948;0;1790;61;0;0;61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;39;7;0;2;0;5297;2318424;-588;2318424;127
BU03631100;BU03631100;Sloterdijk II;WK036311;Bedrijventerrein Sloterdijk;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;8;85;1408;688;181936.55;False;348;216;60;0;0;73;6;348;2805;0;10307;9541;0;-22305;0;12;8;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;143868;40639;925;0;23478;78826;899;143868;34060;0;77471;9541;0;22796;0;2744;85;0;0;85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;56;4;0;20;0;2273;841151;-11181;841151;134
BU03631105;BU03631105;Teleport;WK036311;Bedrijventerrein Sloterdijk;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;5645;447;10656;448578;651391.2;False;141069;62516;23279;0;0;55274;1004;141069;81661;0;180235;151649;0;-272476;0;908;5645;0;0;5645;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5040;353;60;0;0;0;0;508349;169852;5608;0;87752;245136;2054;508349;116274;0;275451;151649;0;-35025;0;18107;447;0;0;447;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;424;14;0;1;0;14733;4571749;-3279;4571749;138
BU03631200;BU03631200;Houthavens West;WK036312;Houthavens;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;1265;66;1819;131503;71942.15;False;34929;14635;9739;0;0;10555;808;34929;24868;0;14505;5212;0;-9656;0;1898;1265;0;0;1265;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;939;1;0;0;0;0;41369;8441;709;0;8300;23919;303;41369;9144;0;27694;5212;0;-682;0;1799;66;0;0;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;59;0;0;0;0;2052;2386290;8067;2386290;141
BU03631305;BU03631305;Spaarndammerbuurt Noordwest;WK036313;Spaarndammer- en Zeeheldenbuurt;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;1074;6;1158;71680;10897;False;36176;18961;8206;93;0;8916;2278;36176;29628;0;9283;0;0;-2735;0;1611;1074;0;0;1074;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;76;103;144;218;153;87;8223;3950;388;0;2711;1173;364;8223;4337;0;2006;0;0;1879;0;311;6;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;2;0;1899;1191141;4190;1191141;148
BU03631306;BU03631306;Westergasfabriek;WK036313;Spaarndammer- en Zeeheldenbuurt;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;0;41;176;0;22763;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20725;9763;444;0;4195;6323;433;20725;10004;0;7628;0;0;3093;0;606;41;0;0;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;7;0;0;0;0;559;520939;3526;520939;149
BU03631307;BU03631307;Overbraker Binnenpolder;WK036313;Spaarndammer- en Zeeheldenbuurt;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;1951;19;2307;162156;46204.65;False;49395;22488;7441;0;0;19466;474;49395;28497;0;18126;6114;0;-3343;0;8;1951;0;0;1951;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1946;0;0;0;1;0;0;31053;6634;304;0;5602;18513;110;31053;7366;0;18291;6114;0;-718;0;473;19;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;4;1;0;3;0;2167;899553;-467;899553;150
BU03633600;BU03633600;Woon- en Groengebied Sloterdijk;WK036336;Sloterdijk;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;226;14;650;17195;55018;False;7581;4303;1359;2;0;1918;108;7581;6025;0;1984;0;0;-428;0;339;226;0;0;226;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;16;152;21;4;1;44864;14622;608;0;9035;20598;292;44864;14905;0;23429;0;0;6531;0;1568;14;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;4;0;2;0;1170;1471566;4146;1471566;235
BU03633601;BU03633601;Bedrijventerrein Sloterdijk I;WK036336;Sloterdijk;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;8249;115;10980;684878;354964;False;208521;94809;31407;0;0;82306;1852;208521;134783;0;84663;0;0;-10925;0;21;8249;0;0;8249;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8235;0;1;1;1;0;0;290677;106740;2296;0;42903;138738;1600;290677;105823;0;152242;0;0;32612;0;5251;115;0;0;115;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;49;15;0;23;0;13451;5307881;-706;5307881;236
