BU_CODE;WK_CODE;Gemeente;RES;Provincie;Aantal_woningen;Aantal_utiliteiten;Vraag_Aardgas;Vraag_MT_Warmte;Vraag_LT_Warmte;Vraag_ElektrischeWarmte;Vraag_Koude;Vraag_Elektriciteit;Vraag_Warmte_totaal;CO2_uitstoot_gas;CO2_uitstoot_elek;Maatschappelijke_kosten;nr_OrgEntity
'BU04020602';'WK040206';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';1066;47;30780.2314;0;0;0;0;11529.3354;30780.2314;0;0;2212516.7;5255
'BU04020603';'WK040206';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';1916;142;54015.4693;0;0;0;0;20384.642;54015.4693;0;0;3491692.79;5256
'BU04020604';'WK040206';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';2251;84;61636.3587;0;0;0;0;24391.1309;61636.3587;0;0;3551259.96;5257
'BU04020605';'WK040206';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';2403;226;0;72876.8903;0;0;0;25040.034;72876.8903;0;0;6677814.94;5258
'BU04020606';'WK040206';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';204;4;6239.79404;0;0;0;0;2256.76818;6239.79404;0;0;359454.821;5259
'BU04020701';'WK040207';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';890;38;31019.7828;0;0;0;0;10359.4395;31019.7828;0;0;2322982.8;5260
'BU04020702';'WK040207';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';767;82;24615.7487;0;0;0;0;8820.42387;24615.7487;0;0;1572222.11;5261
'BU04020703';'WK040207';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';3684;276;0;89337.6817;0;0;0;34901.5488;89337.6817;0;0;7046604.27;5262
'BU04020704';'WK040207';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';9;2;471.756956;0;0;0;0;113.248489;471.756956;0;0;85951.8742;5263
'BU04020801';'WK040208';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';1827;86;0;54132.8464;0;0;0;19109.7797;54132.8464;0;0;3794811.76;5264
'BU04020901';'WK040209';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';12;22;574.024295;0;0;0;0;139.357705;574.024295;0;0;442038.672;5265
'BU04020902';'WK040209';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';0;5;0;0;0;0;0;0;0;0;0;63647.9291;5266
'BU04020903';'WK040209';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';19;35;788.967736;0;0;0;0;225.158845;788.967736;0;0;1603921.84;5267
'BU04020904';'WK040209';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';37;13;1859.26003;0;0;0;0;464.355685;1859.26003;0;0;376988.681;5268
'BU04020905';'WK040209';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';134;87;4559.80346;0;0;0;0;1495.26354;4559.80346;0;0;1410634.74;5269
'BU04020906';'WK040209';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';6;2;331.881863;0;0;0;0;76.3542881;331.881863;0;0;77778.6771;5270
'BU04020907';'WK040209';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';4;7;196.098689;0;0;0;0;44.7725197;196.098689;0;0;74347.4631;5271
'BU04060001';'WK040600';'Huizen';'Noord-Holland Zuid';'Noord-Holland';1673;229;0;53839.9525;0;0;0;17161.0473;53839.9525;0;0;5090262.17;5346
'BU04060002';'WK040600';'Huizen';'Noord-Holland Zuid';'Noord-Holland';1250;66;0;39544.1226;0;0;0;13160.7432;39544.1226;0;0;1697994.26;5347
'BU04060103';'WK040601';'Huizen';'Noord-Holland Zuid';'Noord-Holland';1008;34;0;35333.6733;0;0;0;10932.8989;35333.6733;0;0;2931782.17;5348
'BU04060204';'WK040602';'Huizen';'Noord-Holland Zuid';'Noord-Holland';94;2;0;5123.39028;0;0;0;1031.85291;5123.39028;0;0;351758.41;5349
'BU04060205';'WK040602';'Huizen';'Noord-Holland Zuid';'Noord-Holland';109;4;5300.10305;0;0;0;0;1393.3607;5300.10305;0;0;561868.032;5350
'BU04060206';'WK040602';'Huizen';'Noord-Holland Zuid';'Noord-Holland';149;16;8141.61749;0;0;0;0;1959.75331;8141.61749;0;0;1305131.98;5351
'BU04060307';'WK040603';'Huizen';'Noord-Holland Zuid';'Noord-Holland';32;3;1619.70548;0;0;0;0;405.191943;1619.70548;0;0;172580.99;5352
'BU04060308';'WK040603';'Huizen';'Noord-Holland Zuid';'Noord-Holland';63;6;0;3299.90893;0;0;0;685.609931;3299.90893;0;0;224838.796;5353
'BU04060327';'WK040603';'Huizen';'Noord-Holland Zuid';'Noord-Holland';7;2;371.472758;0;0;0;0;87.7116662;371.472758;0;0;64771.9585;5354
'BU04060328';'WK040603';'Huizen';'Noord-Holland Zuid';'Noord-Holland';1;1;58.8603755;0;0;0;0;13.0402554;58.8603755;0;0;8799.471;5355
'BU04060329';'WK040603';'Huizen';'Noord-Holland Zuid';'Noord-Holland';4;3;163.316272;0;0;0;0;49.5992262;163.316272;0;0;73276.2885;5356
'BU04060330';'WK040603';'Huizen';'Noord-Holland Zuid';'Noord-Holland';42;2;0;1863.11935;0;0;0;461.824952;1863.11935;0;0;246493.787;5357
'BU04060409';'WK040604';'Huizen';'Noord-Holland Zuid';'Noord-Holland';244;3;0;10917.9734;0;0;0;2738.03325;10917.9734;0;0;481541.081;5358
'BU04060410';'WK040604';'Huizen';'Noord-Holland Zuid';'Noord-Holland';980;50;0;34188.8052;0;0;0;10091.7317;34188.8052;0;0;2872000.58;5359
'BU04060511';'WK040605';'Huizen';'Noord-Holland Zuid';'Noord-Holland';359;19;0;9635.8638;0;0;0;3359.15216;9635.8638;0;0;615164.431;5360
'BU04060512';'WK040605';'Huizen';'Noord-Holland Zuid';'Noord-Holland';34;31;724.66823;0;0;0;0;315.582667;724.66823;0;0;468031.732;5361
'BU04060513';'WK040605';'Huizen';'Noord-Holland Zuid';'Noord-Holland';232;128;6062.04313;0;0;0;0;2476.54696;6062.04313;0;0;2767344.66;5362
'BU04060614';'WK040606';'Huizen';'Noord-Holland Zuid';'Noord-Holland';1331;97;34200.909;0;0;0;0;13875.504;34200.909;0;0;2306866.98;5363
'BU04060615';'WK040606';'Huizen';'Noord-Holland Zuid';'Noord-Holland';559;45;0;15882.4181;0;0;0;5572.56233;15882.4181;0;0;648927.311;5364
'BU04060716';'WK040607';'Huizen';'Noord-Holland Zuid';'Noord-Holland';1599;289;0;45020.3758;0;0;0;16675.7214;45020.3758;0;0;3697756.8;5365
'BU04060817';'WK040608';'Huizen';'Noord-Holland Zuid';'Noord-Holland';1453;168;0;40739.1061;0;0;0;15313.3135;40739.1061;0;0;2983524.21;5366
'BU04060818';'WK040608';'Huizen';'Noord-Holland Zuid';'Noord-Holland';1366;80;37497.4427;0;0;0;0;14515.3255;37497.4427;0;0;2200740.09;5367
'BU04060919';'WK040609';'Huizen';'Noord-Holland Zuid';'Noord-Holland';1409;60;0;37030.4566;0;0;0;13669.8086;37030.4566;0;0;2685904.73;5368
'BU04061020';'WK040610';'Huizen';'Noord-Holland Zuid';'Noord-Holland';750;28;20636.8625;0;0;0;0;7908.41148;20636.8625;0;0;1100738.04;5369
'BU04061021';'WK040610';'Huizen';'Noord-Holland Zuid';'Noord-Holland';221;12;6881.90421;0;0;0;0;2582.13341;6881.90421;0;0;367991.6;5370
'BU04061123';'WK040611';'Huizen';'Noord-Holland Zuid';'Noord-Holland';1478;35;0;40918.3228;0;0;0;14856.8853;40918.3228;0;0;2810500.83;5371
'BU04061124';'WK040611';'Huizen';'Noord-Holland Zuid';'Noord-Holland';821;58;20670.7289;0;0;0;0;7894.68589;20670.7289;0;0;1128667.97;5372
'BU04061125';'WK040611';'Huizen';'Noord-Holland Zuid';'Noord-Holland';593;8;15986.6145;0;0;0;0;6167.4156;15986.6145;0;0;857190.717;5373
'BU04061226';'WK040612';'Huizen';'Noord-Holland Zuid';'Noord-Holland';801;10;26270.0698;0;0;0;0;8674.38423;26270.0698;0;0;1135130.21;5374
'BU04061231';'WK040612';'Huizen';'Noord-Holland Zuid';'Noord-Holland';120;0;0;4315.62391;0;0;0;1174.99278;4315.62391;0;0;213924.79;5375
'BU04170320';'WK041703';'Laren';'Noord-Holland Zuid';'Noord-Holland';995;374;36446.4809;0;0;0;0;11437.819;36446.4809;0;0;4151636.06;5390
'BU04170321';'WK041703';'Laren';'Noord-Holland Zuid';'Noord-Holland';5;6;224.842473;0;0;0;0;56.4970997;224.842473;0;0;556979.524;5391
'BU04170322';'WK041703';'Laren';'Noord-Holland Zuid';'Noord-Holland';569;52;19040.1541;0;0;0;0;6435.909;19040.1541;0;0;1346539.59;5392
'BU04170323';'WK041703';'Laren';'Noord-Holland Zuid';'Noord-Holland';512;41;0;21243.7254;0;0;0;5579.7808;21243.7254;0;0;1895781.75;5393
'BU04170324';'WK041703';'Laren';'Noord-Holland Zuid';'Noord-Holland';164;5;5089.99046;0;0;0;0;1728.96427;5089.99046;0;0;229026.186;5394
'BU04170325';'WK041703';'Laren';'Noord-Holland Zuid';'Noord-Holland';154;3;0;8302.76062;0;0;0;1684.79218;8302.76062;0;0;696214.013;5395
'BU04170326';'WK041703';'Laren';'Noord-Holland Zuid';'Noord-Holland';109;7;6015.00664;0;0;0;0;1376.23132;6015.00664;0;0;571677.244;5396
'BU04170327';'WK041703';'Laren';'Noord-Holland Zuid';'Noord-Holland';246;10;11125.6833;0;0;0;0;2957.26095;11125.6833;0;0;1060334.04;5397
