BU_CODE;I01_buurtcode;I02_buurtnaam;I03_wijkcode;I04_wijknaam;I05_gemeentecode;I06_gemeentenaam;I07_energieregionaam;I08_provincienaam;I09_aantal_woningen;I10_aantal_utiliteit;I11_woningequivalenten;I12_opp_woningen;I13_opp_utiliteit;Uitgesloten;Woning_H01_Vraag_Totaal;Woning_H02_Vraag_Ruimteverwarming;Woning_H03_Vraag_Tapwater;Woning_H04_Vraag_Ventilatie;Woning_H05_Vraag_Koude;Woning_H06_Vraag_Apparaten;Woning_H07_Vraag_perhectare;Woning_H08_Input_Totaal;Woning_H09_Input_Aardgas;Woning_H10_Input_Duurzaamgas;Woning_H11_Input_Elektriciteit;Woning_H12_Input_MTwarmte;Woning_H13_Input_LTwarmte;Woning_H14_Saldo_Omgevingswarmte;Woning_H15_CO2_uitstoot;Woning_H16_Nat_meerkost;Woning_H17_Nat_meerkost_CO2;Woning_H18_Nat_meerkost_WEQ;Woning_H19_Waarde_hernieuwbaar_gas;Woning_A01_Aansl_aardgas;Woning_A02_Aansl_eWP;Woning_A03_Aansl_MT;Woning_A04_Aansl_LT;Woning_A05_Aansl_hWP_HG;Woning_A06_Aansl_HR_HG;Woning_A10_Aansl_LT_WKO;Woning_A11_Aansl_LT_LT15_30;Woning_A12_Aansl_LT_LT15_50;Woning_A13_Aansl_LT_LT15_70;Woning_A14_Aansl_LT_LT30_30;Woning_A15_Aansl_LT_LT30_50;Woning_A16_Aansl_LT_LT30_70;Woning_A17_Aansl_LT_TEO;Woning_A18_Aansl_LT_BuurtWKO;Woning_A19_Aansl_MT_Restwarmte;Woning_A20_Aansl_MT_Geothermie;Woning_A21_Aansl_MT_WijkWKK;Woning_A22_Aansl_MT_BioWKK;Woning_A23_Aansl_H2;Woning_A30_Aansl_LabelA;Woning_A31_Aansl_LabelB;Woning_A32_Aansl_LabelC;Woning_A33_Aansl_LabelD;Woning_A34_Aansl_LabelE;Woning_A35_Aansl_LabelF;Util_H01_Vraag_Totaal;Util_H02_Vraag_Ruimteverwarming;Util_H03_Vraag_Tapwater;Util_H04_Vraag_Ventilatie;Util_H05_Vraag_Koude;Util_H06_Vraag_Apparaten;Util_H07_Vraag_perhectare;Util_H08_Input_Totaal;Util_H09_Input_Aardgas;Util_H10_Input_Duurzaamgas;Util_H11_Input_Elektriciteit;Util_H12_Input_MTwarmte;Util_H13_Input_LTwarmte;Util_H14_Saldo_Omgevingswarmte;Util_H15_CO2_uitstoot;Util_H16_Nat_meerkost;Util_H17_Nat_meerkost_CO2;Util_H18_Nat_meerkost_WEQ;Util_H19_Waarde_hernieuwbaar_gas;Util_A01_Aansl_aardgas;Util_A02_Aansl_eWP;Util_A03_Aansl_MT;Util_A04_Aansl_LT;Util_A05_Aansl_hWP_HG;Util_A06_Aansl_HR_HG;Util_A10_Aansl_LT_WKO;Util_A11_Aansl_LT_LT15_30;Util_A12_Aansl_LT_LT15_50;Util_A13_Aansl_LT_LT15_70;Util_A14_Aansl_LT_LT30_30;Util_A15_Aansl_LT_LT30_50;Util_A16_Aansl_LT_LT30_70;Util_A17_Aansl_LT_TEO;Util_A18_Aansl_LT_BuurtWKO;Util_A19_Aansl_MT_Restwarmte;Util_A20_Aansl_MT_Geothermie;Util_A21_Aansl_MT_WijkWKK;Util_A22_Aansl_MT_BioWKK;Util_A23_Aansl_H2;nr_OrgEntity
BU01640503;BU01640503;Bedrijventerrein Twentekanaal-Noord II;WK016405;Wijk 05 Berflo Es;GM0164;Hengelo;Twente;Overijssel;26;33;198;3564;22280;False;8;5;1;0;0;1;38;8;0;20;3;0;0;-16;0;23465;80;119;0;0;0;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;26;2;2;1;21;0;0;32;13;0;0;3;14;82;32;0;20;18;0;0;-6;0;23465;80;119;0;0;0;0;0;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;33;250
BU01640504;BU01640504;Veldwijk-Noord;WK016405;Wijk 05 Berflo Es;GM0164;Hengelo;Twente;Overijssel;551;40;628;44232;9952;False;31;17;6;0;0;8;526;31;0;27;9;0;0;-5;0;-22596;-22;-36;0;0;0;0;0;0;551;0;0;0;0;0;0;0;0;0;0;0;0;0;551;138;39;222;152;0;0;7;2;0;0;1;4;55;7;0;27;5;0;0;-25;0;-22596;-22;-36;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;40;251
BU01640505;BU01640505;Veldwijk-Zuid;WK016405;Wijk 05 Berflo Es;GM0164;Hengelo;Twente;Overijssel;476;34;586;48487;14187;False;35;20;7;0;0;8;223;35;0;33;10;0;0;-8;0;6880;5;12;0;0;0;0;0;0;476;0;0;0;0;0;0;0;0;0;0;0;0;0;476;89;107;51;229;0;0;16;5;0;0;3;8;41;16;0;33;11;0;0;-28;0;6880;5;12;0;0;0;0;0;0;34;0;0;0;0;0;0;0;0;0;0;0;0;0;34;252
BU01640506;BU01640506;Boeldershoek;WK016405;Wijk 05 Berflo Es;GM0164;Hengelo;Twente;Overijssel;7;4;13;1099;682;False;38;28;5;0;0;5;4;38;0;44;8;0;0;-14;0;58;1;5;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;1;1;5;0;0;43;10;0;0;7;25;1;43;0;44;30;0;0;-31;0;58;1;5;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;4;253
BU01640600;BU01640600;Bedrijventerrein Twentekanaal-Zuid I;WK016406;Wijk 06 Wilderinkshoek;GM0164;Hengelo;Twente;Overijssel;26;124;1131;4361;143588;False;2;1;0;0;0;0;7;2;0;17;2;0;0;-18;0;507523;368;449;0;0;0;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;26;1;5;18;2;0;0;47;15;1;0;5;26;84;47;0;17;30;0;0;0;0;507523;368;449;0;0;0;0;0;0;124;0;0;0;0;0;0;0;0;0;0;0;0;0;124;254
BU01640601;BU01640601;Tuindorp t Lansink;WK016406;Wijk 06 Wilderinkshoek;GM0164;Hengelo;Twente;Overijssel;957;159;2303;105523;174864;False;20;12;4;0;0;4;605;20;0;28;7;0;0;-15;0;622133;123;270;0;0;0;0;0;0;957;0;0;0;0;0;0;0;0;0;0;0;0;0;957;73;149;37;698;0;0;34;11;1;0;4;17;458;34;0;28;22;0;0;-16;0;622133;123;270;0;0;0;0;0;0;159;0;0;0;0;0;0;0;0;0;0;0;0;0;159;255
BU01640602;BU01640602;Tuindorp-Zuid;WK016406;Wijk 06 Wilderinkshoek;GM0164;Hengelo;Twente;Overijssel;1499;209;1701;155124;26229;False;40;24;7;0;0;8;954;40;0;35;10;0;0;-5;0;-104017;-25;-61;0;0;0;0;0;0;1499;0;0;0;0;0;0;0;0;0;0;0;0;0;1499;62;134;123;1180;0;0;10;2;0;0;1;6;72;10;0;35;8;0;0;-33;0;-104017;-25;-61;0;0;0;0;0;0;209;0;0;0;0;0;0;0;0;0;0;0;0;0;209;256
BU01640603;BU01640603;Bedrijventerrein Twentekanaal-Noord I;WK016406;Wijk 06 Wilderinkshoek;GM0164;Hengelo;Twente;Overijssel;11;48;172;1757;20875;False;4;3;1;0;0;1;15;4;0;20;3;0;0;-20;0;74045;216;432;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;3;8;0;0;53;17;1;0;7;29;82;53;0;20;34;0;0;-1;0;74045;216;432;0;0;0;0;0;0;48;0;0;0;0;0;0;0;0;0;0;0;0;0;48;257
BU01640604;BU01640604;Nijverheid;WK016406;Wijk 06 Wilderinkshoek;GM0164;Hengelo;Twente;Overijssel;2266;254;2421;235246;20111;False;42;26;8;0;0;9;629;42;0;36;10;0;0;-4;0;-323457;-59;-134;0;0;0;0;0;0;2266;0;0;0;0;0;0;0;0;0;0;0;0;0;2266;104;290;564;1308;0;0;4;1;0;0;1;3;21;4;0;36;4;0;0;-35;0;-323457;-59;-134;0;0;0;0;0;0;254;0;0;0;0;0;0;0;0;0;0;0;0;0;254;258
BU01640605;BU01640605;Vikkerhoek;WK016406;Wijk 06 Wilderinkshoek;GM0164;Hengelo;Twente;Overijssel;338;68;372;47851;4386;False;46;29;8;0;0;9;263;46;0;40;11;0;0;-5;0;-69226;-73;-186;0;0;0;0;0;0;338;0;0;0;0;0;0;0;0;0;0;0;0;0;338;9;11;194;124;0;0;7;2;0;0;1;4;14;7;0;40;6;0;0;-39;0;-69226;-73;-186;0;0;0;0;0;0;68;0;0;0;0;0;0;0;0;0;0;0;0;0;68;259
