BU_CODE;I01_buurtcode;I02_buurtnaam;I03_wijkcode;I04_wijknaam;I05_gemeentecode;I06_gemeentenaam;I07_energieregionaam;I08_provincienaam;I09_aantal_woningen;I10_aantal_utiliteit;I11_woningequivalenten;I12_opp_woningen;I13_opp_utiliteit;Uitgesloten;Woning_H01_Vraag_Totaal;Woning_H02_Vraag_Ruimteverwarming;Woning_H03_Vraag_Tapwater;Woning_H04_Vraag_Ventilatie;Woning_H05_Vraag_Koude;Woning_H06_Vraag_Apparaten;Woning_H07_Vraag_perhectare;Woning_H08_Input_Totaal;Woning_H09_Input_Aardgas;Woning_H10_Input_Duurzaamgas;Woning_H11_Input_Elektriciteit;Woning_H12_Input_MTwarmte;Woning_H13_Input_LTwarmte;Woning_H14_Saldo_Omgevingswarmte;Woning_H19_Waarde_hernieuwbaar_gas;Woning_H21_CapaciteitsvraagE;Woning_A01_Aansl_aardgas;Woning_A02_Aansl_eWP;Woning_A03_Aansl_MT;Woning_A04_Aansl_LT;Woning_A05_Aansl_hWP_HG;Woning_A06_Aansl_HR_HG;Woning_A10_Aansl_LT_WKO;Woning_A11_Aansl_LT_LT15_30;Woning_A12_Aansl_LT_LT15_50;Woning_A13_Aansl_LT_LT15_70;Woning_A14_Aansl_LT_LT30_30;Woning_A15_Aansl_LT_LT30_50;Woning_A16_Aansl_LT_LT30_70;Woning_A17_Aansl_LT_TEO;Woning_A18_Aansl_LT_BuurtWKO;Woning_A19_Aansl_MT_Restwarmte;Woning_A20_Aansl_MT_Geothermie;Woning_A21_Aansl_MT_WijkWKK;Woning_A22_Aansl_MT_BioWKK;Woning_A23_Aansl_H2;Woning_A30_Aansl_LabelA;Woning_A31_Aansl_LabelB;Woning_A32_Aansl_LabelC;Woning_A33_Aansl_LabelD;Woning_A34_Aansl_LabelE;Woning_A35_Aansl_LabelF;Util_H01_Vraag_Totaal;Util_H02_Vraag_Ruimteverwarming;Util_H03_Vraag_Tapwater;Util_H04_Vraag_Ventilatie;Util_H05_Vraag_Koude;Util_H06_Vraag_Apparaten;Util_H07_Vraag_perhectare;Util_H08_Input_Totaal;Util_H09_Input_Aardgas;Util_H10_Input_Duurzaamgas;Util_H11_Input_Elektriciteit;Util_H12_Input_MTwarmte;Util_H13_Input_LTwarmte;Util_H14_Saldo_Omgevingswarmte;Util_H19_Waarde_hernieuwbaar_gas;Util_H21_CapaciteitsvraagE;Util_A01_Aansl_aardgas;Util_A02_Aansl_eWP;Util_A03_Aansl_MT;Util_A04_Aansl_LT;Util_A05_Aansl_hWP_HG;Util_A06_Aansl_HR_HG;Util_A10_Aansl_LT_WKO;Util_A11_Aansl_LT_LT15_30;Util_A12_Aansl_LT_LT15_50;Util_A13_Aansl_LT_LT15_70;Util_A14_Aansl_LT_LT30_30;Util_A15_Aansl_LT_LT30_50;Util_A16_Aansl_LT_LT30_70;Util_A17_Aansl_LT_TEO;Util_A18_Aansl_LT_BuurtWKO;Util_A19_Aansl_MT_Restwarmte;Util_A20_Aansl_MT_Geothermie;Util_A21_Aansl_MT_WijkWKK;Util_A22_Aansl_MT_BioWKK;Util_A23_Aansl_H2;Util_A30_Aansl_LabelA;Util_A31_Aansl_LabelB;Util_A32_Aansl_LabelC;Util_A33_Aansl_LabelD;Util_A34_Aansl_LabelE;Util_A35_Aansl_LabelF;H15_CO2_uitstoot;H16_Nat_meerkost;H17_Nat_meerkost_CO2;H18_Nat_meerkost_WEQ;nr_OrgEntity
BU01640604;BU01640604;Nijverheid;WK016406;Wijk 06 Wilderinkshoek;GM0164;Hengelo;Twente;Overijssel;2266;254;2421;235246;20111;False;95055;53851;18165;1400;0;21639;565;95055;77010;0;23963;0;0;-5918;0;3399;0;0;2266;0;0;0;0;0;0;0;0;0;0;0;0;0;2266;0;0;0;66;2191;0;0;0;0;10803;2486;131;0;1344;6842;21;10803;2573;0;7293;0;0;938;0;573;0;0;254;0;0;0;0;0;0;0;0;0;0;0;0;0;254;0;0;0;0;254;0;0;0;0;4517;1277779;1050;1277779;258
BU01640605;BU01640605;Vikkerhoek;WK016406;Wijk 06 Wilderinkshoek;GM0164;Hengelo;Twente;Overijssel;338;68;372;47851;4386;False;16339;9893;2804;310;0;3332;243;16339;13406;0;3813;0;0;-880;0;507;0;0;338;0;0;0;0;0;0;0;0;0;0;0;0;0;338;0;0;0;5;329;0;0;0;0;2721;670;45;0;531;1474;14;2721;707;0;1643;0;0;370;0;125;0;0;68;0;0;0;0;0;0;0;0;0;0;0;0;0;68;0;0;0;0;68;0;0;0;0;805;271050;1270;271050;259
BU01640606;BU01640606;Bedrijventerrein Zeggershoek;WK016406;Wijk 06 Wilderinkshoek;GM0164;Hengelo;Twente;Overijssel;3;20;123;526;15506;False;160;103;26;2;0;29;2;160;135;0;32;0;0;-8;0;5;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;3;0;0;0;0;7133;2358;68;0;778;3930;33;7133;2362;0;4200;0;0;572;0;442;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;20;0;0;0;0;146;-24677;-14071;-24677;260
BU01640700;BU01640700;Bedrijventerrein Westermaat-Zuidwest;WK016407;Wijk 07 Woolde;GM0164;Hengelo;Twente;Overijssel;53;183;1264;9039;157402;False;2868;1837;506;31;0;494;19;2868;2469;0;554;0;0;-155;0;80;0;0;53;0;0;0;0;0;0;0;0;0;0;0;0;0;53;0;0;0;1;52;0;0;0;0;98079;26127;626;0;9827;61499;217;98079;25991;0;64856;0;0;7232;0;4486;0;0;183;0;0;0;0;0;0;0;0;0;0;0;0;0;183;0;0;0;0;183;0;0;0;0;1675;-230156;-2005;-230156;261
BU01640701;BU01640701;Woolde;WK016407;Wijk 07 Woolde;GM0164;Hengelo;Twente;Overijssel;800;157;1703;91814;117327;False;34183;19627;6533;531;0;7492;242;34183;27946;0;8359;0;0;-2121;0;1200;0;0;800;0;0;0;0;0;0;0;0;0;0;0;0;0;800;0;0;0;79;701;0;0;0;0;64549;28543;3533;0;5739;26734;297;64549;32353;0;29014;0;0;3183;0;3344;0;0;157;0;0;0;0;0;0;0;0;0;0;0;0;0;157;0;0;0;0;157;0;0;0;0;3448;763885;1034;763885;262
BU01640702;BU01640702;Woolder Es;WK016407;Wijk 07 Woolde;GM0164;Hengelo;Twente;Overijssel;1123;176;1283;143048;20713;False;49446;28879;9056;757;0;10754;525;49446;40346;0;12025;0;0;-2925;0;1685;0;0;1123;0;0;0;0;0;0;0;0;0;0;0;0;0;1123;0;0;0;33;1072;0;0;0;0;9402;2665;129;0;1311;5297;39;9402;2742;0;5743;0;0;918;0;590;0;0;176;0;0;0;0;0;0;0;0;0;0;0;0;0;176;0;0;0;0;176;0;0;0;0;2451;729469;1177;729469;263
BU01640703;BU01640703;Weidedorp;WK016407;Wijk 07 Woolde;GM0164;Hengelo;Twente;Overijssel;1595;228;1836;174025;31238;False;57988;31617;11540;580;0;14251;936;57988;44491;0;16009;3139;0;-5652;0;2393;0;0;1595;0;0;0;0;0;0;0;0;0;0;0;0;96;1499;0;0;0;161;1395;0;0;0;0;14891;4397;263;0;1679;8550;101;14891;5167;0;10093;3139;0;-3508;0;890;0;0;228;0;0;0;0;0;0;0;0;0;0;0;0;14;214;0;0;0;0;228;0;0;0;0;2896;655147;721;655147;264
BU01640704;BU01640704;Bedrijvenpark Westermaat-Zuidoost;WK016407;Wijk 07 Woolde;GM0164;Hengelo;Twente;Overijssel;0;152;943;0;122504;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;95905;32938;1414;0;16912;44642;833;95905;33635;0;50088;0;0;12183;0;3491;0;0;152;0;0;0;0;0;0;0;0;0;0;0;0;0;152;0;0;0;0;152;0;0;0;0;2013;-2013525;46383;-2013525;265
BU01640705;BU01640705;Bedrijventerrein Westermaat-Noordoost;WK016407;Wijk 07 Woolde;GM0164;Hengelo;Twente;Overijssel;0;173;374;0;48597;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35770;11246;270;0;5461;18792;134;35770;11189;0;20579;0;0;4002;0;1385;0;0;173;0;0;0;0;0;0;0;0;0;0;0;0;0;173;0;0;0;0;173;0;0;0;0;669;-817675;62667;-817675;266
BU01640706;BU01640706;Bedrijventerrein Westermaat-Noordwest;WK016407;Wijk 07 Woolde;GM0164;Hengelo;Twente;Overijssel;2;16;599;350;77602;False;122;82;18;3;0;19;2;122;104;0;23;0;0;-5;0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;58667;10952;329;0;4148;43238;233;58667;10987;0;44670;0;0;3010;0;2212;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;16;0;0;0;0;655;-1778079;529944;-1778079;267
