BU_CODE;I01_buurtcode;I02_buurtnaam;I03_wijkcode;I04_wijknaam;I05_gemeentecode;I06_gemeentenaam;I07_energieregionaam;I08_provincienaam;I09_aantal_woningen;I10_aantal_utiliteit;I11_woningequivalenten;Uitgesloten;H01_warmtetotaal;H02_Vraag_aardgas;H03_Vraag_groengas;H04_Vraag_elekwarmte;H05_Vraag_MTwarmte;H06_Vraag_LTwarmte;H07_Warmte_hectare;H08_Vraag_koude;H09_Vraag_elektotaal;H10_CO2_reductie;H11_Nat_abskosten;H12_Nat_meerkosten;H13_Nat_meerkost_CO2;H16_Nat_meerkost_WEQ;nrAansl_gas;nrAansl_mWKK;nrAansl_eWP;nrAansl_HWP;nrAansl_EWV;nrAansl_RestWarmte;nrAansl_GeoThermie;nrAansl_WijkWKK;nrAansl_BioWKK;nrAansl_WKO;nrAansl_Lt15_30;nrAansl_Lt15_50;nrAansl_Lt15_70;nrAansl_Lt30_30;nrAansl_Lt30_50;nrAansl_Lt30_70;nrAansl_TEO;nr_OrgEntity
BU01640306;BU01640306;Middelhoek;WK016403;Wijk 03 Hasseler Es;GM0164;Hengelo;Twente;Overijssel;634;10;638;False;42;0;12;-5;35;0;588;2;5;1712;1852544;1096207;640;1719;0;0;0;0;0;0;0;0;644;0;0;0;0;0;0;0;0;1085
BU01640307;BU01640307;Molendijkhoek;WK016403;Wijk 03 Hasseler Es;GM0164;Hengelo;Twente;Overijssel;687;17;718;False;40;0;11;-5;34;0;954;2;5;1881;2127401;1272123;676;1773;0;0;0;0;0;0;0;0;704;0;0;0;0;0;0;0;0;1086
BU01640308;BU01640308;Weijinkshoek;WK016403;Wijk 03 Hasseler Es;GM0164;Hengelo;Twente;Overijssel;497;3;498;False;36;0;10;-5;31;0;809;1;5;1196;1335461;796516;666;1602;0;0;0;0;0;0;0;0;500;0;0;0;0;0;0;0;0;1087
BU01640309;BU01640309;Oosterveld;WK016403;Wijk 03 Hasseler Es;GM0164;Hengelo;Twente;Overijssel;34;38;131;False;39;0;10;-4;33;0;96;3;32;288;580539;271312;943;2072;0;0;0;0;0;0;0;0;72;0;0;0;0;0;0;0;0;1088
BU01640400;BU01640400;Zwavertshoek;WK016404;Wijk 04 Groot Driene;GM0164;Hengelo;Twente;Overijssel;531;145;567;False;37;0;11;-5;31;0;780;3;7;1445;1671505;962788;666;1698;0;0;0;0;0;0;0;0;676;0;0;0;0;0;0;0;0;1089
BU01640401;BU01640401;Anninks-/Nijhofshoek;WK016404;Wijk 04 Groot Driene;GM0164;Hengelo;Twente;Overijssel;1101;258;1458;False;36;0;12;-5;29;0;742;2;13;3960;4631464;2588863;654;1776;0;0;0;0;0;0;0;0;1359;0;0;0;0;0;0;0;0;1090
BU01640402;BU01640402;Groot Driene-Zuid;WK016404;Wijk 04 Groot Driene;GM0164;Hengelo;Twente;Overijssel;1064;97;1152;False;42;0;13;-6;35;0;813;2;7;3383;3883245;2260703;668;1964;0;0;0;0;0;0;0;0;1161;0;0;0;0;0;0;0;0;1091
BU01640403;BU01640403;Groot Driene-Noord;WK016404;Wijk 04 Groot Driene;GM0164;Hengelo;Twente;Overijssel;1640;342;2050;False;31;0;10;-4;25;0;801;2;10;4827;5736713;3299724;684;1610;0;0;0;0;0;0;0;0;1982;0;0;0;0;0;0;0;0;1092
BU01640500;BU01640500;Bedrijventerrein Twentekanaal-Zuid II;WK016405;Wijk 05 Berflo Es;GM0164;Hengelo;Twente;Overijssel;2;8;81;False;27;0;8;-3;22;0;39;1;24;136;302750;139950;1030;1742;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;1093
BU01640501;BU01640501;Berflo Es Noord;WK016405;Wijk 05 Berflo Es;GM0164;Hengelo;Twente;Overijssel;1915;152;2181;False;33;0;10;-4;27;0;1058;2;9;5103;5807180;3298469;646;1513;0;0;0;0;0;0;0;0;2067;0;0;0;0;0;0;0;0;1094
BU01640502;BU01640502;Berflo Es Zuid;WK016405;Wijk 05 Berflo Es;GM0164;Hengelo;Twente;Overijssel;721;92;772;False;39;0;12;-5;32;0;1080;2;7;2127;2309313;1355263;637;1756;0;0;0;0;0;0;0;0;813;0;0;0;0;0;0;0;0;1095
BU01640503;BU01640503;Bedrijventerrein Twentekanaal-Noord II;WK016405;Wijk 05 Berflo Es;GM0164;Hengelo;Twente;Overijssel;26;33;198;False;26;0;8;-3;21;0;155;1;13;334;494214;246058;736;1247;0;0;0;0;0;0;0;0;59;0;0;0;0;0;0;0;0;1096
BU01640504;BU01640504;Veldwijk-Noord;WK016405;Wijk 05 Berflo Es;GM0164;Hengelo;Twente;Overijssel;520;39;602;False;28;0;8;-3;23;0;618;1;9;1079;1457635;851867;789;1416;0;0;0;0;0;0;0;0;559;0;0;0;0;0;0;0;0;1097
BU01640505;BU01640505;Veldwijk-Zuid;WK016405;Wijk 05 Berflo Es;GM0164;Hengelo;Twente;Overijssel;476;34;588;False;36;0;11;-5;30;0;301;2;11;1574;1867566;1031490;655;1757;0;0;0;0;0;0;0;0;510;0;0;0;0;0;0;0;0;1098
BU01640506;BU01640506;Boeldershoek;WK016405;Wijk 05 Berflo Es;GM0164;Hengelo;Twente;Overijssel;7;4;13;False;54;0;21;-9;42;0;7;5;24;62;104064;34876;560;2848;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;1099
BU01640600;BU01640600;Bedrijventerrein Twentekanaal-Zuid I;WK016406;Wijk 06 Wilderinkshoek;GM0164;Hengelo;Twente;Overijssel;26;122;1106;False;22;0;7;-3;18;0;114;1;23;1706;3338464;1650528;967;1493;0;0;0;0;0;0;0;0;148;0;0;0;0;0;0;0;0;1100
BU01640601;BU01640601;Tuindorp t Lansink;WK016406;Wijk 06 Wilderinkshoek;GM0164;Hengelo;Twente;Overijssel;955;157;2288;False;34;0;12;-5;27;0;1297;1;16;6294;7272408;4058972;645;1775;0;0;0;0;0;0;0;0;1112;0;0;0;0;0;0;0;0;1101
BU01640602;BU01640602;Tuindorp-Zuid;WK016406;Wijk 06 Wilderinkshoek;GM0164;Hengelo;Twente;Overijssel;1499;209;1701;False;38;0;12;-5;31;0;1156;2;10;4900;5360732;3081629;629;1812;0;0;0;0;0;0;0;0;1708;0;0;0;0;0;0;0;0;1102
BU01640603;BU01640603;Bedrijventerrein Twentekanaal-Noord I;WK016406;Wijk 06 Wilderinkshoek;GM0164;Hengelo;Twente;Overijssel;11;46;151;False;29;0;12;-5;22;0;120;3;29;390;689521;288097;739;1908;0;0;0;0;0;0;0;0;57;0;0;0;0;0;0;0;0;1103
BU01640604;BU01640604;Nijverheid;WK016406;Wijk 06 Wilderinkshoek;GM0164;Hengelo;Twente;Overijssel;2265;253;2420;False;38;0;11;-5;32;0;722;2;7;6523;7497627;4461642;684;1844;0;0;0;0;0;0;0;0;2518;0;0;0;0;0;0;0;0;1104
BU01640605;BU01640605;Vikkerhoek;WK016406;Wijk 06 Wilderinkshoek;GM0164;Hengelo;Twente;Overijssel;338;68;372;False;43;0;13;-6;36;0;306;3;8;1130;1333173;753740;667;2028;0;0;0;0;0;0;0;0;406;0;0;0;0;0;0;0;0;1105
BU01640606;BU01640606;Bedrijventerrein Zeggershoek;WK016406;Wijk 06 Wilderinkshoek;GM0164;Hengelo;Twente;Overijssel;3;16;61;False;32;0;8;-4;28;0;26;3;52;102;321061;102354;1002;1693;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;1106
BU01640700;BU01640700;Bedrijventerrein Westermaat-Zuidwest;WK016407;Wijk 07 Woolde;GM0164;Hengelo;Twente;Overijssel;53;180;1241;False;29;0;8;-3;24;0;291;1;47;2086;4556411;1783155;855;1437;0;0;0;0;0;0;0;0;233;0;0;0;0;0;0;0;0;1107
BU01640701;BU01640701;Woolde;WK016407;Wijk 07 Woolde;GM0164;Hengelo;Twente;Overijssel;756;150;1426;False;42;0;13;-6;35;0;555;2;14;4390;4933555;2714526;618;1904;0;0;0;0;0;0;0;0;906;0;0;0;0;0;0;0;0;1108
BU01640702;BU01640702;Woolder Es;WK016407;Wijk 07 Woolde;GM0164;Hengelo;Twente;Overijssel;1233;177;1394;False;37;0;11;-5;31;0;713;2;8;3651;4207158;2456785;673;1764;0;0;0;0;0;0;0;0;1410;0;0;0;0;0;0;0;0;1109
BU01640703;BU01640703;Weidedorp;WK016407;Wijk 07 Woolde;GM0164;Hengelo;Twente;Overijssel;1595;228;1841;False;32;0;10;-4;26;0;1278;2;9;4334;4638939;2632130;607;1430;0;0;0;0;0;0;0;0;1823;0;0;0;0;0;0;0;0;1110
