BU_CODE;I01_buurtcode;I02_buurtnaam;I03_wijkcode;I04_wijknaam;I05_gemeentecode;I06_gemeentenaam;I07_energieregionaam;I08_provincienaam;I09_aantal_woningen;I10_aantal_utiliteit;I11_woningequivalenten;Uitgesloten;H01_warmtetotaal;H02_Vraag_aardgas;H03_Vraag_groengas;H04_Vraag_elekwarmte;H05_Vraag_MTwarmte;H06_Vraag_LTwarmte;H07_Warmte_hectare;H08_Vraag_koude;H09_Vraag_elektotaal;H10_CO2_reductie;H11_Nat_abskosten;H12_Nat_meerkosten;H13_Nat_meerkost_CO2;H16_Nat_meerkost_WEQ;nrAansl_gas;nrAansl_mWKK;nrAansl_eWP;nrAansl_HWP;nrAansl_EWV;nrAansl_RestWarmte;nrAansl_GeoThermie;nrAansl_WijkWKK;nrAansl_BioWKK;nrAansl_WKO;nrAansl_Lt15_30;nrAansl_Lt15_50;nrAansl_Lt15_70;nrAansl_Lt30_30;nrAansl_Lt30_50;nrAansl_Lt30_70;nrAansl_TEO;nr_OrgEntity
BU04020206;BU04020206;Media Park;WK040202;Noordwest;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;7;102;2444;False;17;0;14;3;0;0;725;1;53;7929;7357854;1965538;248;804;0;0;0;109;0;0;0;0;0;0;0;0;0;0;0;0;0;5238
BU04020301;BU04020301;Havenkwartier;WK040203;Zuidwest;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;16;119;727;False;11;0;9;2;0;0;129;1;44;1179;1935554;645526;547;888;0;0;0;135;0;0;0;0;0;0;0;0;0;0;0;0;0;5239
BU04020302;BU04020302;Het Rode Dorp;WK040203;Zuidwest;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;616;9;624;False;24;0;21;3;0;0;1181;1;14;1609;1284695;656540;408;1053;0;0;0;625;0;0;0;0;0;0;0;0;0;0;0;0;0;5240
BU04020303;BU04020303;Zeverijn;WK040203;Zuidwest;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;845;80;972;False;19;0;17;2;0;0;736;2;15;2115;1731197;794959;376;818;0;0;0;925;0;0;0;0;0;0;0;0;0;0;0;0;0;5241
BU04020304;BU04020304;Kerkelanden;WK040203;Zuidwest;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;3034;488;3909;False;18;0;16;2;0;0;503;2;19;7827;6779036;2633152;336;674;0;0;0;3522;0;0;0;0;0;0;0;0;0;0;0;0;0;5242
BU04020401;BU04020401;Bloemenkwartier Noord;WK040204;Zuid;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;1300;216;1471;False;23;0;20;3;0;0;1238;2;18;3947;3229968;1572059;398;1069;0;0;0;1516;0;0;0;0;0;0;0;0;0;0;0;0;0;5243
BU04020402;BU04020402;Bloemenkwartier Zuid;WK040204;Zuid;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;2307;156;2495;False;23;0;20;3;0;0;978;1;16;6165;5021230;2396599;389;961;0;0;0;2463;0;0;0;0;0;0;0;0;0;0;0;0;0;5244
BU04020403;BU04020403;Schrijverskwartier;WK040204;Zuid;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;810;127;853;False;27;0;24;3;0;0;709;2;17;2631;2147129;1107067;421;1299;0;0;0;937;0;0;0;0;0;0;0;0;0;0;0;0;0;5245
BU04020404;BU04020404;Staatsliedenkwartier;WK040204;Zuid;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;1620;256;1745;False;23;0;20;3;0;0;952;2;16;4574;3597675;1720723;376;987;0;0;0;1876;0;0;0;0;0;0;0;0;0;0;0;0;0;5246
BU04020405;BU04020405;Zeeheldenkwartier;WK040204;Zuid;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;2277;429;2422;False;19;0;17;2;0;0;840;2;14;5051;4055825;1877420;372;775;0;0;0;2706;0;0;0;0;0;0;0;0;0;0;0;0;0;5247
BU04020501;BU04020501;Schilderskwartier;WK040205;Zuidoost;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;1437;247;2061;False;24;0;21;3;0;0;570;2;23;6747;5546913;2522790;374;1224;0;0;0;1684;0;0;0;0;0;0;0;0;0;0;0;0;0;5248
BU04020502;BU04020502;t Hoogt van t Kruis;WK040205;Zuidoost;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;624;51;676;False;25;0;22;3;0;0;122;3;16;1896;1441457;627451;331;928;0;0;0;675;0;0;0;0;0;0;0;0;0;0;0;0;0;5249
BU04020503;BU04020503;Arenaparkkwartier;WK040205;Zuidoost;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;240;155;1621;False;20;0;16;4;0;0;651;1;49;3449;4467535;1343460;390;829;0;0;0;395;0;0;0;0;0;0;0;0;0;0;0;0;0;5250
BU04020504;BU04020504;West-Indiëkwartier;WK040205;Zuidoost;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;97;4;122;False;35;0;30;5;0;0;134;2;20;566;403120;170574;301;1408;0;0;0;101;0;0;0;0;0;0;0;0;0;0;0;0;0;5251
BU04020505;BU04020505;Van Riebeeckkwartier;WK040205;Zuidoost;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;1933;209;2148;False;18;0;16;2;0;0;911;1;14;4149;3479153;1629393;393;759;0;0;0;2142;0;0;0;0;0;0;0;0;0;0;0;0;0;5252
BU04020506;BU04020506;Egelshoek;WK040205;Zuidoost;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;0;2;3;False;7;0;6;1;0;0;4;8;66;2;19235;1540;775;553;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;5253
BU04020601;BU04020601;Geuzenbuurt;WK040206;Oost;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;1200;111;1560;False;19;0;17;2;0;0;1071;1;19;3938;3263441;1474731;375;946;0;0;0;1311;0;0;0;0;0;0;0;0;0;0;0;0;0;5254
BU04020602;BU04020602;Electrobuurt;WK040206;Oost;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;1066;47;1289;False;19;0;17;2;0;0;1056;1;18;3092;2587751;1180097;382;916;0;0;0;1113;0;0;0;0;0;0;0;0;0;0;0;0;0;5255
BU04020603;BU04020603;Kleine Driftbuurt;WK040206;Oost;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;1916;142;2269;False;19;0;17;2;0;0;925;1;18;4989;4122446;1755304;352;774;0;0;0;2058;0;0;0;0;0;0;0;0;0;0;0;0;0;5256
BU04020604;BU04020604;Liebergen;WK040206;Oost;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;2251;84;2464;False;20;0;18;2;0;0;1000;1;15;5379;4179504;1819222;338;739;0;0;0;2335;0;0;0;0;0;0;0;0;0;0;0;0;0;5257
BU04020605;BU04020605;Astronomische Buurt;WK040206;Oost;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;2403;226;2859;False;23;0;18;2;3;0;864;2;20;7686;6024344;2629973;342;920;0;0;0;2629;0;0;0;0;0;0;0;0;0;0;0;0;0;5258
BU04020606;BU04020606;Annas Hoeve;WK040206;Oost;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;204;4;217;False;22;0;19;3;0;0;263;2;13;415;335925;123106;296;568;0;0;0;208;0;0;0;0;0;0;0;0;0;0;0;0;0;5259
BU04020701;BU04020701;Johannes Geradtswegbuurt;WK040207;Noordoost;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;890;38;1032;False;24;0;21;3;0;0;749;2;17;2931;2423702;1186740;405;1151;0;0;0;928;0;0;0;0;0;0;0;0;0;0;0;0;0;5260
BU04020702;BU04020702;Erfgooiersbuurt;WK040207;Noordoost;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;767;82;812;False;23;0;20;3;0;0;816;2;16;2160;1715962;837333;388;1031;0;0;0;849;0;0;0;0;0;0;0;0;0;0;0;0;0;5261
BU04020703;BU04020703;Noord;WK040207;Noordoost;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;3684;276;3927;False;19;0;17;2;0;0;800;1;14;7633;6330727;2917129;382;743;0;0;0;3960;0;0;0;0;0;0;0;0;0;0;0;0;0;5262
BU04020704;BU04020704;AZC Crailo;WK040207;Noordoost;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;9;2;21;False;25;0;21;4;0;0;20;2;42;64;77099;31281;486;1554;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;5263
BU04020801;BU04020801;Hilversumse Meent;WK040208;Hilversumse Meent;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;1827;86;1890;False;23;0;20;3;0;0;421;2;14;4395;3394373;1502878;342;795;0;0;0;1913;0;0;0;0;0;0;0;0;0;0;0;0;0;5264
BU04020901;BU04020901;Landelijk Gebied 91;WK040209;Landelijk Gebied;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;12;22;94;False;18;0;15;3;0;0;2;4;39;238;303887;76707;322;821;0;0;0;34;0;0;0;0;0;0;0;0;0;0;0;0;0;5265
BU04020902;BU04020902;Landelijk Gebied 92;WK040209;Landelijk Gebied;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;0;5;16;False;16;0;13;3;0;0;4;5;46;26;47780;11188;431;718;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;5266
BU04020903;BU04020903;Landelijk Gebied 93;WK040209;Landelijk Gebied;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;19;35;489;False;25;0;21;4;0;0;20;1;37;3207;1675418;591621;184;1211;0;0;0;54;0;0;0;0;0;0;0;0;0;0;0;0;0;5267
BU04020904;BU04020904;Landelijk Gebied 94;WK040209;Landelijk Gebied;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;37;13;86;False;22;0;19;3;0;0;13;2;40;352;306784;87637;249;1023;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;5268
BU04020905;BU04020905;Landelijk Gebied 95;WK040209;Landelijk Gebied;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;134;87;568;False;20;0;17;3;0;0;15;2;26;1959;1524002;637340;325;1122;0;0;0;221;0;0;0;0;0;0;0;0;0;0;0;0;0;5269
BU04020906;BU04020906;Landelijk Gebied 96;WK040209;Landelijk Gebied;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;6;2;10;False;35;0;30;5;0;0;3;9;23;40;41505;13449;340;1419;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;5270
