BU_CODE;WK_CODE;Gemeente;RES;Provincie;WarmteAllocatieOptie;Aantal_WoningEQ;Aantal_woningen;Aantal_utiliteiten;Vraag_Aardgas;Vraag_MT_Warmte;Vraag_LT_Warmte;Vraag_ElektrischeWarmte;Vraag_Koude;Vraag_Elektriciteit;Vraag_Warmte_totaal;Vraag_Warmte_perhectare;CO2_reductie;Nat_abskosten;Nat_meerkosten;Nat_meerkost_CO2;CO2_uitstoot_gas;CO2_uitstoot_elek;Maatschappelijke_kosten;Aansl_aardgas;Aansl_eWP;Aansl_MT;Aansl_LT;Aansl_hWPgroengas;Aansl_HRgroengas;nr_OrgEntity
BU04020401;WK040204;Hilversum;Noord-Holland Zuid;Noord-Holland;;1470.63846;1300;170.638462;0;0;0;8;2;24;8;431;3947;3468195;1521776;386;0;0;3049278;0;1516;0;0;0;0;5243
BU04020402;WK040204;Hilversum;Noord-Holland Zuid;Noord-Holland;;2494.72308;2307;187.723077;0;0;0;8;1;22;8;340;6165;5558643;2348364;381;0;0;4930317.61;0;2463;0;0;0;0;5244
BU04020403;WK040204;Hilversum;Noord-Holland Zuid;Noord-Holland;;852.346154;810;42.3461538;0;0;0;10;2;24;10;263;2631;2420987;1142251;434;0;0;2207297.45;0;937;0;0;0;0;5245
BU04020404;WK040204;Hilversum;Noord-Holland Zuid;Noord-Holland;;1744.03846;1620;124.038462;0;0;0;8;2;22;8;331;4574;4013653;1749527;383;0;0;3540664.61;0;1876;0;0;0;0;5246
BU04020405;WK040204;Hilversum;Noord-Holland Zuid;Noord-Holland;;2421.75385;2277;144.753846;0;0;0;7;2;19;7;309;5051;4713244;2058422;407;0;0;4053494.08;0;2706;0;0;0;0;5247
BU04020501;WK040205;Hilversum;Noord-Holland Zuid;Noord-Holland;;2060.36154;1437;623.361538;0;0;0;9;2;30;9;214;6747;5248764;1470877;218;0;0;4674832.94;0;1684;0;0;0;0;5248
BU04020502;WK040205;Hilversum;Noord-Holland Zuid;Noord-Holland;;675.9;624;51.9;0;0;0;9;3;22;9;44;1896;1625017;502163;265;0;0;1486055.91;0;675;0;0;0;0;5249
BU04020503;WK040205;Hilversum;Noord-Holland Zuid;Noord-Holland;;1620.23846;240;1380.23846;0;0;0;5;1;51;5;163;3449;2752759;-823717;-239;0;0;1991270.12;0;395;0;0;0;0;5250
BU04020504;WK040205;Hilversum;Noord-Holland Zuid;Noord-Holland;;121.176923;97;24.1769231;0;0;0;13;2;29;13;50;566;429219;76543;135;0;0;415905.46;0;101;0;0;0;0;5251
BU04020505;WK040205;Hilversum;Noord-Holland Zuid;Noord-Holland;;2147.09231;1933;214.092308;0;0;0;6;1;18;6;304;4149;3740584;1504963;363;0;0;3178867.74;0;2142;0;0;0;0;5252
