BU_CODE;I01_buurtcode;I02_buurtnaam;I03_wijkcode;I04_wijknaam;I05_gemeentecode;I06_gemeentenaam;I07_energieregionaam;I08_provincienaam;I09_aantal_woningen;I10_aantal_utiliteit;I11_woningequivalenten;I12_opp_woningen;I13_opp_utiliteit;Uitgesloten;Woning_H01_Vraag_Totaal;Woning_H02_Vraag_Ruimteverwarming;Woning_H03_Vraag_Tapwater;Woning_H04_Vraag_Ventilatie;Woning_H05_Vraag_Koude;Woning_H06_Vraag_Apparaten;Woning_H07_Vraag_perhectare;Woning_H08_Input_Totaal;Woning_H09_Input_Aardgas;Woning_H10_Input_Duurzaamgas;Woning_H11_Input_Elektriciteit;Woning_H12_Input_MTwarmte;Woning_H13_Input_LTwarmte;Woning_H14_Saldo_Omgevingswarmte;Woning_H15_CO2_uitstoot;Woning_H16_Nat_meerkost;Woning_H17_Nat_meerkost_CO2;Woning_H18_Nat_meerkost_WEQ;Woning_H19_Waarde_hernieuwbaar_gas;Woning_A01_Aansl_aardgas;Woning_A02_Aansl_eWP;Woning_A03_Aansl_MT;Woning_A04_Aansl_LT;Woning_A05_Aansl_hWP_HG;Woning_A06_Aansl_HR_HG;Woning_A10_Aansl_LT_WKO;Woning_A11_Aansl_LT_LT15_30;Woning_A12_Aansl_LT_LT15_50;Woning_A13_Aansl_LT_LT15_70;Woning_A14_Aansl_LT_LT30_30;Woning_A15_Aansl_LT_LT30_50;Woning_A16_Aansl_LT_LT30_70;Woning_A17_Aansl_LT_TEO;Woning_A18_Aansl_LT_BuurtWKO;Woning_A19_Aansl_MT_Restwarmte;Woning_A20_Aansl_MT_Geothermie;Woning_A21_Aansl_MT_WijkWKK;Woning_A22_Aansl_MT_BioWKK;Woning_A23_Aansl_H2;Woning_A30_Aansl_LabelA;Woning_A31_Aansl_LabelB;Woning_A32_Aansl_LabelC;Woning_A33_Aansl_LabelD;Woning_A34_Aansl_LabelE;Woning_A35_Aansl_LabelF;Util_H01_Vraag_Totaal;Util_H02_Vraag_Ruimteverwarming;Util_H03_Vraag_Tapwater;Util_H04_Vraag_Ventilatie;Util_H05_Vraag_Koude;Util_H06_Vraag_Apparaten;Util_H07_Vraag_perhectare;Util_H08_Input_Totaal;Util_H09_Input_Aardgas;Util_H10_Input_Duurzaamgas;Util_H11_Input_Elektriciteit;Util_H12_Input_MTwarmte;Util_H13_Input_LTwarmte;Util_H14_Saldo_Omgevingswarmte;Util_H15_CO2_uitstoot;Util_H16_Nat_meerkost;Util_H17_Nat_meerkost_CO2;Util_H18_Nat_meerkost_WEQ;Util_H19_Waarde_hernieuwbaar_gas;Util_A01_Aansl_aardgas;Util_A02_Aansl_eWP;Util_A03_Aansl_MT;Util_A04_Aansl_LT;Util_A05_Aansl_hWP_HG;Util_A06_Aansl_HR_HG;Util_A10_Aansl_LT_WKO;Util_A11_Aansl_LT_LT15_30;Util_A12_Aansl_LT_LT15_50;Util_A13_Aansl_LT_LT15_70;Util_A14_Aansl_LT_LT30_30;Util_A15_Aansl_LT_LT30_50;Util_A16_Aansl_LT_LT30_70;Util_A17_Aansl_LT_TEO;Util_A18_Aansl_LT_BuurtWKO;Util_A19_Aansl_MT_Restwarmte;Util_A20_Aansl_MT_Geothermie;Util_A21_Aansl_MT_WijkWKK;Util_A22_Aansl_MT_BioWKK;Util_A23_Aansl_H2;nr_OrgEntity
BU04060615;BU04060615;Zenderwijk;WK040606;Wijk 06 Zenderwijk en Bovenweg;GM0406;Huizen;Noord-Holland Zuid;Noord-Holland;559;45;608;61902;6311;False;36;20;7;0;0;9;796;36;0;14;14;0;0;8;0;503772;399;829;0;0;0;0;0;559;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;557;0;0;0;0;6;1;0;0;1;4;44;6;0;1;4;0;0;1;0;503772;399;829;0;0;0;0;0;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1946
BU04060716;BU04060716;Stad en Lande;WK040607;Wijk 07 Stad en Lande;GM0406;Huizen;Noord-Holland Zuid;Noord-Holland;1613;288;1825;192325;27440;False;37;21;7;1;0;8;638;37;0;14;14;0;0;9;0;1746949;474;958;0;0;0;0;0;1613;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;130;1483;0;0;0;0;11;3;0;0;2;6;75;11;0;2;7;0;0;2;0;1746949;474;958;0;0;0;0;0;288;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1947
BU04060817;BU04060817;Huizermaat West;WK040608;Wijk 08 Huizermaat West en Zuid;GM0406;Huizen;Noord-Holland Zuid;Noord-Holland;1453;167;1582;169442;16724;False;38;21;7;1;0;9;709;38;0;14;15;0;0;8;0;1442784;477;912;0;0;0;0;0;1453;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;1439;0;0;0;0;6;1;0;0;1;4;40;6;0;1;4;0;0;1;0;1442784;477;912;0;0;0;0;0;167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1948
BU04060818;BU04060818;Huizermaat Zuid;WK040608;Wijk 08 Huizermaat West en Zuid;GM0406;Huizen;Noord-Holland Zuid;Noord-Holland;1366;80;1583;135227;28187;False;31;16;6;0;0;8;869;31;0;12;12;0;0;6;0;1172573;458;741;0;0;0;0;0;1366;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;1216;0;0;0;0;10;2;0;0;1;7;82;10;0;2;7;0;0;1;0;1172573;458;741;0;0;0;0;0;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1949
BU04060919;BU04060919;Huizermaat Noord;WK040609;Wijk 09 Huizermaat Noord;GM0406;Huizen;Noord-Holland Zuid;Noord-Holland;1448;61;1477;139842;3737;False;35;18;7;0;0;9;880;35;0;14;14;0;0;7;0;1130230;450;765;0;0;0;0;0;1448;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;1407;0;0;0;0;1;0;0;0;0;1;14;1;0;0;1;0;0;0;0;1130230;450;765;0;0;0;0;0;61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1950
BU04061020;BU04061020;Bijvanck Noord;WK040610;Wijk 10 Bijvanck;GM0406;Huizen;Noord-Holland Zuid;Noord-Holland;750;28;780;73540;3886;False;34;17;7;0;0;9;712;34;0;14;14;0;0;6;0;632774;473;811;0;0;0;0;0;750;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57;693;0;0;0;0;3;1;0;0;1;1;35;3;0;1;1;0;0;1;0;632774;473;811;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1951
BU04061021;BU04061021;Bijvanck West;WK040610;Wijk 10 Bijvanck;GM0406;Huizen;Noord-Holland Zuid;Noord-Holland;221;12;223;26976;204;False;40;22;8;1;0;10;674;40;0;16;16;0;0;9;0;185604;432;834;0;0;0;0;0;221;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;218;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;185604;432;834;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1952
BU04061123;BU04061123;Bovenmaat Noord;WK040611;Wijk 11 Bovenmaten;GM0406;Huizen;Noord-Holland Zuid;Noord-Holland;1478;35;1493;155778;1915;False;37;20;8;0;0;10;770;37;0;15;15;0;0;8;0;1161233;426;778;0;0;0;0;0;1478;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;1465;0;0;0;0;1;0;0;0;0;0;12;1;0;0;0;0;0;0;0;1161233;426;778;0;0;0;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1953
BU04061124;BU04061124;Bovenmaat West;WK040611;Wijk 11 Bovenmaten;GM0406;Huizen;Noord-Holland Zuid;Noord-Holland;821;58;912;60383;11758;False;28;13;7;0;0;8;1151;28;0;12;11;0;0;4;0;741283;551;813;0;0;0;0;0;821;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;82;739;0;0;0;0;9;2;0;0;1;5;143;9;0;2;5;0;0;1;0;741283;551;813;0;0;0;0;0;58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1954
BU04061125;BU04061125;Bovenmaat-Oost;WK040611;Wijk 11 Bovenmaten;GM0406;Huizen;Noord-Holland Zuid;Noord-Holland;593;8;623;53010;3815;False;32;16;7;0;0;9;493;32;0;14;13;0;0;6;0;457441;458;735;0;0;0;0;0;593;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61;532;0;0;0;0;2;1;0;0;0;1;17;2;0;1;1;0;0;0;0;457441;458;735;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1955
BU04061226;BU04061226;Filosofenbuurt;WK040612;Wijk 12 Hogemaat;GM0406;Huizen;Noord-Holland Zuid;Noord-Holland;801;10;823;110967;2799;False;38;21;8;0;0;9;647;38;0;15;15;0;0;8;0;382663;250;465;0;0;0;0;0;801;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;263;538;0;0;0;0;1;1;0;0;0;1;13;1;0;0;1;0;0;0;0;382663;250;465;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1956
BU04061231;BU04061231;De Tuit;WK040612;Wijk 12 Hogemaat;GM0406;Huizen;Noord-Holland Zuid;Noord-Holland;120;0;120;20450;0;False;48;31;8;0;0;10;802;48;0;17;17;0;0;13;0;55384;196;462;0;0;0;0;0;120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;110;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55384;196;462;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1957
BU04170320;BU04170320;Laren-Centrum;WK041703;Laren;GM0417;Laren;Noord-Holland Zuid;Noord-Holland;995;376;1728;120930;95279;False;26;16;5;0;0;5;486;26;0;10;10;0;0;6;0;1930710;411;1117;0;0;0;0;0;995;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;62;933;0;0;0;0;36;9;1;0;6;21;221;36;0;7;23;0;0;6;0;1930710;411;1117;0;0;0;0;0;376;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1965
