BU_CODE;WK_CODE;Gemeente;RES;Provincie;WarmteAllocatieOptie;Aantal_WoningEQ;Aantal_woningen;Aantal_utiliteiten;Vraag_Aardgas;Vraag_MT_Warmte;Vraag_LT_Warmte;Vraag_ElektrischeWarmte;Vraag_Koude;Vraag_Elektriciteit;Vraag_Warmte_totaal;Vraag_Warmte_perhectare;CO2_reductie;Nat_abskosten;Nat_meerkosten;Nat_meerkost_CO2;CO2_uitstoot_gas;CO2_uitstoot_elek;Maatschappelijke_kosten;Aansl_aardgas;Aansl_eWP;Aansl_MT;Aansl_LT;Aansl_hWPgroengas;Aansl_HRgroengas;nr_OrgEntity
BU04020405;WK040204;Hilversum;Noord-Holland Zuid;Noord-Holland;;2421.75385;2277;144.753846;0;0;0;2;2;14;19;840;5051;4316486;1661664;329;0;0;3087214.74;0;0;0;0;2706;0;5247
BU04020501;WK040205;Hilversum;Noord-Holland Zuid;Noord-Holland;;2060.36154;1437;623.361538;0;0;0;3;2;23;24;570;6747;5592634;1814747;269;0;0;4683357.51;0;0;0;0;1684;0;5248
BU04020502;WK040205;Hilversum;Noord-Holland Zuid;Noord-Holland;;675.9;624;51.9;0;0;0;3;3;16;25;122;1896;1686047;563193;297;0;0;1407161.95;0;0;0;0;675;0;5249
BU04020503;WK040205;Hilversum;Noord-Holland Zuid;Noord-Holland;;1620.23846;240;1380.23846;0;0;0;3;1;48;15;488;3449;3517421;-59055;-17;0;0;2699662.04;0;0;0;0;395;0;5250
BU04020504;WK040205;Hilversum;Noord-Holland Zuid;Noord-Holland;;121.176923;97;24.1769231;0;0;0;5;2;20;35;134;566;498516;145840;258;0;0;465590.085;0;0;0;0;101;0;5251
BU04020505;WK040205;Hilversum;Noord-Holland Zuid;Noord-Holland;;2147.09231;1933;214.092308;0;0;0;2;1;14;18;911;4149;3553360;1317739;318;0;0;2544429.25;0;0;0;0;2142;0;5252
BU04020506;WK040205;Hilversum;Noord-Holland Zuid;Noord-Holland;;2.78461538;0;2.78461538;0;0;0;1;8;65;5;3;2;46628;-624;-314;0;0;49585.6728;0;0;0;0;2;0;5253
BU04020601;WK040206;Hilversum;Noord-Holland Zuid;Noord-Holland;;1559.46923;1200;359.469231;0;0;0;2;1;19;19;1071;3938;3232543;1106635;281;0;0;2540027.28;0;0;0;0;1311;0;5254
BU04020602;WK040206;Hilversum;Noord-Holland Zuid;Noord-Holland;;1288.54615;1066;222.546154;0;0;0;2;1;18;19;1056;3092;2597869;926128;300;0;0;2016286.12;0;0;0;0;1113;0;5255
BU04020603;WK040206;Hilversum;Noord-Holland Zuid;Noord-Holland;;2268.59231;1916;352.592308;0;0;0;2;1;18;19;925;4989;4240459;1406382;282;0;0;3197076.41;0;0;0;0;2058;0;5256
BU04020604;WK040206;Hilversum;Noord-Holland Zuid;Noord-Holland;;2463.03846;2251;212.038462;0;0;0;2;1;15;20;1000;5379;4404412;1563091;291;0;0;3293311.19;0;0;0;0;2335;0;5257
BU04020605;WK040206;Hilversum;Noord-Holland Zuid;Noord-Holland;;2858.4;2403;455.4;0;3;0;2;2;20;23;864;7686;6226770;2093871;272;0;0;4942474.89;0;0;262.9;0;2366.1;0;5258
BU04020606;WK040206;Hilversum;Noord-Holland Zuid;Noord-Holland;;216.623077;204;12.6230769;0;0;0;3;2;13;22;263;415;417053;98355;237;0;0;334954.444;0;0;0;0;208;0;5259
BU04020701;WK040207;Hilversum;Noord-Holland Zuid;Noord-Holland;;1031.49231;890;141.492308;0;0;0;3;2;17;24;749;2931;2568902;1020697;348;0;0;2124109.92;0;0;0;0;928;0;5260
BU04020702;WK040207;Hilversum;Noord-Holland Zuid;Noord-Holland;;811.992308;767;44.9923077;0;0;0;3;2;16;23;816;2160;1845769;780216;361;0;0;1463410.34;0;0;0;0;849;0;5261
BU04020703;WK040207;Hilversum;Noord-Holland Zuid;Noord-Holland;;3926.90769;3684;242.907692;0;0;0;2;1;14;19;800;7633;6673149;2553531;335;0;0;4826093.97;0;0;0;0;3960;0;5262
BU04020704;WK040207;Hilversum;Noord-Holland Zuid;Noord-Holland;;20.1307692;9;11.1307692;0;0;0;4;2;42;25;20;64;84354;23061;358;0;0;76977.9002;0;0;0;0;11;0;5263
BU04020801;WK040208;Hilversum;Noord-Holland Zuid;Noord-Holland;;1889.7;1827;62.7;0;0;0;3;2;14;23;421;4395;3809235;1385221;315;0;0;2962781.36;0;0;0;0;1913;0;5264
BU04020901;WK040209;Hilversum;Noord-Holland Zuid;Noord-Holland;;93.4538462;12;81.4538462;0;0;0;3;4;38;16;2;238;417968;2807;12;0;0;405015.646;0;0;0;0;34;0;5265
BU04020902;WK040209;Hilversum;Noord-Holland Zuid;Noord-Holland;;15.5769231;0;15.5769231;0;0;0;2;5;45;12;3;26;60890;-2129;-82;0;0;57175.4765;0;0;0;0;5;0;5266
BU04020903;WK040209;Hilversum;Noord-Holland Zuid;Noord-Holland;;488.438462;19;469.438462;0;0;0;4;1;37;24;19;3207;1476811;150746;47;0;0;1325257.74;0;0;0;0;54;0;5267
BU04020904;WK040209;Hilversum;Noord-Holland Zuid;Noord-Holland;;85.7076923;37;48.7076923;0;0;0;3;2;40;22;13;352;372131;51735;147;0;0;343038.279;0;0;0;0;50;0;5268
BU04020905;WK040209;Hilversum;Noord-Holland Zuid;Noord-Holland;;567.946154;134;433.946154;0;0;0;3;2;26;19;14;1959;1356567;201377;103;0;0;1180779.91;0;0;0;0;221;0;5269
BU04020906;WK040209;Hilversum;Noord-Holland Zuid;Noord-Holland;;9.47692308;6;3.47692308;0;0;0;5;9;23;35;3;40;70838;9962;252;0;0;72284.9823;0;0;0;0;8;0;5270
BU04020907;WK040209;Hilversum;Noord-Holland Zuid;Noord-Holland;;23.8769231;4;19.8769231;0;0;0;3;7;47;18;2;61;75086;6013;99;0;0;64264.9934;0;0;0;0;11;0;5271
BU04060001;WK040600;Huizen;Noord-Holland Zuid;Noord-Holland;;2155.90769;1673;482.907692;0;0;0;3;2;24;22;804;6000;5178425;1593999;266;0;0;4122897.86;0;0;0;0;1902;0;5346
BU04060002;WK040600;Huizen;Noord-Holland Zuid;Noord-Holland;;1327.33077;1250;77.3307692;0;0;0;3;2;16;24;680;3667;3135737;1220423;333;0;0;2545319.23;0;0;0;0;1316;0;5347
BU04060103;WK040601;Huizen;Noord-Holland Zuid;Noord-Holland;;1108.48462;1008;100.484615;0;0;0;3;2;16;25;414;3222;2814312;1032026;320;0;0;2363291.09;0;0;0;0;1042;0;5348
BU04060204;WK040602;Huizen;Noord-Holland Zuid;Noord-Holland;;94.0923077;94;0.0923076923;0;0;0;5;3;16;38;41;388;477987;152081;392;0;0;457118.809;0;0;0;0;96;0;5349
BU04060205;WK040602;Huizen;Noord-Holland Zuid;Noord-Holland;;144.846154;109;35.8461538;0;0;0;4;2;26;29;37;630;560555;146519;233;0;0;509923.813;0;0;0;0;113;0;5350
BU04060206;WK040602;Huizen;Noord-Holland Zuid;Noord-Holland;;360.592308;149;211.592308;0;0;0;4;2;28;27;66;1779;1233721;208262;117;0;0;1129644.15;0;0;0;0;165;0;5351
BU04060307;WK040603;Huizen;Noord-Holland Zuid;Noord-Holland;;34.8923077;32;2.89230769;0;0;0;5;3;17;35;18;139;169869;56099;404;0;0;162094.5;0;0;0;0;35;0;5352
BU04060308;WK040603;Huizen;Noord-Holland Zuid;Noord-Holland;;66.8307692;63;3.83076923;0;0;0;5;3;17;36;33;275;287413;94938;345;0;0;268168.655;0;0;0;0;69;0;5353
BU04060327;WK040603;Huizen;Noord-Holland Zuid;Noord-Holland;;8.36153846;7;1.36153846;0;0;0;5;5;24;32;3;29;62915;10382;354;0;0;62603.3517;0;0;0;0;9;0;5354
BU04060328;WK040603;Huizen;Noord-Holland Zuid;Noord-Holland;;1.27692308;1;0.276923077;0;0;0;5;5;28;32;1;4;9179;1689;392;0;0;8216.77172;0;0;0;0;2;0;5355
BU04060329;WK040603;Huizen;Noord-Holland Zuid;Noord-Holland;;35.4307692;4;31.4307692;0;0;0;1;1;25;8;8;78;72581;4824;61;0;0;64350.0589;0;0;0;0;7;0;5356
BU04060330;WK040603;Huizen;Noord-Holland Zuid;Noord-Holland;;42.9153846;42;0.915384615;0;0;0;4;3;15;32;160;154;158951;54119;351;0;0;146450.418;0;0;0;0;44;0;5357
BU04060409;WK040604;Huizen;Noord-Holland Zuid;Noord-Holland;;246.461538;244;2.46153846;0;0;0;4;2;15;33;435;913;772996;319393;350;0;0;674801.456;0;0;0;0;247;0;5358
BU04060410;WK040604;Huizen;Noord-Holland Zuid;Noord-Holland;;1090.51538;980;110.515385;0;0;0;3;2;15;26;331;3155;2619970;923063;293;0;0;2164540.39;0;0;0;0;1030;0;5359
BU04060511;WK040605;Huizen;Noord-Holland Zuid;Noord-Holland;;466.261538;359;107.261538;0;0;0;3;2;19;21;341;1040;848513;234146;225;0;0;645371.503;0;0;0;0;378;0;5360
BU04060512;WK040605;Huizen;Noord-Holland Zuid;Noord-Holland;;209.992308;34;175.992308;0;0;0;3;3;41;19;69;541;462034;9562;18;0;0;368554.207;0;0;0;0;65;0;5361
BU04060513;WK040605;Huizen;Noord-Holland Zuid;Noord-Holland;;1131.62308;232;899.623077;0;0;0;2;1;43;13;235;2391;2896212;295391;124;0;0;2394544.02;0;0;0;0;360;0;5362
BU04060614;WK040606;Huizen;Noord-Holland Zuid;Noord-Holland;;1665.47692;1331;334.476923;0;0;0;2;2;17;19;767;3431;2786235;745516;217;0;0;2047754.35;0;0;0;0;1428;0;5363
BU04060615;WK040606;Huizen;Noord-Holland Zuid;Noord-Holland;;607.546154;559;48.5461538;0;0;0;2;2;15;21;634;1521;1238927;428047;281;0;0;960352.085;0;0;0;0;604;0;5364
