bron_naam;bron_id;x_coord;y_coord;ingebruik;uitgebruik;MWth_max;bron_vol;bron_cap;T_bron;Ki_kW_min;Ki_kW_max;K_GJ;capaciteit_benuttingsfactor;SourceType
Bonbonatelier N  Limmen BV;682;4.80128;52.4295;1999;1999;24;0.7;0.3;30;50;250;0;0.00111839474;LT
Cargill BV;683;4.81653;52.4638;1999;1999;24;0.7;0.3;30;50;250;0;0.00590165789;LT
Danisco Zaandam BV;684;4.82222;52.4472;1999;1999;24;0.7;0.3;30;50;250;0;0.0462394112;LT
DP Zaandam BV;685;4.82799;52.4392;1999;1999;24;0.7;0.3;30;50;250;0;0.0157024605;LT
Duyvis Production BV;686;4.81639;52.4702;1999;1999;24;0.7;0.3;30;50;250;0;0.00431346053;LT
Frites uit Zuyd BV;687;4.83082;52.4206;1999;1999;24;0.7;0.3;30;50;250;0;0.0178545099;LT
Hansel Salades en Sauzen BV;688;4.84776;52.4188;1999;1999;24;0.7;0.3;30;50;250;0;0.000149773026;LT
Ioi Loders Croklaan Oils BV;689;4.8093;52.4842;1999;1999;24;0.7;0.3;30;50;250;0;0.000572953947;LT
Jan Schoemaker BV;690;4.82672;52.4716;1999;1999;24;0.7;0.3;30;50;250;0;0.00619509868;LT
Loders Croklaan BV;691;4.8093;52.4842;1999;1999;24;0.7;0.3;30;50;250;0;0.000572953947;LT
Meneba Wormerveer BV;692;4.79303;52.5021;1999;1999;24;0.7;0.3;30;50;250;0;0.0145914408;LT
Stepan Specialty Products BV;693;4.80821;52.4679;1999;1999;24;0.7;0.3;30;50;250;0;0.017440227;LT
Tate   Lyle Netherlands BV;694;4.81243;52.4655;1999;1999;24;0.7;0.3;30;50;250;0;0.0187510757;LT
Twincon BV;695;4.80763;52.4701;1999;1999;24;0.7;0.3;30;50;250;0;0.038396;LT
Vers Vlees voor Hond en Kat Lotgering BV;696;4.81572;52.4569;1999;1999;24;0.7;0.3;30;50;250;0;0.065572977;LT
Albert Heijn BV;1278;4.74648;52.2682;1999;1999;0.485872099;0.7;0.3;30;50;250;0;1.01375639;LT
Albert Heijn BV;1279;4.79481;52.2746;1999;1999;0.485872099;0.7;0.3;30;50;250;0;1.00088572;LT
