BU_CODE;WK_CODE;Gemeente;RES;Provincie;WarmteAllocatieOptie;Aantal_WoningEQ;Aantal_woningen;Aantal_utiliteiten;Vraag_Aardgas;Vraag_MT_Warmte;Vraag_LT_Warmte;Vraag_ElektrischeWarmte;Vraag_Koude;Vraag_Elektriciteit;Vraag_Warmte_totaal;Vraag_Warmte_perhectare;CO2_reductie;Nat_abskosten;Nat_meerkosten;Nat_meerkost_CO2;CO2_uitstoot_gas;CO2_uitstoot_elek;Maatschappelijke_kosten;Aansl_aardgas;Aansl_eWP;Aansl_MT;Aansl_LT;Aansl_hWPgroengas;Aansl_HRgroengas;nr_OrgEntity
BU03760101;WK037601;Blaricum;Noord-Holland Zuid;Noord-Holland;;1893.36923;1815;78.3692308;0;28;0;0;2;13;37;689;4024;5012394;2697480;670;0;0;3668569.43;0;0;1913;0;0;0;2115
BU03760102;WK037601;Blaricum;Noord-Holland Zuid;Noord-Holland;;2567.85385;2235;332.853846;0;40;0;0;2;18;55;366;8659;10823813;5751289;664;0;0;7610219.96;0;0;2422;0;0;0;2116
BU03760103;WK037601;Blaricum;Noord-Holland Zuid;Noord-Holland;;8.66153846;1;7.66153846;0;35;0;0;10;34;59;6;49;1112566;1066646;21679;0;0;1097552.05;0;0;4;0;0;0;2117
BU03760104;WK037601;Blaricum;Noord-Holland Zuid;Noord-Holland;;911.938462;816;95.9384615;0;26;0;0;2;12;33;429;1616;2105300;1083202;670;0;0;2245711.93;0;0;932;0;0;0;2118
BU03760105;WK037601;Blaricum;Noord-Holland Zuid;Noord-Holland;;354.569231;56;298.569231;0;39;0;0;1;31;56;551;1284;2469393;1739124;1355;0;0;2249497.57;0;0;61;0;0;0;2119
BU03760106;WK037601;Blaricum;Noord-Holland Zuid;Noord-Holland;;1;1;0;0;57;0;0;3;15;77;0;5;970521;969101;211479;0;0;956135.381;0;0;1;0;0;0;2120
BU03760107;WK037601;Blaricum;Noord-Holland Zuid;Noord-Holland;;0;0;0;0;0;0;0;0;0;0;0;0;20102;0;0;0;0;0;0;0;0;0;0;0;2121
BU03760108;WK037601;Blaricum;Noord-Holland Zuid;Noord-Holland;;0.0769230769;0;0.0769230769;0;6;0;0;113;132;9;0;0;893845;885456;16083873;0;0;883291.093;0;0;2;0;0;0;2122
BU03760109;WK037601;Blaricum;Noord-Holland Zuid;Noord-Holland;;1.73076923;1;0.730769231;0;38;0;0;10;24;59;1;9;1019499;1002031;117032;0;0;1008670.92;0;0;2;0;0;0;2123
BU04020101;WK040201;Hilversum;Noord-Holland Zuid;Noord-Holland;;3735.93077;1893;1842.93077;0;21;0;0;2;37;31;2916;9284;12767307;5720250;616;0;0;10433917.8;0;0;2439;0;0;0;5229
BU04020102;WK040201;Hilversum;Noord-Holland Zuid;Noord-Holland;;1736.10769;1522;214.107692;0;25;0;0;2;18;35;2774;4027;5286968;3161513;785;0;0;4334321.11;0;0;1725;0;0;0;5230
