BU_CODE;WK_CODE;Gemeente;RES;Provincie;Aantal_woningen;Aantal_utiliteiten;Vraag_Aardgas;Vraag_MT_Warmte;Vraag_LT_Warmte;Vraag_ElektrischeWarmte;Vraag_Koude;Vraag_Elektriciteit;Vraag_Warmte_totaal;CO2_uitstoot_gas;CO2_uitstoot_elek;Maatschappelijke_kosten;nr_OrgEntity
'BU04020602';'WK040206';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';1066;47;11484.9742;0;18281.7239;0;0;10993.8455;29766.6981;0;0;2028557.08;5255
'BU04020603';'WK040206';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';1916;142;10920.8983;0;40648.4444;0;0;18923.7576;51569.3427;0;0;2930121.35;5256
'BU04020604';'WK040206';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';2251;84;1426.19557;0;56500.7287;0;0;22367.6213;57926.9243;0;0;2870596.94;5257
'BU04020605';'WK040206';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';2403;226;20731.9118;0;53062.4669;0;0;25770.6728;73794.3787;0;0;4678601.06;5258
'BU04020606';'WK040206';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';204;4;258.494984;0;5655.31638;0;0;1989.84978;5913.81136;0;0;279946.255;5259
'BU04020701';'WK040207';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';890;38;31019.7828;0;0;0;0;10359.4395;31019.7828;0;0;2322982.8;5260
'BU04020702';'WK040207';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';767;82;24615.7487;0;0;0;0;8820.42387;24615.7487;0;0;1572222.11;5261
'BU04020703';'WK040207';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';3684;276;95280.0374;0;0;0;0;37942.2917;95280.0374;0;0;5124973.66;5262
'BU04020704';'WK040207';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';9;2;471.756956;0;0;0;0;113.248489;471.756956;0;0;85951.8742;5263
'BU04020801';'WK040208';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';1827;86;51997.84;0;4955.42843;0;0;21152.1086;56953.2684;0;0;3135963.67;5264
'BU04020901';'WK040209';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';12;22;574.024295;0;0;0;0;139.357705;574.024295;0;0;442038.672;5265
'BU04020902';'WK040209';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';0;5;0;0;0;0;0;0;0;0;0;54601.2901;5266
'BU04020903';'WK040209';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';19;35;633.63738;0;153.807647;0;0;220.451485;787.445027;0;0;936926.904;5267
'BU04020904';'WK040209';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';37;13;1859.26003;0;0;0;0;464.355685;1859.26003;0;0;376988.681;5268
'BU04020905';'WK040209';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';134;87;4559.80346;0;0;0;0;1495.26354;4559.80346;0;0;1410634.74;5269
'BU04020906';'WK040209';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';6;2;331.881863;0;0;0;0;76.3542881;331.881863;0;0;77778.6771;5270
'BU04020907';'WK040209';'Hilversum';'Noord-Holland Zuid';'Noord-Holland';4;7;89.1046869;0;104.178027;0;0;40.7405197;193.282714;0;0;61441.6219;5271
'BU04060001';'WK040600';'Huizen';'Noord-Holland Zuid';'Noord-Holland';1673;229;1085.34171;0;52836.5257;0;0;17194.15;53921.8674;0;0;3706119.48;5346
'BU04060002';'WK040600';'Huizen';'Noord-Holland Zuid';'Noord-Holland';1250;66;30393.692;0;10829.2437;0;0;14079.3336;41222.9357;0;0;2611745.08;5347
'BU04060103';'WK040601';'Huizen';'Noord-Holland Zuid';'Noord-Holland';1008;34;22035.051;0;14176.1757;0;0;11709.4016;36211.2267;0;0;2332887.46;5348
'BU04060204';'WK040602';'Huizen';'Noord-Holland Zuid';'Noord-Holland';94;2;5172.76544;0;0;0;0;1219.34091;5172.76544;0;0;486093.027;5349
'BU04060205';'WK040602';'Huizen';'Noord-Holland Zuid';'Noord-Holland';109;4;5056.36168;0;236.060205;0;0;1384.6919;5292.42189;0;0;535007.569;5350
'BU04060206';'WK040602';'Huizen';'Noord-Holland Zuid';'Noord-Holland';149;16;6113.75825;0;2006.28161;0;0;1886.24995;8120.03986;0;0;1088128.23;5351
'BU04060307';'WK040603';'Huizen';'Noord-Holland Zuid';'Noord-Holland';32;3;1619.70548;0;0;0;0;405.191943;1619.70548;0;0;172580.99;5352
'BU04060308';'WK040603';'Huizen';'Noord-Holland Zuid';'Noord-Holland';63;6;3348.25342;0;0;0;0;802.769771;3348.25342;0;0;290250.167;5353
'BU04060327';'WK040603';'Huizen';'Noord-Holland Zuid';'Noord-Holland';7;2;371.472758;0;0;0;0;87.7116662;371.472758;0;0;64771.9585;5354
'BU04060328';'WK040603';'Huizen';'Noord-Holland Zuid';'Noord-Holland';1;1;58.8603755;0;0;0;0;13.0402554;58.8603755;0;0;8799.471;5355
'BU04060329';'WK040603';'Huizen';'Noord-Holland Zuid';'Noord-Holland';4;3;163.316272;0;0;0;0;49.5992262;163.316272;0;0;73276.2885;5356
'BU04060330';'WK040603';'Huizen';'Noord-Holland Zuid';'Noord-Holland';42;2;1913.05287;0;0;0;0;535.146872;1913.05287;0;0;155963.153;5357
'BU04060409';'WK040604';'Huizen';'Noord-Holland Zuid';'Noord-Holland';244;3;11231.1116;0;0;0;0;3165.00189;11231.1116;0;0;743606.268;5358
'BU04060410';'WK040604';'Huizen';'Noord-Holland Zuid';'Noord-Holland';980;50;33738.2681;0;1978.06317;0;0;11340.6033;35716.3313;0;0;2366450.61;5359
'BU04060511';'WK040605';'Huizen';'Noord-Holland Zuid';'Noord-Holland';359;19;2371.73294;0;7399.13387;0;0;3459.1256;9770.8668;0;0;661790.951;5360
'BU04060512';'WK040605';'Huizen';'Noord-Holland Zuid';'Noord-Holland';34;31;724.66823;0;0;0;0;315.582667;724.66823;0;0;459303.403;5361
'BU04060513';'WK040605';'Huizen';'Noord-Holland Zuid';'Noord-Holland';232;128;2799.80931;0;3081.40617;0;0;2338.96504;5881.21547;0;0;2239971.03;5362
'BU04060614';'WK040606';'Huizen';'Noord-Holland Zuid';'Noord-Holland';1331;97;28921.2473;0;4915.0887;0;0;13720.5644;33836.336;0;0;2082618.61;5363
'BU04060615';'WK040606';'Huizen';'Noord-Holland Zuid';'Noord-Holland';559;45;16741.3727;0;0;0;0;6196.25225;16741.3727;0;0;1037698.81;5364
'BU04060716';'WK040607';'Huizen';'Noord-Holland Zuid';'Noord-Holland';1599;289;38439.84;0;8733.23659;0;0;18205.7747;47173.0765;0;0;2905527.59;5365
'BU04060817';'WK040608';'Huizen';'Noord-Holland Zuid';'Noord-Holland';1453;168;18348.2445;0;23421.3942;0;0;16042.8333;41769.6387;0;0;2330110.63;5366
'BU04060818';'WK040608';'Huizen';'Noord-Holland Zuid';'Noord-Holland';1366;80;37497.4427;0;0;0;0;14515.3255;37497.4427;0;0;2200740.09;5367
'BU04060919';'WK040609';'Huizen';'Noord-Holland Zuid';'Noord-Holland';1409;60;39197.5737;0;183.302794;0;0;15053.3793;39380.8765;0;0;2028920.8;5368
'BU04061020';'WK040610';'Huizen';'Noord-Holland Zuid';'Noord-Holland';750;28;7071.53236;0;12747.5734;0;0;7397.94012;19819.1058;0;0;952017.805;5369
'BU04061021';'WK040610';'Huizen';'Noord-Holland Zuid';'Noord-Holland';221;12;51.6682848;0;6457.99828;0;0;2312.25149;6509.66656;0;0;303475.698;5370
'BU04061123';'WK040611';'Huizen';'Noord-Holland Zuid';'Noord-Holland';1478;35;43484.4041;0;0;0;0;16426.2708;43484.4041;0;0;2227069.34;5371
'BU04061124';'WK040611';'Huizen';'Noord-Holland Zuid';'Noord-Holland';821;58;20670.7289;0;0;0;0;7894.68589;20670.7289;0;0;1128667.97;5372
'BU04061125';'WK040611';'Huizen';'Noord-Holland Zuid';'Noord-Holland';593;8;15986.6145;0;0;0;0;6167.4156;15986.6145;0;0;857190.717;5373
'BU04061226';'WK040612';'Huizen';'Noord-Holland Zuid';'Noord-Holland';801;10;26270.0698;0;0;0;0;8674.38423;26270.0698;0;0;1135130.21;5374
'BU04061231';'WK040612';'Huizen';'Noord-Holland Zuid';'Noord-Holland';120;0;4463.88787;0;0;0;0;1381.12878;4463.88787;0;0;186449.06;5375
'BU04170320';'WK041703';'Laren';'Noord-Holland Zuid';'Noord-Holland';995;374;1787.36849;0;33188.778;0;0;10273.9419;34976.1465;0;0;3181715.22;5390
