bron_naam;bron_id;x_coord;y_coord;ingebruik;uitgebruik;MWth_max;bron_vol;bron_cap;T_bron;Ki_kW_min;Ki_kW_max;K_GJ;capaciteit_benuttingsfactor;SourceType
Stepan Specialty Products BV;693;4.80821;52.4679;1999;1999;24;0.7;0.3;30;50;250;0;0.0182906184;LT
Tate   Lyle Netherlands BV;694;4.81243;52.4655;1999;1999;24;0.7;0.3;30;50;250;0;0.0175798882;LT
Twincon BV;695;4.80763;52.4701;1999;1999;24;0.7;0.3;30;50;250;0;0.0373560395;LT
Vers Vlees voor Hond en Kat Lotgering BV;696;4.81572;52.4569;1999;1999;24;0.7;0.3;30;50;250;0;0.0550698586;LT
Albert Heijn BV;1278;4.74648;52.2682;1999;1999;0.485872099;0.7;0.3;30;50;250;0;1.69982242;LT
Albert Heijn BV;1279;4.79481;52.2746;1999;1999;0.485872099;0.7;0.3;30;50;250;0;1.3516512;LT
Hoogvliet BV;1280;4.76466;52.2533;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.14550098;LT
Hoogvliet BV;1281;4.78773;52.2783;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0.398937927;LT
Zaal Supermarkten BV;1282;4.76243;52.2644;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.0070159;LT
Albert Heijn BV;1388;4.86013;52.3033;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.03463567;LT
Albert Heijn BV;1389;4.8395;52.2889;1999;1999;0.485872099;0.7;0.3;30;50;250;0;1.91948696;LT
Albert Heijn BV;1390;4.86997;52.2888;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00173731;LT
Albert Heijn BV;1391;4.82651;52.2819;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.0604334;LT
Albert Heijn BV;1392;4.86604;52.318;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.18663469;LT
Albert Heijn BV;1393;4.87535;52.312;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.16759675;LT
Albert Heijn BV;1394;4.85149;52.2813;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00253475;LT
Coop Supermarkten BV;1395;4.86227;52.2796;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.00253475;LT
Deen Winkels BV;1396;4.87486;52.3021;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.03463567;LT
Jumbo Supermarkten BV;1397;4.86924;52.289;1999;1999;0.485872099;0.7;0.3;30;50;250;0;1.00173731;LT
LIDL Nederland GmbH;1398;4.84756;52.3116;1999;1999;0.048587222;0.7;0.3;30;50;250;0;0;LT
Van der Linden Supermarkt BV;1399;4.84634;52.3071;1999;1999;0.048587222;0.7;0.3;30;50;250;0;0;LT
Albert Heijn BV;1400;4.85529;52.3641;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00358023;LT
Albert Heijn BV;1401;4.9397;52.3974;1999;1999;0.485872099;0.7;0.3;30;50;250;0;1.00012927;LT
Albert Heijn BV;1402;4.89614;52.4225;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00122185;LT
Albert Heijn BV;1403;4.93991;52.3502;1999;1999;0.485872099;0.7;0.3;30;50;250;0;1.00199664;LT
Albert Heijn BV;1404;4.82669;52.355;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.41079775;LT
Albert Heijn BV;1405;4.83755;52.3638;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.20428152;LT
Albert Heijn BV;1406;4.93978;52.3623;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00273808;LT
Albert Heijn BV;1407;4.85602;52.3817;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.01529395;LT
Albert Heijn BV;1408;4.80157;52.3777;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0;LT
Albert Heijn BV;1409;4.91238;52.3623;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00950544;LT
Albert Heijn BV;1410;4.92436;52.3664;1999;1999;0.485872099;0.7;0.3;30;50;250;0;1.94974232;LT
Albert Heijn BV;1411;4.89396;52.3748;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.0158026;LT
Albert Heijn BV;1412;4.8704;52.3666;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00181108;LT
Albert Heijn BV;1413;4.88441;52.3784;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0;LT
Albert Heijn BV;1414;4.85583;52.3524;1999;1999;0.113370123;0.7;0.3;30;50;250;0;0;LT
Albert Heijn BV;1415;4.89653;52.3576;1999;1999;0.485872099;0.7;0.3;30;50;250;0;0;LT
Albert Heijn BV;1416;4.92816;52.3571;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0;LT
Albert Heijn BV;1417;4.86964;52.3537;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00335854;LT
Albert Heijn BV;1418;4.97208;52.3229;1999;1999;0.113370123;0.7;0.3;30;50;250;0;0;LT
Albert Heijn BV;1419;4.86411;52.3622;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00114197;LT
Albert Heijn BV;1420;4.87963;52.3572;1999;1999;0.485872099;0.7;0.3;30;50;250;0;1.19038517;LT
Albert Heijn BV;1421;4.87852;52.3311;1999;1999;1.13370154;0.7;0.3;30;50;250;0;1.00047189;LT
Albert Heijn BV;1422;4.95513;52.3156;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.04951321;LT
Albert Heijn BV;1423;4.9036;52.3688;1999;1999;0.485872099;0.7;0.3;30;50;250;0;0;LT
Albert Heijn BV;1424;4.9906;52.358;1999;1999;0.485872099;0.7;0.3;30;50;250;0;0;LT
Albert Heijn BV;1425;4.87767;52.3488;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00265991;LT
Albert Heijn BV;1426;4.8919;52.351;1999;1999;0.485872099;0.7;0.3;30;50;250;0;1.00092082;LT
Albert Heijn BV;1427;4.89389;52.3739;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.0158026;LT
Albert Heijn BV;1428;4.93171;52.363;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00439251;LT
Albert Heijn BV;1429;4.92008;52.3548;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.02283214;LT
Albert Heijn BV;1430;4.88394;52.3739;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.15247051;LT
Albert Heijn BV;1431;4.86389;52.3458;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00424431;LT
Albert Heijn BV;1432;4.90259;52.3528;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0;LT
Albert Heijn BV;1433;4.8029;52.3595;1999;1999;0.485872099;0.7;0.3;30;50;250;0;1.00025375;LT
Albert Heijn BV;1434;4.91555;52.3905;1999;1999;0.113370123;0.7;0.3;30;50;250;0;0;LT
