BU_CODE;WK_CODE;Gemeente;RES;Provincie;WarmteAllocatieOptie;Aantal_WoningEQ;Aantal_woningen;Aantal_utiliteiten;Vraag_Aardgas;Vraag_MT_Warmte;Vraag_LT_Warmte;Vraag_ElektrischeWarmte;Vraag_Koude;Vraag_Elektriciteit;Vraag_Warmte_totaal;Vraag_Warmte_perhectare;CO2_reductie;Nat_abskosten;Nat_meerkosten;Nat_meerkost_CO2;CO2_uitstoot_gas;CO2_uitstoot_elek;Maatschappelijke_kosten;Aansl_aardgas;Aansl_eWP;Aansl_MT;Aansl_LT;Aansl_hWPgroengas;Aansl_HRgroengas;nr_OrgEntity
BU04020405;WK040204;Hilversum;Noord-Holland Zuid;Noord-Holland;;2421.75385;2277;144.753846;0;0;0;7;2;19;7;309;5051;4379774;1724952;341;0;0;3719788.03;0;2706;0;0;0;0;5247
BU04020501;WK040205;Hilversum;Noord-Holland Zuid;Noord-Holland;;2060.36154;1437;623.361538;0;0;0;10;2;30;10;238;6747;5467014;1689127;250;0;0;4892190.95;0;1684;0;0;0;0;5248
BU04020502;WK040205;Hilversum;Noord-Holland Zuid;Noord-Holland;;675.9;624;51.9;0;0;0;10;3;23;10;49;1896;1550519;427665;226;0;0;1411426.54;0;675;0;0;0;0;5249
BU04020503;WK040205;Hilversum;Noord-Holland Zuid;Noord-Holland;;1620.23846;240;1380.23846;0;0;0;5;1;51;5;163;3449;3608210;31734;9;0;0;2845391.49;0;395;0;0;0;0;5250
BU04020504;WK040205;Hilversum;Noord-Holland Zuid;Noord-Holland;;121.176923;97;24.1769231;0;0;0;14;2;29;14;54;566;430012;77336;137;0;0;416632.063;0;101;0;0;0;0;5251
BU04020505;WK040205;Hilversum;Noord-Holland Zuid;Noord-Holland;;2147.09231;1933;214.092308;0;0;0;6;1;19;6;304;4149;3596639;1361018;328;0;0;3034640.66;0;2142;0;0;0;0;5252
BU04020506;WK040205;Hilversum;Noord-Holland Zuid;Noord-Holland;;2.78461538;0;2.78461538;0;0;0;2;8;67;2;1;2;33469;-13783;-6938;0;0;36836.0159;0;2;0;0;0;0;5253
BU04020601;WK040206;Hilversum;Noord-Holland Zuid;Noord-Holland;;1559.46923;1200;359.469231;0;0;0;7;1;25;7;395;3938;3272256;1146348;291;0;0;2846738.29;0;1311;0;0;0;0;5254
BU04020602;WK040206;Hilversum;Noord-Holland Zuid;Noord-Holland;;1288.54615;1066;222.546154;0;0;0;7;1;24;7;389;3092;2605600;933859;302;0;0;2252304.97;0;1113;0;0;0;0;5255
BU04020603;WK040206;Hilversum;Noord-Holland Zuid;Noord-Holland;;2268.59231;1916;352.592308;0;0;0;7;1;23;7;341;4989;4263558;1429481;287;0;0;3647457.92;0;2058;0;0;0;0;5256
BU04020604;WK040206;Hilversum;Noord-Holland Zuid;Noord-Holland;;2463.03846;2251;212.038462;0;0;0;8;1;21;8;400;5379;4409105;1567784;291;0;0;3784232.94;0;2335;0;0;0;0;5257
BU04020605;WK040206;Hilversum;Noord-Holland Zuid;Noord-Holland;;2858.4;2403;455.4;0;3;0;7;2;26;11;413;7686;6233423;2100524;273;0;0;5491345.97;0;2366.1;262.9;0;0;0;5258
BU04020606;WK040206;Hilversum;Noord-Holland Zuid;Noord-Holland;;216.623077;204;12.6230769;0;0;0;8;2;20;8;96;415;395472;76774;185;0;0;357104.77;0;208;0;0;0;0;5259
