bron_naam;Label;x_coord;y_coord;ingebruik;uitgebruik;Categorie_rel;MWth_max;bron_vol;bron_cap;T_bron;P_ow_max;Ki_kW_min;Ki_kW_max;K_GJ;capaciteit_benuttingsfactor
Loders Croklaan BV;691;4.8093;52.4842;1999;1999;6;24;0.7;0.3;30;24000;50;250;0;0.00156197039
Meneba Wormerveer BV;692;4.79303;52.5021;1999;1999;6;24;0.7;0.3;30;24000;50;250;0;0.0110928026
Stepan Specialty Products BV;693;4.80821;52.4679;1999;1999;6;24;0.7;0.3;30;24000;50;250;0;0.00802946053
Tate   Lyle Netherlands BV;694;4.81243;52.4655;1999;1999;6;24;0.7;0.3;30;24000;50;250;0;0.00995447697
Twincon BV;695;4.80763;52.4701;1999;1999;6;24;0.7;0.3;30;24000;50;250;0;0.0213827237
Vers Vlees voor Hond en Kat Lotgering BV;696;4.81572;52.4569;1999;1999;6;24;0.7;0.3;30;24000;50;250;0;0.0413814638
Albert Heijn BV;1278;4.74648;52.2682;1999;1999;0;0.485872099;0.7;0.3;30;485.872099;50;250;0;1.00075232
Albert Heijn BV;1279;4.79481;52.2746;1999;1999;0;0.485872099;0.7;0.3;30;485.872099;50;250;0;0.499483301
Hoogvliet BV;1280;4.76466;52.2533;1999;1999;0;0.048587222;0.7;0.3;30;48.587222;50;250;0;1.01009339
Hoogvliet BV;1281;4.78773;52.2783;1999;1999;0;0.242936049;0.7;0.3;30;242.936049;50;250;0;0.348191783
Zaal Supermarkten BV;1282;4.76243;52.2644;1999;1999;0;0.048587222;0.7;0.3;30;48.587222;50;250;0;1.00261904
Albert Heijn BV;1388;4.86013;52.3033;1999;1999;0;0.242936049;0.7;0.3;30;242.936049;50;250;0;1.00107242
Albert Heijn BV;1389;4.8395;52.2889;1999;1999;0;0.485872099;0.7;0.3;30;485.872099;50;250;0;1.07736686
Albert Heijn BV;1390;4.86997;52.2888;1999;1999;0;0.242936049;0.7;0.3;30;242.936049;50;250;0;1.00062071
Albert Heijn BV;1391;4.82651;52.2819;1999;1999;0;0.242936049;0.7;0.3;30;242.936049;50;250;0;1.12836713
Albert Heijn BV;1392;4.86604;52.318;1999;1999;0;0.113370123;0.7;0.3;30;113.370123;50;250;0;1.04232976
Albert Heijn BV;1393;4.87535;52.312;1999;1999;0;0.242936049;0.7;0.3;30;242.936049;50;250;0;1.10124043
Albert Heijn BV;1394;4.85149;52.2813;1999;1999;0;0.242936049;0.7;0.3;30;242.936049;50;250;0;1.00622697
Coop Supermarkten BV;1395;4.86227;52.2796;1999;1999;0;0.048587222;0.7;0.3;30;48.587222;50;250;0;1.00622697
Deen Winkels BV;1396;4.87486;52.3021;1999;1999;0;0.242936049;0.7;0.3;30;242.936049;50;250;0;1.00107242
Jumbo Supermarkten BV;1397;4.86924;52.289;1999;1999;0;0.485872099;0.7;0.3;30;485.872099;50;250;0;1.00062071
LIDL Nederland GmbH;1398;4.84756;52.3116;1999;1999;0;0.048587222;0.7;0.3;30;48.587222;50;250;0;0
Van der Linden Supermarkt BV;1399;4.84634;52.3071;1999;1999;0;0.048587222;0.7;0.3;30;48.587222;50;250;0;0
Albert Heijn BV;1400;4.85529;52.3641;1999;1999;0;0.242936049;0.7;0.3;30;242.936049;50;250;0;1.00399392
Albert Heijn BV;1401;4.9397;52.3974;1999;1999;0;0.485872099;0.7;0.3;30;485.872099;50;250;0;1.00087727
Albert Heijn BV;1402;4.89614;52.4225;1999;1999;0;0.113370123;0.7;0.3;30;113.370123;50;250;0;1.00105435
Albert Heijn BV;1403;4.93991;52.3502;1999;1999;0;0.485872099;0.7;0.3;30;485.872099;50;250;0;1.00524473
Albert Heijn BV;1404;4.82669;52.355;1999;1999;0;0.242936049;0.7;0.3;30;242.936049;50;250;0;0.979320641
Albert Heijn BV;1405;4.83755;52.3638;1999;1999;0;0.242936049;0.7;0.3;30;242.936049;50;250;0;1.0013181
Albert Heijn BV;1406;4.93978;52.3623;1999;1999;0;0.113370123;0.7;0.3;30;113.370123;50;250;0;1.00261378
Albert Heijn BV;1407;4.85602;52.3817;1999;1999;0;0.113370123;0.7;0.3;30;113.370123;50;250;0;1.01277031
Albert Heijn BV;1408;4.80157;52.3777;1999;1999;0;0.242936049;0.7;0.3;30;242.936049;50;250;0;0
Albert Heijn BV;1409;4.91238;52.3623;1999;1999;0;0.242936049;0.7;0.3;30;242.936049;50;250;0;1.00709382
Albert Heijn BV;1410;4.92436;52.3664;1999;1999;0;0.485872099;0.7;0.3;30;485.872099;50;250;0;1.00749256
Albert Heijn BV;1411;4.89396;52.3748;1999;1999;0;0.242936049;0.7;0.3;30;242.936049;50;250;0;1.01601531
Albert Heijn BV;1412;4.8704;52.3666;1999;1999;0;0.242936049;0.7;0.3;30;242.936049;50;250;0;1.0007338
Albert Heijn BV;1413;4.88441;52.3784;1999;1999;0;0.242936049;0.7;0.3;30;242.936049;50;250;0;0
Albert Heijn BV;1414;4.85583;52.3524;1999;1999;0;0.113370123;0.7;0.3;30;113.370123;50;250;0;0
Albert Heijn BV;1415;4.89653;52.3576;1999;1999;0;0.485872099;0.7;0.3;30;485.872099;50;250;0;0
Albert Heijn BV;1416;4.92816;52.3571;1999;1999;0;0.242936049;0.7;0.3;30;242.936049;50;250;0;0
Albert Heijn BV;1417;4.86964;52.3537;1999;1999;0;0.113370123;0.7;0.3;30;113.370123;50;250;0;1.00221685
Albert Heijn BV;1418;4.97208;52.3229;1999;1999;0;0.113370123;0.7;0.3;30;113.370123;50;250;0;0
Albert Heijn BV;1419;4.86411;52.3622;1999;1999;0;0.242936049;0.7;0.3;30;242.936049;50;250;0;1.00039063
Albert Heijn BV;1420;4.87963;52.3572;1999;1999;0;0.485872099;0.7;0.3;30;485.872099;50;250;0;1.00031979
Albert Heijn BV;1421;4.87852;52.3311;1999;1999;0;1.13370154;0.7;0.3;30;1133.70154;50;250;0;1.00505622
Albert Heijn BV;1422;4.95513;52.3156;1999;1999;0;0.242936049;0.7;0.3;30;242.936049;50;250;0;1.0012895
Albert Heijn BV;1423;4.9036;52.3688;1999;1999;0;0.485872099;0.7;0.3;30;485.872099;50;250;0;0
