bron_naam;Label;x_coord;y_coord;ingebruik;uitgebruik;Categorie_rel;MWth_max;bron_vol;bron_cap;T_bron;P_ow_max;Ki_kW_min;Ki_kW_max;K_GJ;capaciteit_benuttingsfactor
Supermarkt Reigersbos BV;1511;4.97612;52.2945;1999;1999;0;0.485872099;0.7;0.3;30;485.872099;50;250;0;1.0004451
Supermarkt Verboom BV;1512;4.98755;52.2969;1999;1999;0;0.113370123;0.7;0.3;30;113.370123;50;250;0;1.0004451
Tanger Supermarkten Slotermeer BV;1513;4.82162;52.3807;1999;1999;0;0.048587222;0.7;0.3;30;48.587222;50;250;0;0
VOMAR Voordeelmarkt BV;1514;4.93153;52.3535;1999;1999;0;0.113370123;0.7;0.3;30;113.370123;50;250;0;0
VOMAR Voordeelmarkt BV;1515;4.84611;52.3793;1999;1999;0;0.113370123;0.7;0.3;30;113.370123;50;250;0;1.02184399
VOMAR Voordeelmarkt BV;1516;4.8013;52.3791;1999;1999;0;0.242936049;0.7;0.3;30;242.936049;50;250;0;0
VOMAR Voordeelmarkt BV;1517;4.95555;52.315;1999;1999;0;0.242936049;0.7;0.3;30;242.936049;50;250;0;1.0012895
VOMAR Voordeelmarkt BV;1518;4.96326;52.2999;1999;1999;0;0.242936049;0.7;0.3;30;242.936049;50;250;0;1.00036533
VOMAR Voordeelmarkt BV;1519;4.92381;52.3505;1999;1999;0;0.242936049;0.7;0.3;30;242.936049;50;250;0;1.0003239
Warea BV;1520;4.95539;52.3928;1999;1999;0;0.485872099;0.7;0.3;30;485.872099;50;250;0;1.00466511
Albert Heijn BV;1690;4.66373;52.4968;1999;1999;0;0.242936049;0.7;0.3;30;242.936049;50;250;0;0
Albert Heijn BV;1691;4.66067;52.4826;1999;1999;0;0.242936049;0.7;0.3;30;242.936049;50;250;0;1.00231966
Aldi;1692;4.66802;52.4853;1999;1999;0;0.048587222;0.7;0.3;30;48.587222;50;250;0;0
Aldi;1693;4.66455;52.4958;1999;1999;0;0.048587222;0.7;0.3;30;48.587222;50;250;0;0
Deka Supermarkten BV;1694;4.65761;52.4939;1999;1999;0;0.113370123;0.7;0.3;30;113.370123;50;250;0;0
Deka Supermarkten BV;1695;4.66635;52.4846;1999;1999;0;0.242936049;0.7;0.3;30;242.936049;50;250;0;0
Dekamarkt NV;1696;4.668;52.4852;1999;1999;0;0.485872099;0.7;0.3;30;485.872099;50;250;0;0
VOMAR Voordeelmarkt BV;1697;4.651;52.4889;1999;1999;0;0.113370123;0.7;0.3;30;113.370123;50;250;0;1.00173984
VOMAR Voordeelmarkt BV;1698;4.66196;52.4927;1999;1999;0;0.485872099;0.7;0.3;30;485.872099;50;250;0;0
Nijenhuis Supermarkt;1701;5.26521;52.2868;1999;1999;0;0.113370123;0.7;0.3;30;113.370123;50;250;0;0.134493029
Supermarkt Ton Blaricum BV;1702;5.24368;52.2735;1999;1999;0;0.485872099;0.7;0.3;30;485.872099;50;250;0;0.0314853948
Albert Heijn BV;1703;4.60883;52.3907;1999;1999;0;0.242936049;0.7;0.3;30;242.936049;50;250;0;1.10601444
P  Hulsbosch VOF;1704;4.57513;52.3196;1999;1999;0;0.048587222;0.7;0.3;30;48.587222;50;250;0;1.01353809
Stach BV;1705;4.60754;52.388;1999;1999;0;0.048587222;0.7;0.3;30;48.587222;50;250;0;1.10601444
Zwetsloot Retail BV;1706;4.5996;52.3207;1999;1999;0;0.113370123;0.7;0.3;30;113.370123;50;250;0;0.275330563
Albert Heijn BV;1896;4.96343;52.3424;1999;1999;0;0.485872099;0.7;0.3;30;485.872099;50;250;0;1.00050155
Aldi;1897;4.95714;52.3335;1999;1999;0;0.242936049;0.7;0.3;30;242.936049;50;250;0;1.00006511
Deen Winkels BV;1898;4.96214;52.3418;1999;1999;0;0.242936049;0.7;0.3;30;242.936049;50;250;0;1.00050155
M  en A  Cincil VOF;1899;4.97777;52.3498;1999;1999;0;0.113370123;0.7;0.3;30;113.370123;50;250;0;0
Super Vlaanderen;1900;4.95714;52.3335;1999;1999;0;0.242936049;0.7;0.3;30;242.936049;50;250;0;1.00006511
