BU_CODE;I01_buurtcode;I02_buurtnaam;I03_wijkcode;I04_wijknaam;I05_gemeentecode;I06_gemeentenaam;I07_energieregionaam;I08_provincienaam;I09_aantal_woningen;I10_aantal_utiliteit;I11_woningequivalenten;Uitgesloten;Woning_H01_Vraag_Totaal;Woning_H02_Vraag_Ruimteverwarming;Woning_H03_Vraag_Tapwater;Woning_H04_Vraag_Ventilatie;Woning_H05_Vraag_Koude;Woning_H06_Vraag_Apparaten;Woning_H07_Vraag_perhectare;Woning_H08_Input_Totaal;Woning_H09_Input_Aardgas;Woning_H10_Input_Duurzaamgas;Woning_H11_Input_Elektriciteit;Woning_H12_Input_MTwarmte;Woning_H13_Input_LTwarmte;Woning_H14_Saldo_Omgevingswarmte;Woning_H15_CO2_uitstoot;Woning_H16_Nat_meerkost;Woning_H17_Nat_meerkost_CO2;Woning_H18_Nat_meerkost_WEQ;Woning_H19_Waarde_hernieuwbaar_gas;Woning_A01_Aansl_aardgas;Woning_A02_Aansl_eWP;Woning_A03_Aansl_MT;Woning_A04_Aansl_LT;Woning_A05_Aansl_hWP_HG;Woning_A06_Aansl_HR_HG;Woning_A10_Aansl_LT_WKO;Woning_A11_Aansl_LT_LT15_30;Woning_A12_Aansl_LT_LT15_50;Woning_A13_Aansl_LT_LT15_70;Woning_A14_Aansl_LT_LT30_30;Woning_A15_Aansl_LT_LT30_50;Woning_A16_Aansl_LT_LT30_70;Woning_A17_Aansl_LT_TEO;Woning_A18_Aansl_LT_BuurtWKO;Woning_A19_Aansl_MT_Restwarmte;Woning_A20_Aansl_MT_Geothermie;Woning_A21_Aansl_MT_WijkWKK;Woning_A22_Aansl_MT_BioWKK;Woning_A23_Aansl_H2;Woning_A30_Aansl_LabelA;Woning_A31_Aansl_LabelB;Woning_A32_Aansl_LabelC;Woning_A33_Aansl_LabelD;Woning_A34_Aansl_LabelE;Woning_A35_Aansl_LabelF;Util_H01_Vraag_Totaal;Util_H02_Vraag_Ruimteverwarming;Util_H03_Vraag_Tapwater;Util_H04_Vraag_Ventilatie;Util_H05_Vraag_Koude;Util_H06_Vraag_Apparaten;Util_H07_Vraag_perhectare;Util_H08_Input_Totaal;Util_H09_Input_Aardgas;Util_H10_Input_Duurzaamgas;Util_H11_Input_Elektriciteit;Util_H12_Input_MTwarmte;Util_H13_Input_LTwarmte;Util_H14_Saldo_Omgevingswarmte;Util_H15_CO2_uitstoot;Util_H16_Nat_meerkost;Util_H17_Nat_meerkost_CO2;Util_H18_Nat_meerkost_WEQ;Util_H19_Waarde_hernieuwbaar_gas;Util_A01_Aansl_aardgas;Util_A02_Aansl_eWP;Util_A03_Aansl_MT;Util_A04_Aansl_LT;Util_A05_Aansl_hWP_HG;Util_A06_Aansl_HR_HG;Util_A10_Aansl_LT_WKO;Util_A11_Aansl_LT_LT15_30;Util_A12_Aansl_LT_LT15_50;Util_A13_Aansl_LT_LT15_70;Util_A14_Aansl_LT_LT30_30;Util_A15_Aansl_LT_LT30_50;Util_A16_Aansl_LT_LT30_70;Util_A17_Aansl_LT_TEO;Util_A18_Aansl_LT_BuurtWKO;Util_A19_Aansl_MT_Restwarmte;Util_A20_Aansl_MT_Geothermie;Util_A21_Aansl_MT_WijkWKK;Util_A22_Aansl_MT_BioWKK;Util_A23_Aansl_H2;nr_OrgEntity
BU04020302;BU04020302;Het Rode Dorp;WK040203;Zuidwest;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;616;9;624;False;42;24;8;1;0;10;1550;42;0;0;19;0;0;23;0;575354;408;922;0;0;616;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;616;0;0;0;0;1;0;0;0;0;1;7;1;0;0;1;0;0;0;0;575354;408;922;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;946
BU04020303;BU04020303;Zeverijn;WK040203;Zuidwest;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;845;80;972;False;33;19;6;1;0;8;957;33;0;0;15;0;0;18;0;777933;423;801;0;0;845;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;218;627;0;0;0;0;7;2;0;0;1;4;75;7;0;0;5;0;0;2;0;777933;423;801;0;0;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;947
BU04020304;BU04020304;Kerkelanden;WK040203;Zuidwest;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;3034;490;3887;False;29;16;5;0;0;7;591;29;0;0;13;0;0;15;0;3160323;475;813;0;0;3034;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;213;2821;0;0;0;0;16;5;0;0;2;9;131;16;0;0;10;0;0;5;0;3160323;475;813;0;0;490;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;948
BU04020401;BU04020401;Bloemenkwartier Noord;WK040204;Zuid;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;1310;216;1478;False;37;21;7;1;0;9;1531;37;0;0;17;0;0;20;0;1586671;486;1074;0;0;1310;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;1279;0;0;0;0;8;2;0;0;1;6;91;8;0;0;6;0;0;2;0;1586671;486;1074;0;0;216;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;949
BU04020402;BU04020402;Bloemenkwartier Zuid;WK040204;Zuid;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;2309;154;2497;False;38;21;7;1;0;9;1193;38;0;0;17;0;0;20;0;2387886;449;957;0;0;2309;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;269;2040;0;0;0;0;6;1;0;0;1;4;62;6;0;0;4;0;0;2;0;2387886;449;957;0;0;154;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;950
BU04020403;BU04020403;Schrijverskwartier;WK040204;Zuid;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;810;127;853;False;48;29;8;1;0;9;981;48;0;0;21;0;0;27;0;1026569;453;1204;0;0;810;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;803;0;0;0;0;4;1;0;0;1;3;18;4;0;0;3;0;0;1;0;1026569;453;1204;0;0;127;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;951
BU04020404;BU04020404;Staatsliedenkwartier;WK040204;Zuid;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;1620;255;1745;False;39;22;7;1;0;9;1208;39;0;0;18;0;0;21;0;1711605;441;981;0;0;1620;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;1604;0;0;0;0;6;2;0;0;1;3;71;6;0;0;4;0;0;2;0;1711605;441;981;0;0;255;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;952
BU04020405;BU04020405;Zeeheldenkwartier;WK040204;Zuid;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;2226;434;2379;False;32;17;7;0;0;8;1021;32;0;0;16;0;0;17;0;1999433;482;841;0;0;2226;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;166;2060;0;0;0;0;4;1;0;0;1;2;47;4;0;0;3;0;0;1;0;1999433;482;841;0;0;434;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;953
BU04020501;BU04020501;Schilderskwartier;WK040205;Zuidoost;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;1521;248;2169;False;36;22;6;1;0;7;705;36;0;0;15;0;0;20;0;2269400;405;1046;0;0;1521;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;178;1343;0;0;0;0;23;7;0;0;4;12;175;23;0;0;15;0;0;8;0;2269400;405;1046;0;0;248;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;954
BU04020502;BU04020502;t Hoogt van t Kruis;WK040205;Zuidoost;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;625;50;677;False;45;28;7;1;0;9;174;45;0;0;18;0;0;26;0;556645;331;823;0;0;625;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;214;411;0;0;0;0;6;2;0;0;1;3;11;6;0;0;4;0;0;3;0;556645;331;823;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;955
