bron_naam;Label;x_coord;y_coord;ingebruik;uitgebruik;MWth_max;bron_vol;bron_cap;T_bron;Ki_kW_min;Ki_kW_max;K_GJ;capaciteit_benuttingsfactor;SourceType
Emt0 Supermarkten BV;2078;6.86407;52.2253;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.01261192;LT
Emt0 Supermarkten BV;2079;6.91573;52.2277;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.00659301;LT
Emt0 Supermarkten BV;2080;6.86494;52.2114;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.10146577;LT
Emt0 Supermarkten BV;2081;6.89502;52.213;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.01866588;LT
Jumbo Supermarkten BV;2082;6.88006;52.1915;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.02370613;LT
Jumbo Supermarkten BV;2083;6.89166;52.2315;1999;1999;0.485872099;0.7;0.3;30;50;250;0;1.02075207;LT
Jumbo Supermarkten BV;2084;6.88006;52.1915;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.02370613;LT
Jumbo Supermarkten BV;2085;6.89824;52.2213;1999;1999;0.485872099;0.7;0.3;30;50;250;0;1.18507601;LT
LIDL Nederland GmbH;2086;6.8579;52.2291;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.57436678;LT
LIDL Nederland GmbH;2087;6.88966;52.2311;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.02075207;LT
LIDL Nederland GmbH;2088;6.88006;52.1915;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.02370613;LT
Lochan Supermarkt BV;2089;6.97017;52.2129;1999;1999;0.485872099;0.7;0.3;30;50;250;0;1.00129253;LT
Meijer Citystore;2090;6.89439;52.2105;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.01866588;LT
Raymond Janssen Food BV;2091;6.87898;52.2062;1999;1999;0.485872099;0.7;0.3;30;50;250;0;0.831303532;LT
Albert Heijn Kamphuis Haaksbergen BV;2209;6.74053;52.1563;1999;1999;0.048587222;0.7;0.3;30;50;250;0;0.372136204;LT
Aldi;2210;6.74432;52.1538;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.00213699;LT
Detailconsult Supermarkten BV;2211;6.74471;52.1541;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.00213699;LT
Emt0 Supermarkten BV;2212;6.72969;52.1597;1999;1999;0.113370123;0.7;0.3;30;50;250;0;0.039106886;LT
Emte Supermarkten BV;2213;6.74471;52.1541;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.00213699;LT
G J  Leusink Supermarkt BV;2214;6.75512;52.1643;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00560468;LT
Gebrs  Leussink Haaksbergen BV;2215;6.73798;52.1577;1999;1999;1.13370154;0.7;0.3;30;50;250;0;0.372136204;LT
Leussink Haaksbergen BV;2216;6.73798;52.1577;1999;1999;1.13370154;0.7;0.3;30;50;250;0;0.372136204;LT
Plus Nijland Keizerslanden BV;2217;6.73493;52.1637;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00073445;LT
Ter Huurne Holland Markt BV;2218;6.86668;52.1282;1999;1999;0.485872099;0.7;0.3;30;50;250;0;0.307119486;LT
Albert Heijn BV;2368;6.46588;52.3642;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0;LT
Albert Heijn BV;2369;6.44877;52.3905;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00573902;LT
Aldi;2370;6.46786;52.365;1999;1999;0.048587222;0.7;0.3;30;50;250;0;0;LT
Emt0 Supermarkten BV;2371;6.47439;52.3556;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.01097081;LT
Haanstra Supermarkten VOF;2372;6.45544;52.3648;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.0010734;LT
Jumbo Supermarkten BV;2373;6.48279;52.3773;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.00203409;LT
Jumbo Supermarkten BV;2374;6.45658;52.3655;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.0010734;LT
LIDL Nederland GmbH;2375;6.46861;52.3651;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0;LT
Albert Heijn BV;2394;6.78625;52.2551;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0;LT
Albert Heijn BV;2395;6.7931;52.2669;1999;1999;0.485872099;0.7;0.3;30;50;250;0;1.00135612;LT
Albert Heijn BV;2396;6.80578;52.2952;1999;1999;0.113370123;0.7;0.3;30;50;250;0;0.788327462;LT
Berghuis Supermarkt BV;2397;6.80578;52.2952;1999;1999;0.113370123;0.7;0.3;30;50;250;0;0.788327462;LT
Boddeman BV;2398;6.79227;52.2767;1999;1999;0.485872099;0.7;0.3;30;50;250;0;1.00012675;LT
BV Nettorama Verbruikersmarkten;2399;6.80587;52.254;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00587096;LT
Emt0 Supermarkten BV;2400;6.81027;52.2673;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.01441551;LT
Emt0 Supermarkten BV;2401;6.77369;52.27;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.00978466;LT
