BU_CODE;I01_buurtcode;I02_buurtnaam;I03_wijkcode;I04_wijknaam;I05_gemeentecode;I06_gemeentenaam;I07_energieregionaam;I08_provincienaam;I09_aantal_woningen;I10_aantal_utiliteit;I11_woningequivalenten;Uitgesloten;Woning_H01_Vraag_Totaal;Woning_H02_Vraag_Ruimteverwarming;Woning_H03_Vraag_Tapwater;Woning_H04_Vraag_Ventilatie;Woning_H05_Vraag_Koude;Woning_H06_Vraag_Apparaten;Woning_H07_Vraag_perhectare;Woning_H08_Input_Totaal;Woning_H09_Input_Aardgas;Woning_H10_Input_Duurzaamgas;Woning_H11_Input_Elektriciteit;Woning_H12_Input_MTwarmte;Woning_H13_Input_LTwarmte;Woning_H14_Saldo_Omgevingswarmte;Woning_H15_CO2_uitstoot;Woning_H16_Nat_meerkost;Woning_H17_Nat_meerkost_CO2;Woning_H18_Nat_meerkost_WEQ;Woning_H19_Waarde_hernieuwbaar_gas;Woning_A01_Aansl_aardgas;Woning_A02_Aansl_eWP;Woning_A03_Aansl_MT;Woning_A04_Aansl_LT;Woning_A05_Aansl_hWP_HG;Woning_A06_Aansl_HR_HG;Woning_A10_Aansl_LT_WKO;Woning_A11_Aansl_LT_LT15_30;Woning_A12_Aansl_LT_LT15_50;Woning_A13_Aansl_LT_LT15_70;Woning_A14_Aansl_LT_LT30_30;Woning_A15_Aansl_LT_LT30_50;Woning_A16_Aansl_LT_LT30_70;Woning_A17_Aansl_LT_TEO;Woning_A18_Aansl_LT_BuurtWKO;Woning_A19_Aansl_MT_Restwarmte;Woning_A20_Aansl_MT_Geothermie;Woning_A21_Aansl_MT_WijkWKK;Woning_A22_Aansl_MT_BioWKK;Woning_A23_Aansl_H2;Woning_A30_Aansl_LabelA;Woning_A31_Aansl_LabelB;Woning_A32_Aansl_LabelC;Woning_A33_Aansl_LabelD;Woning_A34_Aansl_LabelE;Woning_A35_Aansl_LabelF;Util_H01_Vraag_Totaal;Util_H02_Vraag_Ruimteverwarming;Util_H03_Vraag_Tapwater;Util_H04_Vraag_Ventilatie;Util_H05_Vraag_Koude;Util_H06_Vraag_Apparaten;Util_H07_Vraag_perhectare;Util_H08_Input_Totaal;Util_H09_Input_Aardgas;Util_H10_Input_Duurzaamgas;Util_H11_Input_Elektriciteit;Util_H12_Input_MTwarmte;Util_H13_Input_LTwarmte;Util_H14_Saldo_Omgevingswarmte;Util_H15_CO2_uitstoot;Util_H16_Nat_meerkost;Util_H17_Nat_meerkost_CO2;Util_H18_Nat_meerkost_WEQ;Util_H19_Waarde_hernieuwbaar_gas;Util_A01_Aansl_aardgas;Util_A02_Aansl_eWP;Util_A03_Aansl_MT;Util_A04_Aansl_LT;Util_A05_Aansl_hWP_HG;Util_A06_Aansl_HR_HG;Util_A10_Aansl_LT_WKO;Util_A11_Aansl_LT_LT15_30;Util_A12_Aansl_LT_LT15_50;Util_A13_Aansl_LT_LT15_70;Util_A14_Aansl_LT_LT30_30;Util_A15_Aansl_LT_LT30_50;Util_A16_Aansl_LT_LT30_70;Util_A17_Aansl_LT_TEO;Util_A18_Aansl_LT_BuurtWKO;Util_A19_Aansl_MT_Restwarmte;Util_A20_Aansl_MT_Geothermie;Util_A21_Aansl_MT_WijkWKK;Util_A22_Aansl_MT_BioWKK;Util_A23_Aansl_H2;nr_OrgEntity
BU03760101;BU03760101;Bijvanck;WK037601;Blaricum;GM0376;Blaricum;Noord-Holland Zuid;Noord-Holland;1814;98;1893;False;40;23;8;0;0;9;565;40;0;0;24;0;31;-16;0;1968534;555;1040;0;0;0;0;1814;0;0;0;0;0;0;0;0;0;0;1814;0;0;0;0;0;233;465;883;233;0;0;3;1;0;0;0;2;19;3;0;0;17;0;31;-45;0;1968534;555;1040;0;0;0;0;98;0;0;0;0;0;0;0;0;0;0;98;0;0;0;0;0;581
BU03760102;BU03760102;Blaricum-Dorp;WK037601;Blaricum;GM0376;Blaricum;Noord-Holland Zuid;Noord-Holland;2249;185;2577;False;51;35;8;0;0;8;284;51;0;0;30;0;45;-25;0;5686370;755;2207;0;0;0;0;2249;0;0;0;0;0;0;0;0;0;0;2249;0;0;0;0;0;213;248;225;1563;0;0;10;3;0;0;2;5;19;10;0;0;28;0;45;-63;0;5686370;755;2207;0;0;0;0;185;0;0;0;0;0;0;0;0;0;0;185;0;0;0;0;0;582
BU03760103;BU03760103;Blaricummer Heide;WK037601;Blaricum;GM0376;Blaricum;Noord-Holland Zuid;Noord-Holland;1;3;9;False;9;7;1;0;0;1;1;9;0;0;18;0;36;-46;0;57723;1461;6664;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;75;25;3;0;26;21;3;75;0;0;45;0;36;-7;0;57723;1461;6664;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;583
BU03760104;BU03760104;Blaricummermeent;WK037601;Blaricum;GM0376;Blaricum;Noord-Holland Zuid;Noord-Holland;914;142;1031;False;32;17;7;0;0;8;343;32;0;3;17;12;15;-14;0;728943;461;707;0;0;0;393;521;0;0;0;0;0;0;0;0;0;0;521;393;0;0;0;0;905;9;0;0;0;0;5;2;0;0;1;2;32;5;0;3;13;12;15;-38;0;728943;461;707;0;0;0;61;81;0;0;0;0;0;0;0;0;0;0;81;61;0;0;0;0;584
BU03760105;BU03760105;Crailo;WK037601;Blaricum;GM0376;Blaricum;Noord-Holland Zuid;Noord-Holland;56;5;355;False;11;8;1;0;0;1;91;11;0;0;29;0;58;-76;0;389936;338;1100;0;0;0;0;56;0;0;0;0;0;0;0;0;0;0;56;0;0;0;0;0;10;2;9;35;0;0;79;44;4;0;5;26;476;79;0;0;55;0;58;-33;0;389936;338;1100;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;585
BU03760106;BU03760106;De Kampen;WK037601;Blaricum;GM0376;Blaricum;Noord-Holland Zuid;Noord-Holland;1;0;1;False;80;62;9;0;0;10;0;80;0;0;44;0;71;-34;0;30382;7548;30382;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;34;0;71;-105;0;30382;7548;30382;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;586
BU03760107;BU03760107;Eemmeer-Blaricum;WK037601;Blaricum;GM0376;Blaricum;Noord-Holland Zuid;Noord-Holland;0;0;0;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;587
BU03760108;BU03760108;Stichtsebrug;WK037601;Blaricum;GM0376;Blaricum;Noord-Holland Zuid;Noord-Holland;0;3;1;False;0;0;0;0;0;0;0;0;0;0;25;35;0;-60;0;29577;11401;32585;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;101;47;4;0;30;20;2;101;0;0;54;35;0;13;0;29577;11401;32585;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;588
BU03760109;BU03760109;Warandepark-De Eng;WK037601;Blaricum;GM0376;Blaricum;Noord-Holland Zuid;Noord-Holland;1;1;2;False;32;22;5;0;0;6;0;32;0;0;26;0;42;-35;0;30644;4397;17705;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;36;14;2;0;13;7;0;36;0;0;31;0;42;-37;0;30644;4397;17705;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;589
BU04020101;BU04020101;Centrum;WK040201;Centrum;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;1922;545;3836;False;17;10;4;0;0;4;1266;17;0;0;16;0;23;-21;0;3491534;461;910;0;0;0;0;1922;0;0;0;0;0;0;0;0;0;0;1922;0;0;0;0;0;385;432;269;836;0;0;46;10;1;0;7;29;970;46;0;0;42;0;23;-20;0;3491534;461;910;0;0;0;0;545;0;0;0;0;0;0;0;0;0;0;545;0;0;0;0;0;935
BU04020102;BU04020102;Havenstraatbuurt;WK040201;Centrum;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;1532;196;1744;False;33;18;7;0;0;8;1963;33;0;0;21;0;27;-15;0;1381990;419;793;0;0;0;0;1532;0;0;0;0;0;0;0;0;0;0;1532;0;0;0;0;0;196;205;276;855;0;0;11;2;0;0;2;7;165;11;0;0;20;0;27;-36;0;1381990;419;793;0;0;0;0;196;0;0;0;0;0;0;0;0;0;0;196;0;0;0;0;0;936
BU04020103;BU04020103;Sint Vitusbuurt;WK040201;Centrum;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;837;57;1022;False;33;19;6;0;0;8;1273;33;0;0;21;0;29;-17;0;879385;400;860;0;0;0;0;837;0;0;0;0;0;0;0;0;0;0;837;0;0;0;0;0;40;42;114;641;0;0;11;3;0;0;2;6;176;11;0;0;20;0;29;-38;0;879385;400;860;0;0;0;0;57;0;0;0;0;0;0;0;0;0;0;57;0;0;0;0;0;937
BU04020104;BU04020104;Langgewenstbuurt;WK040201;Centrum;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;994;261;1798;False;19;11;4;0;0;5;1267;19;0;0;16;0;22;-18;0;1816621;569;1011;0;0;0;0;994;0;0;0;0;0;0;0;0;0;0;994;0;0;0;0;0;147;165;231;451;0;0;38;7;0;0;6;25;677;38;0;0;37;0;22;-21;0;1816621;569;1011;0;0;0;0;261;0;0;0;0;0;0;0;0;0;0;261;0;0;0;0;0;938
BU04020201;BU04020201;Boomberg;WK040202;Noordwest;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;1537;211;2217;False;33;22;5;0;0;6;662;33;0;0;23;0;34;-23;0;2840425;486;1281;0;0;0;0;1537;0;0;0;0;0;0;0;0;0;0;1537;0;0;0;0;0;78;84;316;1059;0;0;23;6;0;0;4;12;163;23;0;0;30;0;34;-41;0;2840425;486;1281;0;0;0;0;211;0;0;0;0;0;0;0;0;0;0;211;0;0;0;0;0;939
BU04020202;BU04020202;Raadhuiskwartier;WK040202;Noordwest;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;643;89;1020;False;35;24;6;0;0;6;661;35;0;0;25;0;39;-29;0;1312932;397;1288;0;0;0;0;643;0;0;0;0;0;0;0;0;0;0;643;0;0;0;0;0;77;5;29;532;0;0;34;9;0;0;6;19;220;34;0;0;40;0;39;-44;0;1312932;397;1288;0;0;0;0;89;0;0;0;0;0;0;0;0;0;0;89;0;0;0;0;0;940
BU04020203;BU04020203;Trompenberg-Zuid;WK040202;Noordwest;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;471;59;1177;False;17;10;3;0;0;3;527;17;0;0;18;0;31;-33;0;967844;300;822;0;0;0;0;471;0;0;0;0;0;0;0;0;0;0;471;0;0;0;0;0;19;70;172;210;0;0;60;17;1;0;9;33;712;60;0;0;51;0;31;-22;0;967844;300;822;0;0;0;0;59;0;0;0;0;0;0;0;0;0;0;59;0;0;0;0;0;941
BU04020204;BU04020204;Villaparken;WK040202;Noordwest;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;580;57;853;False;38;26;6;0;0;6;220;38;0;0;25;0;39;-26;0;1629592;684;1911;0;0;0;0;580;0;0;0;0;0;0;0;0;0;0;580;0;0;0;0;0;131;45;40;364;0;0;21;7;0;0;3;11;49;21;0;0;31;0;39;-49;0;1629592;684;1911;0;0;0;0;57;0;0;0;0;0;0;0;0;0;0;57;0;0;0;0;0;942
