BU_CODE;I01_buurtcode;I02_buurtnaam;I03_wijkcode;I04_wijknaam;I05_gemeentecode;I06_gemeentenaam;I07_energieregionaam;I08_provincienaam;I09_aantal_woningen;I10_aantal_utiliteit;I11_woningequivalenten;Uitgesloten;H01_warmtetotaal;H02_Vraag_aardgas;H03_Vraag_groengas;H04_Vraag_elekwarmte;H05_Vraag_MTwarmte;H06_Vraag_LTwarmte;H07_Warmte_hectare;H08_Vraag_koude;H09_Vraag_elektotaal;H10_CO2_reductie;H11_Nat_abskosten;H12_Nat_meerkosten;H13_Nat_meerkost_CO2;H16_Nat_meerkost_WEQ;nrAansl_gas;nrAansl_mWKK;nrAansl_eWP;nrAansl_HWP;nrAansl_EWV;nrAansl_RestWarmte;nrAansl_GeoThermie;nrAansl_WijkWKK;nrAansl_BioWKK;nrAansl_WKO;nrAansl_Lt15_30;nrAansl_Lt15_50;nrAansl_Lt15_70;nrAansl_Lt30_30;nrAansl_Lt30_50;nrAansl_Lt30_70;nrAansl_TEO;nr_OrgEntity
BU01640307;BU01640307;Molendijkhoek;WK016403;Wijk 03 Hasseler Es;GM0164;Hengelo;Twente;Overijssel;687;17;718;False;36;0;36;0;0;0;858;2;12;1881;1561446;706168;376;984;704;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1086
BU01640308;BU01640308;Weijinkshoek;WK016403;Wijk 03 Hasseler Es;GM0164;Hengelo;Twente;Overijssel;497;3;498;False;32;0;32;0;0;0;719;1;11;1196;972289;433344;362;872;500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1087
BU01640309;BU01640309;Oosterveld;WK016403;Wijk 03 Hasseler Es;GM0164;Hengelo;Twente;Overijssel;34;38;131;False;32;0;32;0;0;0;79;3;37;288;394246;85019;296;649;72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1088
BU01640400;BU01640400;Zwavertshoek;WK016404;Wijk 04 Groot Driene;GM0164;Hengelo;Twente;Overijssel;531;145;567;False;32;0;32;0;0;0;674;3;14;1445;1233377;524660;363;925;676;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1089
BU01640401;BU01640401;Anninks-/Nijhofshoek;WK016404;Wijk 04 Groot Driene;GM0164;Hengelo;Twente;Overijssel;1101;258;1458;False;30;0;30;0;0;0;618;2;19;3960;3399227;1356626;343;931;1359;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1090
BU01640402;BU01640402;Groot Driene-Zuid;WK016404;Wijk 04 Groot Driene;GM0164;Hengelo;Twente;Overijssel;1064;97;1152;False;36;0;36;0;0;0;697;2;14;3383;2835132;1212590;358;1053;1161;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1091
BU01640403;BU01640403;Groot Driene-Noord;WK016404;Wijk 04 Groot Driene;GM0164;Hengelo;Twente;Overijssel;1640;342;2050;False;27;0;27;0;0;0;698;2;15;4827;4084645;1647656;341;804;1982;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1092
BU01640500;BU01640500;Bedrijventerrein Twentekanaal-Zuid II;WK016405;Wijk 05 Berflo Es;GM0164;Hengelo;Twente;Overijssel;2;8;81;False;21;0;21;0;0;0;30;1;27;136;194554;31754;234;395;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1093
BU01640501;BU01640501;Berflo Es Noord;WK016405;Wijk 05 Berflo Es;GM0164;Hengelo;Twente;Overijssel;1915;152;2181;False;29;0;29;0;0;0;930;2;14;5103;4296546;1787835;350;820;2067;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1094
BU01640502;BU01640502;Berflo Es Zuid;WK016405;Wijk 05 Berflo Es;GM0164;Hengelo;Twente;Overijssel;721;92;772;False;34;0;34;0;0;0;942;2;13;2127;1704027;749977;353;972;813;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1095
BU01640503;BU01640503;Bedrijventerrein Twentekanaal-Noord II;WK016405;Wijk 05 Berflo Es;GM0164;Hengelo;Twente;Overijssel;26;33;198;False;20;0;20;0;0;0;119;1;17;334;332090;83934;251;425;59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1096
BU01640504;BU01640504;Veldwijk-Noord;WK016405;Wijk 05 Berflo Es;GM0164;Hengelo;Twente;Overijssel;520;39;602;False;25;0;25;0;0;0;552;1;13;1079;1000107;394339;365;655;559;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1097
BU01640505;BU01640505;Veldwijk-Zuid;WK016405;Wijk 05 Berflo Es;GM0164;Hengelo;Twente;Overijssel;476;34;588;False;31;0;31;0;0;0;259;2;17;1574;1350991;514915;327;877;510;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1098
BU01640506;BU01640506;Boeldershoek;WK016405;Wijk 05 Berflo Es;GM0164;Hengelo;Twente;Overijssel;7;4;13;False;41;0;41;0;0;0;5;5;34;62;83275;14087;226;1150;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1099
BU01640600;BU01640600;Bedrijventerrein Twentekanaal-Zuid I;WK016406;Wijk 06 Wilderinkshoek;GM0164;Hengelo;Twente;Overijssel;26;122;1106;False;17;0;17;0;0;0;88;1;27;1706;2156705;468769;275;424;148;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1100
BU01640601;BU01640601;Tuindorp t Lansink;WK016406;Wijk 06 Wilderinkshoek;GM0164;Hengelo;Twente;Overijssel;955;157;2288;False;27;0;27;0;0;0;1030;1;22;6294;5062203;1848767;294;808;1112;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1101
BU01640602;BU01640602;Tuindorp-Zuid;WK016406;Wijk 06 Wilderinkshoek;GM0164;Hengelo;Twente;Overijssel;1499;209;1701;False;32;0;32;0;0;0;974;2;16;4900;3973106;1694003;346;996;1708;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1102
BU01640603;BU01640603;Bedrijventerrein Twentekanaal-Noord I;WK016406;Wijk 06 Wilderinkshoek;GM0164;Hengelo;Twente;Overijssel;11;46;151;False;21;0;21;0;0;0;87;3;35;390;472624;71200;183;472;57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1103
BU01640604;BU01640604;Nijverheid;WK016406;Wijk 06 Wilderinkshoek;GM0164;Hengelo;Twente;Overijssel;2265;253;2420;False;33;0;33;0;0;0;627;2;13;6523;5460406;2424421;372;1002;2518;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1104
BU01640605;BU01640605;Vikkerhoek;WK016406;Wijk 06 Wilderinkshoek;GM0164;Hengelo;Twente;Overijssel;338;68;372;False;37;0;37;0;0;0;263;3;15;1130;984317;404884;358;1089;406;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1105
BU01640606;BU01640606;Bedrijventerrein Zeggershoek;WK016406;Wijk 06 Wilderinkshoek;GM0164;Hengelo;Twente;Overijssel;3;16;61;False;27;0;27;0;0;0;22;3;56;102;241841;23134;227;383;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1106
BU01640700;BU01640700;Bedrijventerrein Westermaat-Zuidwest;WK016407;Wijk 07 Woolde;GM0164;Hengelo;Twente;Overijssel;53;180;1241;False;23;0;23;0;0;0;231;1;51;2086;3252256;479000;230;386;233;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1107
BU01640701;BU01640701;Woolde;WK016407;Wijk 07 Woolde;GM0164;Hengelo;Twente;Overijssel;756;150;1426;False;35;0;35;0;0;0;462;2;21;4390;3554356;1335327;304;937;906;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1108
BU01640702;BU01640702;Woolder Es;WK016407;Wijk 07 Woolde;GM0164;Hengelo;Twente;Overijssel;1233;177;1394;False;32;0;32;0;0;0;617;2;14;3651;3064076;1313703;360;943;1410;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1109
BU01640703;BU01640703;Weidedorp;WK016407;Wijk 07 Woolde;GM0164;Hengelo;Twente;Overijssel;1595;228;1841;False;28;0;26;0;2;0;1118;2;14;4334;3399298;1392489;321;756;1823;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1110
BU01640704;BU01640704;Bedrijvenpark Westermaat-Zuidoost;WK016407;Wijk 07 Woolde;GM0164;Hengelo;Twente;Overijssel;0;150;818;False;33;0;33;0;0;0;654;3;56;1678;2278152;400077;238;490;150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1111
BU01640705;BU01640705;Bedrijventerrein Westermaat-Noordoost;WK016407;Wijk 07 Woolde;GM0164;Hengelo;Twente;Overijssel;0;172;352;False;29;0;29;0;0;0;118;4;55;635;980688;148831;234;424;172;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1112
BU01640706;BU01640706;Bedrijventerrein Westermaat-Noordwest;WK016407;Wijk 07 Woolde;GM0164;Hengelo;Twente;Overijssel;2;17;599;False;19;0;19;0;0;0;235;0;72;708;1706403;117603;166;196;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1113
