BU_CODE;WK_CODE;Gemeente;RES;Provincie;Aantal_woningen;Aantal_utiliteiten;Vraag_Aardgas;Vraag_MT_Warmte;Vraag_LT_Warmte;Vraag_Elektriciteit;Vraag_Warmte_totaal;CO2_uitstoot;Maatschappelijke_kosten,
BU17240404;WK172404;Bergeijk;Metropoolregio Eindhoven;Noord-Brabant;29;3;0;0;0;572.823152;267.527872;0;98477.4661,
BU17240405;WK172404;Bergeijk;Metropoolregio Eindhoven;Noord-Brabant;138;1;0;0;0;2489.66462;1040.38774;0;291073.723,
BU17240406;WK172404;Bergeijk;Metropoolregio Eindhoven;Noord-Brabant;48;2;0;0;0;894.002198;377.546518;0;115377.999,
BU17240407;WK172404;Bergeijk;Metropoolregio Eindhoven;Noord-Brabant;98;1;0;0;0;1938.12659;859.088672;0;210125.828,
BU17240408;WK172404;Bergeijk;Metropoolregio Eindhoven;Noord-Brabant;149;1;0;0;0;2486.48469;1115.29237;0;224838.837,
BU17240409;WK172404;Bergeijk;Metropoolregio Eindhoven;Noord-Brabant;20;5;0;0;0;424.785966;204.548126;0;103329.006,
BU17240501;WK172405;Bergeijk;Metropoolregio Eindhoven;Noord-Brabant;155;15;0;0;0;2994.5225;1328.94858;0;549637.796,
BU17240502;WK172405;Bergeijk;Metropoolregio Eindhoven;Noord-Brabant;138;3;0;0;0;2802.46359;1301.08647;0;315816.679,
BU17240503;WK172405;Bergeijk;Metropoolregio Eindhoven;Noord-Brabant;12;14;0;0;0;243.396744;115.258024;0;373584.22,
BU17240504;WK172405;Bergeijk;Metropoolregio Eindhoven;Noord-Brabant;65;0;0;0;0;1358.7158;643.096921;0;236296.054,
BU17240505;WK172405;Bergeijk;Metropoolregio Eindhoven;Noord-Brabant;65;2;0;0;0;1200.02316;567.351962;0;157411.738,
BU17240601;WK172406;Bergeijk;Metropoolregio Eindhoven;Noord-Brabant;71;7;0;0;0;1432.60629;662.827652;0;409617.354,
BU17240602;WK172406;Bergeijk;Metropoolregio Eindhoven;Noord-Brabant;61;10;0;0;0;1196.02809;540.389374;0;293843.429,
BU17240603;WK172406;Bergeijk;Metropoolregio Eindhoven;Noord-Brabant;109;11;0;0;0;1994.86682;870.85482;0;464826.868,
BU17240604;WK172406;Bergeijk;Metropoolregio Eindhoven;Noord-Brabant;28;12;0;0;0;571.536635;274.217995;0;794138.364,
BU17240605;WK172406;Bergeijk;Metropoolregio Eindhoven;Noord-Brabant;22;788;0;0;0;461.11852;220.85716;0;1503363.38,
BU17240606;WK172406;Bergeijk;Metropoolregio Eindhoven;Noord-Brabant;51;4;0;0;0;1039.6368;486.068801;0;283009.72,
BU17240607;WK172406;Bergeijk;Metropoolregio Eindhoven;Noord-Brabant;147;11;0;0;0;2878.00222;1309.46926;0;856247.181,
BU17240608;WK172406;Bergeijk;Metropoolregio Eindhoven;Noord-Brabant;144;34;0;0;0;2917.0788;1365.47296;0;708201.585,
BU17240609;WK172406;Bergeijk;Metropoolregio Eindhoven;Noord-Brabant;165;17;0;0;0;3290.69768;1509.92648;0;916895.494,
BU17240610;WK172406;Bergeijk;Metropoolregio Eindhoven;Noord-Brabant;43;4;0;0;0;867.466523;401.992283;0;286606.518,
BU17280000;WK172800;Bladel;Metropoolregio Eindhoven;Noord-Brabant;4362;433;0;0;0;77802.4611;32511.4618;0;11142751.6,
BU17280001;WK172800;Bladel;Metropoolregio Eindhoven;Noord-Brabant;51;43;0;0;0;1062.3521;504.753861;0;969256.133,
BU17280008;WK172800;Bladel;Metropoolregio Eindhoven;Noord-Brabant;98;15;0;0;0;2007.44397;952.346212;0;897552.015,
BU17280009;WK172800;Bladel;Metropoolregio Eindhoven;Noord-Brabant;67;66;0;0;0;1400.21557;666.44949;0;691834.198,
BU17280100;WK172801;Bladel;Metropoolregio Eindhoven;Noord-Brabant;330;14;0;0;0;6573.05198;2963.55478;0;1087521.49,
BU17280109;WK172801;Bladel;Metropoolregio Eindhoven;Noord-Brabant;44;8;0;0;0;907.793748;427.296148;0;346658.896,
BU17280200;WK172802;Bladel;Metropoolregio Eindhoven;Noord-Brabant;2187;178;0;0;0;38388.1135;16273.0127;0;5447750.21,
BU17280201;WK172802;Bladel;Metropoolregio Eindhoven;Noord-Brabant;8;38;0;0;0;152.753868;68.6717877;0;755808.911,
BU17280202;WK172802;Bladel;Metropoolregio Eindhoven;Noord-Brabant;37;1;0;0;0;696.084312;296.726792;0;254676.629,
BU17280209;WK172802;Bladel;Metropoolregio Eindhoven;Noord-Brabant;100;587;0;0;0;2038.26478;945.150383;0;2035896.6,
BU17280300;WK172803;Bladel;Metropoolregio Eindhoven;Noord-Brabant;750;79;0;0;0;14264.2439;6327.81261;0;2450436.48,
BU17280301;WK172803;Bladel;Metropoolregio Eindhoven;Noord-Brabant;92;17;0;0;0;1846.39868;845.410042;0;506913.844,
BU17280309;WK172803;Bladel;Metropoolregio Eindhoven;Noord-Brabant;43;8;0;0;0;889.857948;416.361708;0;413267.018,
BU17280400;WK172804;Bladel;Metropoolregio Eindhoven;Noord-Brabant;410;19;0;0;0;8197.82056;3711.50272;0;1269524.46,
BU17280409;WK172804;Bladel;Metropoolregio Eindhoven;Noord-Brabant;17;4;0;0;0;340.499394;157.318594;0;138978.36,
BU17710000;WK177100;Geldrop-Mierlo;Metropoolregio Eindhoven;Noord-Brabant;1485;265;0;0;0;24166.8785;9438.9988;0;5251938.19,
BU17710001;WK177100;Geldrop-Mierlo;Metropoolregio Eindhoven;Noord-Brabant;1266;138;0;0;0;22132.6523;8242.35201;0;3456642.13,
BU17710002;WK177100;Geldrop-Mierlo;Metropoolregio Eindhoven;Noord-Brabant;1069;230;0;0;0;17306.4581;6543.46486;0;2512998.31,
BU17710003;WK177100;Geldrop-Mierlo;Metropoolregio Eindhoven;Noord-Brabant;1510;252;0;0;0;26817.3774;10550.2496;0;4313100.62,
BU17710004;WK177100;Geldrop-Mierlo;Metropoolregio Eindhoven;Noord-Brabant;1788;302;0;0;0;30664.7461;11276.9855;0;5578334.49,
BU17710005;WK177100;Geldrop-Mierlo;Metropoolregio Eindhoven;Noord-Brabant;1799;276;0;0;0;31521.5973;12409.7832;0;4391735.94,
BU17710006;WK177100;Geldrop-Mierlo;Metropoolregio Eindhoven;Noord-Brabant;2594;164;0;0;0;41938.7888;15492.7726;0;5111085.77,
BU17710007;WK177100;Geldrop-Mierlo;Metropoolregio Eindhoven;Noord-Brabant;1445;55;0;0;0;27078.2049;11293.3369;0;3020391.46,
BU17710009;WK177100;Geldrop-Mierlo;Metropoolregio Eindhoven;Noord-Brabant;44;8;0;0;0;973.558854;489.020294;0;448510.682,
BU17710100;WK177101;Geldrop-Mierlo;Metropoolregio Eindhoven;Noord-Brabant;4177;420;0;0;0;76377.9288;31365.2984;0;11833324.1,
BU17710109;WK177101;Geldrop-Mierlo;Metropoolregio Eindhoven;Noord-Brabant;435;150;0;0;0;9219.18002;4429.45514;0;2729382.69,
