BU_CODE;I01_buurtcode;I02_buurtnaam;I03_wijkcode;I04_wijknaam;I05_gemeentecode;I06_gemeentenaam;I07_energieregionaam;I08_provincienaam;I09_aantal_woningen;I10_aantal_utiliteit;I11_woningequivalenten;Uitgesloten;H01_warmtetotaal;H02_Vraag_aardgas;H03_Vraag_groengas;H04_Vraag_elekwarmte;H05_Vraag_MTwarmte;H06_Vraag_LTwarmte;H07_Warmte_hectare;H08_Vraag_koude;H09_Vraag_elektotaal;H10_CO2_reductie;H11_Nat_abskosten;H12_Nat_meerkosten;H13_Nat_meerkost_CO2;H16_Nat_meerkost_WEQ;nrAansl_gas;nrAansl_mWKK;nrAansl_eWP;nrAansl_HWP;nrAansl_EWV;nrAansl_RestWarmte;nrAansl_GeoThermie;nrAansl_WijkWKK;nrAansl_BioWKK;nrAansl_WKO;nrAansl_Lt15_30;nrAansl_Lt15_50;nrAansl_Lt15_70;nrAansl_Lt30_30;nrAansl_Lt30_50;nrAansl_Lt30_70;nrAansl_TEO;nr_OrgEntity
BU03760101;BU03760101;Bijvanck;WK037601;Blaricum;GM0376;Blaricum;Noord-Holland Zuid;Noord-Holland;1815;98;1894;False;8;0;0;8;0;0;149;2;20;4024;3488056;1692771;421;894;0;0;1913;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2115
BU03760102;BU03760102;Blaricum-Dorp;WK037601;Blaricum;GM0376;Blaricum;Noord-Holland Zuid;Noord-Holland;2235;187;2568;False;10;0;0;10;0;0;67;2;26;8659;6760038;3082843;356;1201;0;0;2422;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2116
BU03760103;BU03760103;Blaricummer Heide;WK037601;Blaricum;GM0376;Blaricum;Noord-Holland Zuid;Noord-Holland;1;3;9;False;8;0;0;8;0;0;1;10;37;49;28398;4140;84;478;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2117
BU03760104;BU03760104;Blaricummermeent;WK037601;Blaricum;GM0376;Blaricum;Noord-Holland Zuid;Noord-Holland;816;116;912;False;18;0;3;4;11;0;234;2;15;1616;1188105;415970;257;456;0;0;932;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2118
BU03760105;BU03760105;Crailo;WK037601;Blaricum;GM0376;Blaricum;Noord-Holland Zuid;Noord-Holland;56;5;355;False;9;0;0;9;0;0;88;1;37;1284;639775;64625;50;182;0;0;61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2119
BU03760106;BU03760106;De Kampen;WK037601;Blaricum;GM0376;Blaricum;Noord-Holland Zuid;Noord-Holland;1;0;1;False;15;0;0;15;0;0;0;3;26;5;2718;1336;292;1336;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2120
BU03760107;BU03760107;Eemmeer-Blaricum;WK037601;Blaricum;GM0376;Blaricum;Noord-Holland Zuid;Noord-Holland;0;0;0;False;0;0;0;0;0;0;0;0;0;0;3652;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2121
BU03760108;BU03760108;Stichtsebrug;WK037601;Blaricum;GM0376;Blaricum;Noord-Holland Zuid;Noord-Holland;0;2;1;False;1;0;0;1;0;0;0;113;146;0;4694;1464;26593;19032;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2122
BU03760109;BU03760109;Warandepark-De Eng;WK037601;Blaricum;GM0376;Blaricum;Noord-Holland Zuid;Noord-Holland;1;1;2;False;10;0;0;10;0;0;0;10;30;9;9501;1781;208;1029;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2123
BU04020101;BU04020101;Centrum;WK040201;Centrum;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;1893;546;3736;False;5;0;0;5;0;0;470;2;40;9284;8575315;2377901;256;636;0;0;2439;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5229
BU04020102;BU04020102;Havenstraatbuurt;WK040201;Centrum;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;1522;203;1737;False;7;0;0;7;0;0;555;2;23;4027;3541021;1695243;421;976;0;0;1725;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5230
