Bron_naam;bron_id;x_coord;y_coord;ingebruik;uitgebruik;MWth_max;Bron_vol;Bron_cap;T_bron;Ki_kW_min;Ki_kW_max;K_GJ;capaciteit_benuttingsfactor;SourceType
albert heijn bv;;4.74648;52.2682;1999;1999;0.485872099;0.7;0.3;30;50;250;0;1.69561063;LT
albert heijn bv;;4.79481;52.2746;1999;1999;0.485872099;0.7;0.3;30;50;250;0;1.3516512;LT
hoogvliet bv;;4.76466;52.2533;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.14550098;LT
hoogvliet bv;;4.78773;52.2783;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0.398937927;LT
zaal supermarkten bv;;4.76243;52.2644;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.0070159;LT
albert heijn bv;;4.86013;52.3033;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.03463567;LT
albert heijn bv;;4.8395;52.2889;1999;1999;0.485872099;0.7;0.3;30;50;250;0;1.9153127;LT
albert heijn bv;;4.86997;52.2888;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00173731;LT
albert heijn bv;;4.82651;52.2819;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.0604334;LT
albert heijn bv;;4.86604;52.318;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.18663469;LT
albert heijn bv;;4.87535;52.312;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.16759675;LT
albert heijn bv;;4.85149;52.2813;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00253475;LT
coop supermarkten bv;;4.86227;52.2796;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.00253475;LT
deen winkels bv;;4.87486;52.3021;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.03463567;LT
jumbo supermarkten bv;;4.86924;52.289;1999;1999;0.485872099;0.7;0.3;30;50;250;0;1.00173731;LT
albert heijn bv;;4.85529;52.3641;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00666064;LT
albert heijn bv;;4.9397;52.3974;1999;1999;0.485872099;0.7;0.3;30;50;250;0;1.00026787;LT
albert heijn bv;;4.89614;52.4225;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00061541;LT
albert heijn bv;;4.93991;52.3502;1999;1999;0.485872099;0.7;0.3;30;50;250;0;1.00016867;LT
albert heijn bv;;4.82669;52.355;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.27578435;LT
albert heijn bv;;4.83755;52.3638;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.20428152;LT
albert heijn bv;;4.93978;52.3623;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00273808;LT
albert heijn bv;;4.85602;52.3817;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.01529395;LT
albert heijn bv;;4.91238;52.3623;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00950544;LT
albert heijn bv;;4.92436;52.3664;1999;1999;0.485872099;0.7;0.3;30;50;250;0;1.94405824;LT
albert heijn bv;;4.89396;52.3748;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00114209;LT
albert heijn bv;;4.8704;52.3666;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0;LT
albert heijn bv;;4.86964;52.3537;1999;1999;0.113370123;0.7;0.3;30;50;250;0;0;LT
albert heijn bv;;4.86411;52.3622;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0;LT
albert heijn bv;;4.87963;52.3572;1999;1999;0.485872099;0.7;0.3;30;50;250;0;0;LT
albert heijn bv;;4.87852;52.3311;1999;1999;1.13370154;0.7;0.3;30;50;250;0;1.00056897;LT
albert heijn bv;;4.95513;52.3156;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0;LT
albert heijn bv;;4.87767;52.3488;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00265991;LT
albert heijn bv;;4.8919;52.351;1999;1999;0.485872099;0.7;0.3;30;50;250;0;0;LT
albert heijn bv;;4.89389;52.3739;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00114209;LT
albert heijn bv;;4.93171;52.363;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00439251;LT
albert heijn bv;;4.92008;52.3548;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.01419369;LT
albert heijn bv;;4.88394;52.3739;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.17597573;LT
albert heijn bv;;4.86389;52.3458;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00163221;LT
albert heijn bv;;4.8029;52.3595;1999;1999;0.485872099;0.7;0.3;30;50;250;0;0.934909041;LT
albert heijn bv;;4.84029;52.349;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.37029647;LT
albert heijn bv;;4.88916;52.3672;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00372094;LT
albert heijn bv;;4.86219;52.3597;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0;LT
albert heijn bv;;4.87781;52.3917;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00980239;LT
albert heijn bv;;4.8613;52.3748;1999;1999;0.485872099;0.7;0.3;30;50;250;0;1.00046276;LT
albert heijn bv;;4.81091;52.3458;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.03190055;LT
albert heijn bv;;4.89975;52.3612;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.10726687;LT
albert heijn bv;;4.87605;52.3836;1999;1999;0.113370123;0.7;0.3;30;50;250;0;0;LT
albert heijn bv;;4.8914;52.3442;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0;LT
albert heijn bv;;4.87473;52.3628;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0;LT
albert heijn bv;;4.9066;52.3434;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.00032684;LT
albert heijn bv;;4.84682;52.3786;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0;LT
albert heijn bv;;4.89304;52.417;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00061541;LT
albert heijn bv;;4.89518;52.346;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0;LT
albert heijn bv;;4.89021;52.3546;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0;LT
