bron_naam;bron_id;x_coord;y_coord;ingebruik;uitgebruik;MWth_max;bron_vol;bron_cap;T_bron;Ki_kW_min;Ki_kW_max;K_GJ;capaciteit_benuttingsfactor;SourceType
Vliegveld Hilversum;269;5.14957;52.1886;1999;2100;3;0.8;0.3;70;225;275;0.000142361111;0.969745658;HT
Quaker Chemical BV;482;4.83235;52.2379;1999;2100;3;0.8;0.3;70;225;275;0.000142361111;0.862008447;HT
Koppers Netherlands BV;481;4.84405;52.2389;1999;2100;3;0.8;0.3;70;225;275;0.000142361111;0.999221079;HT
Waeles Nederland BV;356;4.63664;52.2662;1999;2100;3;0.8;0.3;70;225;275;0.000142361111;0.974317079;HT
Givaudan Nederland BV Naarden;353;5.18242;52.296;1999;2100;3;0.8;0.3;70;225;275;0.000142361111;0.911506921;HT
Alpha Fry Technlogies BV;354;5.15425;52.3001;1999;2100;3;0.8;0.3;70;225;275;0.000142361111;0.918951395;HT
BN International BV;282;5.24059;52.3029;1999;2100;3;0.8;0.3;70;225;275;0.000142361111;0.934388263;HT
Boehringer Ingelheim;528;5.03295;52.3028;1999;2100;3;0.8;0.3;70;225;275;0.000142361111;0.998846632;HT
Abbott Healthcare Products BV;527;5.03445;52.3035;1999;2100;3;0.8;0.3;70;225;275;0.000142361111;0.938781132;HT
Vliegveld Luchthaven Schiphol;432;4.76035;52.3086;1999;2100;3;0.8;0.3;70;225;275;0.000142361111;0.967721237;HT
Smit en Zoon;526;5.05294;52.3118;1999;2100;3;0.8;0.3;70;225;275;0.000142361111;0.978614395;HT
Nuon Power Generation BV Diemen;140;5.02118;52.3389;1999;2100;440;0.8;0.3;120;150;175;20.0555556;0.9999683;HT
Onbekend Zandvoort;655;4.53311;52.3768;1999;2100;6;0.8;0.3;70;175;185;20.0555556;0.971688724;HT
Albemarle Catalysts Company BV;29;4.94024;52.3846;1999;2100;3;0.8;0.3;70;225;275;0.000142361111;0.994818974;HT
Sonneborn Refined Products BV Amsterdam;35;4.82683;52.3937;1999;2100;3;0.8;0.3;70;225;275;0.000142361111;0.994279974;HT
Simadan vh Greenmills;36;4.81052;52.3974;1999;2100;3;0.8;0.3;70;225;275;0.000142361111;0.943917868;HT
Afval Energie Bedrijf Amsterdam;38;4.79289;52.3997;1999;2100;150;0.8;0.3;120;150;175;3.9;0.999817327;HT
Orgaworld;618;4.81079;52.4003;1999;2100;5.5;0.8;0.3;70;800;1800;20.6905011;0.994801679;HT
Cargill BV Soja;31;4.86473;52.4016;1999;2100;3;0.8;0.3;70;225;275;0.000142361111;0.953808789;HT
Nuon Power Generation BV Hemweg;617;4.8471;52.4053;1999;2100;260;0.8;0.3;70;150;175;20.0555556;0.999689056;HT
ICL Fertilizers Europe CV;30;4.87346;52.4054;1999;2100;3;0.8;0.3;70;225;275;0.000142361111;0.965095658;HT
Oxea Nederland BV;37;4.80409;52.4063;1999;2100;3;0.8;0.3;70;225;275;0.000142361111;0.963282132;HT
Cargill BV Multiseed;39;4.7697;52.4118;1999;2100;3;0.8;0.3;70;225;275;0.000142361111;0.836274211;HT
Main BV;32;4.85661;52.4133;1999;2100;3;0.8;0.3;70;225;275;0.000142361111;0.961278789;HT
Chemtura Netherlands BV;34;4.83777;52.4154;1999;2100;3;0.8;0.3;70;225;275;0.000142361111;0.884103605;HT
Norit Nederland BV Zaandam;545;4.82431;52.4226;1999;2100;3;0.8;0.3;70;225;275;0.000142361111;0.899766289;HT
A ware Zaandam BV;546;4.78666;52.43;1999;2100;3;0.8;0.3;70;225;275;0.000142361111;0.955787711;HT
Tate en Lyle Netherlands BV;299;4.81185;52.4648;1999;2100;3;0.8;0.3;70;225;275;0.000142361111;0.992134553;HT
Gasunie Beverwijk;250;4.73174;52.4656;1999;2100;3;0.8;0.3;70;225;275;0.000142361111;0.747639526;HT
Crown van Gelder NV;499;4.63641;52.467;1999;2100;3;0.8;0.3;70;225;275;0.000142361111;0.983668105;HT
ADM Cocoa BV;300;4.80837;52.4701;1999;2100;3;0.8;0.3;70;225;275;0.000142361111;0.914922368;HT
Nuon Power Generation BV Velsen;500;4.63213;52.4728;1999;2100;706.53;0.8;0.3;70;175;185;20.0555556;0.260185185;HT
Nuon IJmond 1;503;4.60557;52.4749;1999;2100;103.95;0.8;0.3;70;150;175;20.0555556;0.0322961859;HT
Tata Steel IJmuiden BV;502;4.59216;52.4766;1999;2100;10;0.8;0.3;70;225;275;0.000142361111;0.994396903;HT
Onbekend Zaanstad;656;4.75882;52.4789;1999;2100;6;0.8;0.3;70;175;185;20.0555556;0.964888461;HT
Loders Croklaan;544;4.81012;52.4848;1999;2100;3;0.8;0.3;70;225;275;0.000142361111;0.963467184;HT
Linde Gas Benelux BV;501;4.60405;52.4845;1999;2100;3;0.8;0.3;70;225;275;0.000142361111;0;HT
Hulpwarmtecentrale 1  HWC 1 ;646;4.96659;52.5012;1999;2100;90;1;1;70;225;275;0.000142361111;0.998595494;HT
Biowarmtecentrale de Purmer BWC 1 ;398;5.00886;52.5089;1999;2100;44;0.8;0.3;80;150;175;5.54;0.992458159;HT
Hulpwarmtecentrale 2  HWC 2 ;647;4.93608;52.511;1999;2100;35;1;1;70;225;275;0.000142361111;0.999107083;HT
Biowarmtecentrale de Beemster  BWC 2  te realiseren  ;648;5.01125;52.5203;2029;2100;16;0.8;0.3;70;150;175;5.54;0.985772309;HT
CONO Kaasmakers Middenbeemster;530;4.87435;52.5568;1999;2100;3;0.8;0.3;70;225;275;0.000142361111;0.957015842;HT
Kaasfabriek Eyssen BV;378;5.00288;52.5799;1999;2100;3;0.8;0.3;70;225;275;0.000142361111;0.963619289;HT
