BU_CODE;I01_buurtcode;I02_buurtnaam;I03_wijkcode;I04_wijknaam;I05_gemeentecode;I06_gemeentenaam;I07_energieregionaam;I08_provincienaam;I09_aantal_woningen;I10_aantal_utiliteit;I11_woningequivalenten;I12_opp_woningen;I13_opp_utiliteit;Uitgesloten;Woning_H01_Vraag_Totaal;Woning_H02_Vraag_Ruimteverwarming;Woning_H03_Vraag_Tapwater;Woning_H04_Vraag_Ventilatie;Woning_H05_Vraag_Koude;Woning_H06_Vraag_Apparaten;Woning_H07_Vraag_perhectare;Woning_H08_Input_Totaal;Woning_H09_Input_Aardgas;Woning_H10_Input_Duurzaamgas;Woning_H11_Input_Elektriciteit;Woning_H12_Input_MTwarmte;Woning_H13_Input_LTwarmte;Woning_H14_Saldo_Omgevingswarmte;Woning_H19_Waarde_hernieuwbaar_gas;Woning_H21_CapaciteitsvraagE;Woning_A01_Aansl_aardgas;Woning_A02_Aansl_eWP;Woning_A03_Aansl_MT;Woning_A04_Aansl_LT;Woning_A05_Aansl_hWP_HG;Woning_A06_Aansl_HR_HG;Woning_A10_Aansl_LT_WKO;Woning_A11_Aansl_LT_LT15_30;Woning_A12_Aansl_LT_LT15_50;Woning_A13_Aansl_LT_LT15_70;Woning_A14_Aansl_LT_LT30_30;Woning_A15_Aansl_LT_LT30_50;Woning_A16_Aansl_LT_LT30_70;Woning_A17_Aansl_LT_TEO;Woning_A18_Aansl_LT_BuurtWKO;Woning_A19_Aansl_MT_Restwarmte;Woning_A20_Aansl_MT_Geothermie;Woning_A21_Aansl_MT_WijkWKK;Woning_A22_Aansl_MT_BioWKK;Woning_A23_Aansl_H2;Woning_A30_Aansl_LabelA;Woning_A31_Aansl_LabelB;Woning_A32_Aansl_LabelC;Woning_A33_Aansl_LabelD;Woning_A34_Aansl_LabelE;Woning_A35_Aansl_LabelF;Util_H01_Vraag_Totaal;Util_H02_Vraag_Ruimteverwarming;Util_H03_Vraag_Tapwater;Util_H04_Vraag_Ventilatie;Util_H05_Vraag_Koude;Util_H06_Vraag_Apparaten;Util_H07_Vraag_perhectare;Util_H08_Input_Totaal;Util_H09_Input_Aardgas;Util_H10_Input_Duurzaamgas;Util_H11_Input_Elektriciteit;Util_H12_Input_MTwarmte;Util_H13_Input_LTwarmte;Util_H14_Saldo_Omgevingswarmte;Util_H19_Waarde_hernieuwbaar_gas;Util_H21_CapaciteitsvraagE;Util_A01_Aansl_aardgas;Util_A02_Aansl_eWP;Util_A03_Aansl_MT;Util_A04_Aansl_LT;Util_A05_Aansl_hWP_HG;Util_A06_Aansl_HR_HG;Util_A10_Aansl_LT_WKO;Util_A11_Aansl_LT_LT15_30;Util_A12_Aansl_LT_LT15_50;Util_A13_Aansl_LT_LT15_70;Util_A14_Aansl_LT_LT30_30;Util_A15_Aansl_LT_LT30_50;Util_A16_Aansl_LT_LT30_70;Util_A17_Aansl_LT_TEO;Util_A18_Aansl_LT_BuurtWKO;Util_A19_Aansl_MT_Restwarmte;Util_A20_Aansl_MT_Geothermie;Util_A21_Aansl_MT_WijkWKK;Util_A22_Aansl_MT_BioWKK;Util_A23_Aansl_H2;Util_A30_Aansl_LabelA;Util_A31_Aansl_LabelB;Util_A32_Aansl_LabelC;Util_A33_Aansl_LabelD;Util_A34_Aansl_LabelE;Util_A35_Aansl_LabelF;H15_CO2_uitstoot;H16_Nat_meerkost;H17_Nat_meerkost_CO2;H18_Nat_meerkost_WEQ;nr_OrgEntity
BU01640203;BU01640203;Klein Driene;WK016402;Wijk 02 Noord;GM0164;Hengelo;Twente;Overijssel;854;106;893;76570;5009;False;28980;15458;5823;234;0;7465;995;28980;22951;0;7976;0;0;-1946;0;1281;854;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;463;77;56;223;0;0;3293;915;89;0;853;1435;47;3293;1004;0;1703;0;0;586;0;143;106;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;106;0;0;0;0;1358;-72372;-750;-72372;231
BU01640204;BU01640204;t Rot;WK016402;Wijk 02 Noord;GM0164;Hengelo;Twente;Overijssel;73;8;95;10029;2858;False;2978;1692;577;0;0;708;30;2978;2429;0;744;0;0;-195;0;110;73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51;0;0;10;0;0;2296;890;53;0;516;837;12;2296;929;0;1000;0;0;366;0;81;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;193;-9594;-1586;-9594;232
BU01640300;BU01640300;Bovenhoek;WK016403;Wijk 03 Hasseler Es;GM0164;Hengelo;Twente;Overijssel;926;10;954;111201;3636;False;41566;25150;7376;30;0;9009;599;41566;34427;0;9458;0;0;-2319;0;1389;926;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;78;189;609;0;0;1843;450;15;0;135;1242;9;1843;454;0;1292;0;0;97;0;104;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;1962;-45761;-314;-45761;233
BU01640301;BU01640301;Schothorsthoek;WK016403;Wijk 03 Hasseler Es;GM0164;Hengelo;Twente;Overijssel;278;10;313;47353;4473;False;16918;11789;2432;7;0;2690;306;16918;14714;0;2853;0;0;-648;0;417;278;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6;31;122;0;0;1985;724;58;0;394;809;17;1985;776;0;940;0;0;268;0;127;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;873;-3690;-57;-3690;234
BU01640302;BU01640302;Bartelinkshoek;WK016403;Wijk 03 Hasseler Es;GM0164;Hengelo;Twente;Overijssel;559;8;566;64539;812;False;24153;14394;4385;8;0;5367;363;24153;19931;0;5617;0;0;-1394;0;839;559;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;17;102;424;0;0;564;237;26;0;153;148;5;564;264;0;197;0;0;104;0;23;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;1136;-33771;-352;-33771;235
BU01640303;BU01640303;Tijertshoek;WK016403;Wijk 03 Hasseler Es;GM0164;Hengelo;Twente;Overijssel;497;6;508;52709;1423;False;21603;12775;3936;5;0;4886;938;21603;17750;0;5105;0;0;-1252;0;746;497;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;13;56;425;0;0;1103;530;47;0;311;215;32;1103;575;0;313;0;0;215;0;41;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;1032;-22775;-270;-22775;236
BU01640304;BU01640304;Sogtoenhoek;WK016403;Wijk 03 Hasseler Es;GM0164;Hengelo;Twente;Overijssel;725;58;891;83653;21553;False;30176;17689;5540;13;0;6934;1017;30176;24703;0;7258;0;0;-1786;0;1088;725;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46;24;143;477;0;0;15401;3822;190;0;1811;9579;176;15401;3938;0;10182;0;0;1281;0;614;58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58;0;0;0;0;1624;-29773;-283;-29773;237
BU01640305;BU01640305;Bruninkshoek;WK016403;Wijk 03 Hasseler Es;GM0164;Hengelo;Twente;Overijssel;453;3;454;58372;31;False;21406;13256;3654;9;0;4486;902;21406;17822;0;4712;0;0;-1129;0;680;453;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;77;343;0;0;19;1;0;0;4;14;0;19;1;0;15;0;0;3;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1002;-35053;-437;-35053;238
BU01640306;BU01640306;Middelhoek;WK016403;Wijk 03 Hasseler Es;GM0164;Hengelo;Twente;Overijssel;634;10;638;82077;494;False;30857;19509;5130;16;0;6202;541;30857;25884;0;6520;0;0;-1547;0;951;634;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;17;121;426;0;0;314;28;2;0;59;224;1;314;30;0;242;0;0;41;0;14;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;1457;-44999;-427;-44999;239
BU01640307;BU01640307;Molendijkhoek;WK016403;Wijk 03 Hasseler Es;GM0164;Hengelo;Twente;Overijssel;687;16;718;90104;3930;False;33281;20952;5557;25;0;6747;881;33281;27864;0;7103;0;0;-1686;0;1031;687;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;24;154;435;0;0;1280;516;27;0;110;628;18;1280;533;0;671;0;0;76;0;112;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;1597;-42320;-381;-42320;240
