BU_CODE;I01_buurtcode;I02_buurtnaam;I03_wijkcode;I04_wijknaam;I05_gemeentecode;I06_gemeentenaam;I07_energieregionaam;I08_provincienaam;I09_aantal_woningen;I10_aantal_utiliteit;I11_woningequivalenten;Uitgesloten;H01_warmtetotaal;H02_Vraag_aardgas;H03_Vraag_groengas;H04_Vraag_elekwarmte;H05_Vraag_MTwarmte;H06_Vraag_LTwarmte;H07_Warmte_hectare;H08_Vraag_koude;H09_Vraag_elektotaal;H10_CO2_reductie;H11_Nat_abskosten;H12_Nat_meerkosten;H13_Nat_meerkost_CO2;H16_Nat_meerkost_WEQ;nr_OrgEntity
BU04020404;BU04020404;Staatsliedenkwartier;WK040204;Zuid;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;1620;256;1745;False;40;26;0;0;0;14;1655;2;13;2071;1451534;-425418;-205;-244;5246
BU04020405;BU04020405;Zeeheldenkwartier;WK040204;Zuid;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;2277;429;2422;False;31;18;0;0;0;13;1371;2;12;2581;1577595;-600810;-233;-248;5247
BU04020501;BU04020501;Schilderskwartier;WK040205;Zuidoost;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;1437;247;2061;False;45;31;0;0;0;14;1069;2;21;3120;2529962;-494161;-158;-240;5248
BU04020502;BU04020502;t Hoogt van t Kruis;WK040205;Zuidoost;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;624;51;676;False;41;33;0;0;0;8;200;3;13;631;713492;-100514;-159;-149;5249
BU04020503;BU04020503;Arenaparkkwartier;WK040205;Zuidoost;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;240;155;1621;False;34;0;0;0;34;0;1107;1;45;3449;2090142;-1033933;-300;-638;5250
BU04020504;BU04020504;West-Indiëkwartier;WK040205;Zuidoost;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;97;4;122;False;52;50;0;2;0;0;200;2;17;227;239107;6561;29;54;5251
BU04020505;BU04020505;Van Riebeeckkwartier;WK040205;Zuidoost;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;1933;209;2148;False;28;28;0;0;0;0;1416;1;12;810;1837917;-11843;-15;-6;5252
BU04020506;BU04020506;Egelshoek;WK040205;Zuidoost;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;0;2;3;False;5;4;0;1;0;0;3;8;66;1;19270;1575;1201;566;5253
BU04020601;BU04020601;Geuzenbuurt;WK040206;Oost;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;1200;111;1560;False;37;0;0;0;37;0;2086;1;16;3938;716147;-1072563;-272;-688;5254
BU04020602;BU04020602;Electrobuurt;WK040206;Oost;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;1066;47;1289;False;31;31;0;0;0;0;1723;1;17;830;1391387;-16267;-20;-13;5255
BU04020603;BU04020603;Kleine Driftbuurt;WK040206;Oost;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;1916;142;2269;False;32;29;0;0;0;3;1558;1;16;1340;2326787;-40355;-30;-18;5256
BU04020604;BU04020604;Liebergen;WK040206;Oost;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;2251;84;2464;False;31;29;0;0;0;2;1550;1;13;1364;2296899;-63383;-46;-26;5257
