BU_CODE;I01_buurtcode;I02_buurtnaam;I03_wijkcode;I04_wijknaam;I05_gemeentecode;I06_gemeentenaam;I07_energieregionaam;I08_provincienaam;I09_aantal_woningen;I10_aantal_utiliteit;I11_woningequivalenten;I12_opp_woningen;I13_opp_utiliteit;Uitgesloten;Woning_H01_Vraag_Totaal;Woning_H02_Vraag_Ruimteverwarming;Woning_H03_Vraag_Tapwater;Woning_H04_Vraag_Ventilatie;Woning_H05_Vraag_Koude;Woning_H06_Vraag_Apparaten;Woning_H07_Vraag_perhectare;Woning_H08_Input_Totaal;Woning_H09_Input_Aardgas;Woning_H10_Input_Duurzaamgas;Woning_H11_Input_Elektriciteit;Woning_H12_Input_MTwarmte;Woning_H13_Input_LTwarmte;Woning_H14_Saldo_Omgevingswarmte;Woning_H19_Waarde_hernieuwbaar_gas;Woning_H21_CapaciteitsvraagE;Woning_A01_Aansl_aardgas;Woning_A02_Aansl_eWP;Woning_A03_Aansl_MT;Woning_A04_Aansl_LT;Woning_A05_Aansl_hWP_HG;Woning_A06_Aansl_HR_HG;Woning_A10_Aansl_LT_WKO;Woning_A11_Aansl_LT_LT15_30;Woning_A12_Aansl_LT_LT15_50;Woning_A13_Aansl_LT_LT15_70;Woning_A14_Aansl_LT_LT30_30;Woning_A15_Aansl_LT_LT30_50;Woning_A16_Aansl_LT_LT30_70;Woning_A17_Aansl_LT_TEO;Woning_A18_Aansl_LT_BuurtWKO;Woning_A19_Aansl_MT_Restwarmte;Woning_A20_Aansl_MT_Geothermie;Woning_A21_Aansl_MT_WijkWKK;Woning_A22_Aansl_MT_BioWKK;Woning_A23_Aansl_H2;Woning_A30_Aansl_LabelA;Woning_A31_Aansl_LabelB;Woning_A32_Aansl_LabelC;Woning_A33_Aansl_LabelD;Woning_A34_Aansl_LabelE;Woning_A35_Aansl_LabelF;Util_H01_Vraag_Totaal;Util_H02_Vraag_Ruimteverwarming;Util_H03_Vraag_Tapwater;Util_H04_Vraag_Ventilatie;Util_H05_Vraag_Koude;Util_H06_Vraag_Apparaten;Util_H07_Vraag_perhectare;Util_H08_Input_Totaal;Util_H09_Input_Aardgas;Util_H10_Input_Duurzaamgas;Util_H11_Input_Elektriciteit;Util_H12_Input_MTwarmte;Util_H13_Input_LTwarmte;Util_H14_Saldo_Omgevingswarmte;Util_H19_Waarde_hernieuwbaar_gas;Util_H21_CapaciteitsvraagE;Util_A01_Aansl_aardgas;Util_A02_Aansl_eWP;Util_A03_Aansl_MT;Util_A04_Aansl_LT;Util_A05_Aansl_hWP_HG;Util_A06_Aansl_HR_HG;Util_A10_Aansl_LT_WKO;Util_A11_Aansl_LT_LT15_30;Util_A12_Aansl_LT_LT15_50;Util_A13_Aansl_LT_LT15_70;Util_A14_Aansl_LT_LT30_30;Util_A15_Aansl_LT_LT30_50;Util_A16_Aansl_LT_LT30_70;Util_A17_Aansl_LT_TEO;Util_A18_Aansl_LT_BuurtWKO;Util_A19_Aansl_MT_Restwarmte;Util_A20_Aansl_MT_Geothermie;Util_A21_Aansl_MT_WijkWKK;Util_A22_Aansl_MT_BioWKK;Util_A23_Aansl_H2;Util_A30_Aansl_LabelA;Util_A31_Aansl_LabelB;Util_A32_Aansl_LabelC;Util_A33_Aansl_LabelD;Util_A34_Aansl_LabelE;Util_A35_Aansl_LabelF;H15_CO2_uitstoot;H16_Nat_meerkost;H17_Nat_meerkost_CO2;H18_Nat_meerkost_WEQ;nr_OrgEntity
BU01640203;BU01640203;Klein Driene;WK016402;Wijk 02 Noord;GM0164;Hengelo;Twente;Overijssel;854;106;893;76570;5009;False;31975;18453;5823;234;0;7465;1135;31975;25830;0;7976;0;0;-1831;0;0;854;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;463;77;56;144;37;5;4321;2303;89;0;493;1435;112;4321;2339;0;1600;0;0;382;0;0;106;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;14;0;83;0;1639;-144690;0;0;231
BU01640204;BU01640204;t Rot;WK016402;Wijk 02 Noord;GM0164;Hengelo;Twente;Overijssel;73;8;95;10029;2858;False;3357;2071;577;0;0;708;35;3357;2794;0;744;0;0;-181;0;0;73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51;0;0;0;1;0;2237;1050;53;0;297;837;15;2237;1083;0;938;0;0;216;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;2;0;230;-23343;0;0;232
BU01640300;BU01640300;Bovenhoek;WK016403;Wijk 03 Hasseler Es;GM0164;Hengelo;Twente;Overijssel;926;10;954;111201;3636;False;47863;31447;7376;30;0;9009;715;47863;40482;0;9458;0;0;-2077;0;0;926;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;78;189;20;3;1;1867;532;15;0;78;1242;10;1867;532;0;1276;0;0;59;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;6;0;1;0;2339;-158732;0;0;233
BU01640301;BU01640301;Schothorsthoek;WK016403;Wijk 03 Hasseler Es;GM0164;Hengelo;Twente;Overijssel;278;10;313;47353;4473;False;19362;14233;2432;7;0;2690;358;19362;17064;0;2853;0;0;-554;0;0;278;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6;31;8;2;1;2386;1292;58;0;227;809;29;2386;1322;0;892;0;0;171;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;2;0;1051;-56465;0;0;234
BU01640302;BU01640302;Bartelinkshoek;WK016403;Wijk 03 Hasseler Es;GM0164;Hengelo;Twente;Overijssel;559;8;566;64539;812;False;27946;18186;4385;8;0;5367;437;27946;23577;0;5617;0;0;-1248;0;0;559;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;17;102;14;4;0;620;358;26;0;88;148;7;620;380;0;178;0;0;62;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;1;0;1366;-88425;0;0;235
BU01640303;BU01640303;Tijertshoek;WK016403;Wijk 03 Hasseler Es;GM0164;Hengelo;Twente;Overijssel;497;6;508;52709;1423;False;25032;16205;3936;5;0;4886;1131;25032;21048;0;5105;0;0;-1120;0;0;497;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;13;56;29;2;0;1068;627;47;0;179;215;38;1068;668;0;276;0;0;125;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;1;0;1240;-81785;0;0;236
BU01640304;BU01640304;Sogtoenhoek;WK016403;Wijk 03 Hasseler Es;GM0164;Hengelo;Twente;Overijssel;725;58;891;83653;21553;False;34745;22258;5540;13;0;6934;1217;34745;29096;0;7258;0;0;-1610;0;0;725;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46;24;143;17;0;0;15321;4508;190;0;1045;9579;206;15321;4598;0;9963;0;0;760;0;0;58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;8;0;2;0;1951;-230972;0;0;237
BU01640305;BU01640305;Bruninkshoek;WK016403;Wijk 03 Hasseler Es;GM0164;Hengelo;Twente;Overijssel;453;3;454;58372;31;False;24791;16642;3654;9;0;4486;1082;24791;21077;0;4712;0;0;-998;0;0;453;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;77;13;1;0;18;2;0;0;2;14;0;18;2;0;15;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1200;-72066;0;0;238
BU01640306;BU01640306;Middelhoek;WK016403;Wijk 03 Hasseler Es;GM0164;Hengelo;Twente;Overijssel;634;10;638;82077;494;False;35562;24213;5130;16;0;6202;644;35562;30408;0;6520;0;0;-1366;0;0;634;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;17;121;15;0;0;306;46;2;0;34;224;1;306;47;0;235;0;0;24;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;6;0;1734;-102368;0;0;239
BU01640307;BU01640307;Molendijkhoek;WK016403;Wijk 03 Hasseler Es;GM0164;Hengelo;Twente;Overijssel;687;16;718;90104;3930;False;38294;25965;5557;25;0;6747;1047;38294;32684;0;7103;0;0;-1493;0;0;687;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;24;154;11;3;0;1325;607;27;0;63;628;21;1325;621;0;658;0;0;46;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;14;0;0;0;1898;-116921;0;0;240
