BU_CODE;I01_buurtcode;I02_buurtnaam;I03_wijkcode;I04_wijknaam;I05_gemeentecode;I06_gemeentenaam;I07_energieregionaam;I08_provincienaam;I09_aantal_woningen;I10_aantal_utiliteit;I11_woningequivalenten;Uitgesloten;Woning_H01_Vraag_Totaal;Woning_H02_Vraag_Ruimteverwarming;Woning_H03_Vraag_Tapwater;Woning_H04_Vraag_Ventilatie;Woning_H05_Vraag_Koude;Woning_H06_Vraag_Apparaten;Woning_H07_Vraag_perhectare;Woning_H08_Input_Totaal;Woning_H09_Input_Aardgas;Woning_H10_Input_Duurzaamgas;Woning_H11_Input_Elektriciteit;Woning_H12_Input_MTwarmte;Woning_H13_Input_LTwarmte;Woning_H14_Saldo_Omgevingswarmte;Woning_H15_CO2_uitstoot;Woning_H16_Nat_meerkost;Woning_H17_Nat_meerkost_CO2;Woning_H18_Nat_meerkost_WEQ;Woning_H19_Waarde_hernieuwbaar_gas;Woning_A01_Aansl_aardgas;Woning_A02_Aansl_eWP;Woning_A03_Aansl_MT;Woning_A04_Aansl_LT;Woning_A05_Aansl_hWP_HG;Woning_A06_Aansl_HR_HG;Woning_A10_Aansl_LT_WKO;Woning_A11_Aansl_LT_LT15_30;Woning_A12_Aansl_LT_LT15_50;Woning_A13_Aansl_LT_LT15_70;Woning_A14_Aansl_LT_LT30_30;Woning_A15_Aansl_LT_LT30_50;Woning_A16_Aansl_LT_LT30_70;Woning_A17_Aansl_LT_TEO;Woning_A18_Aansl_LT_BuurtWKO;Woning_A19_Aansl_MT_Restwarmte;Woning_A20_Aansl_MT_Geothermie;Woning_A21_Aansl_MT_WijkWKK;Woning_A22_Aansl_MT_BioWKK;Woning_A23_Aansl_H2;Woning_A30_Aansl_LabelA;Woning_A31_Aansl_LabelB;Woning_A32_Aansl_LabelC;Woning_A33_Aansl_LabelD;Woning_A34_Aansl_LabelE;Woning_A35_Aansl_LabelF;Util_H01_Vraag_Totaal;Util_H02_Vraag_Ruimteverwarming;Util_H03_Vraag_Tapwater;Util_H04_Vraag_Ventilatie;Util_H05_Vraag_Koude;Util_H06_Vraag_Apparaten;Util_H07_Vraag_perhectare;Util_H08_Input_Totaal;Util_H09_Input_Aardgas;Util_H10_Input_Duurzaamgas;Util_H11_Input_Elektriciteit;Util_H12_Input_MTwarmte;Util_H13_Input_LTwarmte;Util_H14_Saldo_Omgevingswarmte;Util_H15_CO2_uitstoot;Util_H16_Nat_meerkost;Util_H17_Nat_meerkost_CO2;Util_H18_Nat_meerkost_WEQ;Util_H19_Waarde_hernieuwbaar_gas;Util_A01_Aansl_aardgas;Util_A02_Aansl_eWP;Util_A03_Aansl_MT;Util_A04_Aansl_LT;Util_A05_Aansl_hWP_HG;Util_A06_Aansl_HR_HG;Util_A10_Aansl_LT_WKO;Util_A11_Aansl_LT_LT15_30;Util_A12_Aansl_LT_LT15_50;Util_A13_Aansl_LT_LT15_70;Util_A14_Aansl_LT_LT30_30;Util_A15_Aansl_LT_LT30_50;Util_A16_Aansl_LT_LT30_70;Util_A17_Aansl_LT_TEO;Util_A18_Aansl_LT_BuurtWKO;Util_A19_Aansl_MT_Restwarmte;Util_A20_Aansl_MT_Geothermie;Util_A21_Aansl_MT_WijkWKK;Util_A22_Aansl_MT_BioWKK;Util_A23_Aansl_H2;nr_OrgEntity
BU04020801;BU04020801;Hilversumse Meent;WK040208;Hilversumse Meent;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;1829;86;1897;False;41;23;8;1;0;9;562;41;0;32;11;0;0;-3;0;2007066;537;1059;0;0;0;0;0;0;1829;0;0;0;0;0;0;0;0;0;0;0;0;0;1829;182;1647;0;0;0;0;3;1;0;0;0;2;14;3;0;32;3;0;0;-32;0;2007066;537;1059;0;0;0;0;0;0;86;0;0;0;0;0;0;0;0;0;0;0;0;0;86;970
BU04020901;BU04020901;Landelijk Gebied 91;WK040209;Landelijk Gebied;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;12;23;99;False;7;5;1;0;0;1;1;7;0;27;6;0;0;-26;0;84078;408;851;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;12;2;10;0;0;0;0;70;21;1;0;14;33;3;70;0;27;42;0;0;1;0;84078;408;851;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;23;971
BU04020902;BU04020902;Landelijk Gebied 92;WK040209;Landelijk Gebied;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;0;5;16;False;0;0;0;0;0;0;0;0;0;26;4;0;0;-30;0;9994;426;642;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80;27;1;0;13;40;6;80;0;26;47;0;0;7;0;9994;426;642;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;5;972
BU04020903;BU04020903;Landelijk Gebied 93;WK040209;Landelijk Gebied;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;96;44;651;False;5;3;1;0;0;1;4;5;0;32;4;0;0;-31;0;623387;234;959;0;0;0;0;0;0;96;0;0;0;0;0;0;0;0;0;0;0;0;0;96;78;18;0;0;0;0;65;27;3;0;6;29;31;65;0;32;33;0;0;0;0;623387;234;959;0;0;0;0;0;0;44;0;0;0;0;0;0;0;0;0;0;0;0;0;44;973
BU04020904;BU04020904;Landelijk Gebied 94;WK040209;Landelijk Gebied;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;37;13;86;False;27;19;4;1;0;4;13;27;0;33;8;0;0;-14;0;124913;475;1457;0;0;0;0;0;0;37;0;0;0;0;0;0;0;0;0;0;0;0;0;37;1;36;0;0;0;0;52;11;0;0;8;32;7;52;0;33;37;0;0;-19;0;124913;475;1457;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;13;974
BU04020905;BU04020905;Landelijk Gebied 95;WK040209;Landelijk Gebied;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;135;88;583;False;11;7;2;0;0;2;7;11;0;31;7;0;0;-27;0;682254;425;1171;0;0;0;0;0;0;135;0;0;0;0;0;0;0;0;0;0;0;0;0;135;18;117;0;0;0;0;55;21;2;0;12;19;18;55;0;31;27;0;0;-3;0;682254;425;1171;0;0;0;0;0;0;88;0;0;0;0;0;0;0;0;0;0;0;0;0;88;975
BU04020906;BU04020906;Landelijk Gebied 96;WK040209;Landelijk Gebied;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;6;2;10;False;44;31;5;1;0;6;4;44;0;52;12;0;0;-20;0;20409;668;2154;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;6;1;5;0;0;0;0;35;16;2;0;12;6;2;35;0;52;14;0;0;-31;0;20409;668;2154;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;976
BU04020907;BU04020907;Landelijk Gebied 97;WK040209;Landelijk Gebied;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;5;7;25;False;11;7;2;0;0;2;1;11;0;29;7;0;0;-25;0;27381;544;1101;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;4;0;0;0;0;74;20;1;0;17;36;2;74;0;29;47;0;0;-2;0;27381;544;1101;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;7;977
BU04060001;BU04060001;De Noord;WK040600;Wijk 00 Oude Dorp;GM0406;Huizen;Noord-Holland Zuid;Noord-Holland;1673;241;2166;False;34;19;6;1;0;7;946;34;0;31;10;0;0;-7;0;2645676;525;1222;0;0;0;0;0;0;1673;0;0;0;0;0;0;0;0;0;0;0;0;0;1673;180;1493;0;0;0;0;20;4;0;0;3;13;165;20;0;31;16;0;0;-26;0;2645676;525;1222;0;0;0;0;0;0;241;0;0;0;0;0;0;0;0;0;0;0;0;0;241;978
BU04060002;BU04060002;De Zuid;WK040600;Wijk 00 Oude Dorp;GM0406;Huizen;Noord-Holland Zuid;Noord-Holland;1260;67;1338;False;41;23;8;1;0;9;890;41;0;33;11;0;0;-3;0;1728185;553;1292;0;0;0;0;0;0;1260;0;0;0;0;0;0;0;0;0;0;0;0;0;1260;178;1082;0;0;0;0;5;1;0;0;1;3;34;5;0;33;5;0;0;-33;0;1728185;553;1292;0;0;0;0;0;0;67;0;0;0;0;0;0;0;0;0;0;0;0;0;67;979
