BU_CODE;WK_CODE;Gemeente;RES;Provincie;WarmteAllocatieOptie;Aantal_WoningEQ;Aantal_woningen;Aantal_utiliteiten;Vraag_Aardgas;Vraag_MT_Warmte;Vraag_LT_Warmte;Vraag_ElektrischeWarmte;Vraag_Koude;Vraag_Elektriciteit;Vraag_Warmte_totaal;Vraag_Warmte_perhectare;CO2_reductie;Nat_abskosten;Nat_meerkosten;Nat_meerkost_CO2;CO2_uitstoot_gas;CO2_uitstoot_elek;Maatschappelijke_kosten;Aansl_aardgas;Aansl_eWP;Aansl_MT;Aansl_LT;Aansl_hWPgroengas;Aansl_HRgroengas;nr_OrgEntity
BU04020405;WK040204;Hilversum;Noord-Holland Zuid;Noord-Holland;;2421.75385;2277;144.753846;0;25;0;0;2;7;34;1503;5051;6251350;3596528;712;0;0;4898361.85;0;0;2706;0;0;0;5247
BU04020501;WK040205;Hilversum;Noord-Holland Zuid;Noord-Holland;;2060.36154;1437;623.361538;0;33;0;0;2;13;47;1117;6747;8150708;4372821;648;0;0;6497222.35;0;0;1684;0;0;0;5248
BU04020502;WK040205;Hilversum;Noord-Holland Zuid;Noord-Holland;;675.9;624;51.9;0;35;0;0;3;6;47;230;1896;2483521;1360667;718;0;0;1908247.37;0;0;675;0;0;0;5249
BU04020503;WK040205;Hilversum;Noord-Holland Zuid;Noord-Holland;;1620.23846;240;1380.23846;0;24;0;0;1;41;34;1107;3449;5285300;1708824;495;0;0;4233696.2;0;0;395;0;0;0;5250
BU04020504;WK040205;Hilversum;Noord-Holland Zuid;Noord-Holland;;121.176923;97;24.1769231;0;50;0;0;2;5;70;269;566;681258;328582;580;0;0;556832.221;0;0;101;0;0;0;5251
BU04020505;WK040205;Hilversum;Noord-Holland Zuid;Noord-Holland;;2147.09231;1933;214.092308;0;23;0;0;1;8;31;1568;4149;5223413;2987792;720;0;0;4181143.41;0;0;2142;0;0;0;5252
BU04020506;WK040205;Hilversum;Noord-Holland Zuid;Noord-Holland;;2.78461538;0;2.78461538;0;9;0;0;8;62;12;7;2;49224;1972;993;0;0;40033.8119;0;0;2;0;0;0;5253
BU04020601;WK040206;Hilversum;Noord-Holland Zuid;Noord-Holland;;1559.46923;1200;359.469231;0;26;0;0;1;12;37;2086;3938;4616465;2490557;633;0;0;3668697.6;0;0;1311;0;0;0;5254
BU04020602;WK040206;Hilversum;Noord-Holland Zuid;Noord-Holland;;1288.54615;1066;222.546154;0;26;0;0;1;11;36;2001;3092;3649783;1978042;640;0;0;2870982.65;0;0;1113;0;0;0;5255
BU04020603;WK040206;Hilversum;Noord-Holland Zuid;Noord-Holland;;2268.59231;1916;352.592308;0;25;0;0;1;11;34;1656;4989;6092772;3258695;653;0;0;4721713.77;0;0;2058;0;0;0;5256
