BU_CODE;I01_buurtcode;I02_buurtnaam;I03_wijkcode;I04_wijknaam;I05_gemeentecode;I06_gemeentenaam;I07_energieregionaam;I08_provincienaam;I09_aantal_woningen;I10_aantal_utiliteit;I11_woningequivalenten;I12_opp_woningen;I13_opp_utiliteit;Uitgesloten;Woning_H01_Vraag_Totaal;Woning_H02_Vraag_Ruimteverwarming;Woning_H03_Vraag_Tapwater;Woning_H04_Vraag_Ventilatie;Woning_H05_Vraag_Koude;Woning_H06_Vraag_Apparaten;Woning_H07_Vraag_perhectare;Woning_H08_Input_Totaal;Woning_H09_Input_Aardgas;Woning_H10_Input_Duurzaamgas;Woning_H11_Input_Elektriciteit;Woning_H12_Input_MTwarmte;Woning_H13_Input_LTwarmte;Woning_H14_Saldo_Omgevingswarmte;Woning_H15_CO2_uitstoot;Woning_H16_Nat_meerkost;Woning_H17_Nat_meerkost_CO2;Woning_H18_Nat_meerkost_WEQ;Woning_H19_Waarde_hernieuwbaar_gas;Woning_A01_Aansl_aardgas;Woning_A02_Aansl_eWP;Woning_A03_Aansl_MT;Woning_A04_Aansl_LT;Woning_A05_Aansl_hWP_HG;Woning_A06_Aansl_HR_HG;Woning_A10_Aansl_LT_WKO;Woning_A11_Aansl_LT_LT15_30;Woning_A12_Aansl_LT_LT15_50;Woning_A13_Aansl_LT_LT15_70;Woning_A14_Aansl_LT_LT30_30;Woning_A15_Aansl_LT_LT30_50;Woning_A16_Aansl_LT_LT30_70;Woning_A17_Aansl_LT_TEO;Woning_A18_Aansl_LT_BuurtWKO;Woning_A19_Aansl_MT_Restwarmte;Woning_A20_Aansl_MT_Geothermie;Woning_A21_Aansl_MT_WijkWKK;Woning_A22_Aansl_MT_BioWKK;Woning_A23_Aansl_H2;Woning_A30_Aansl_LabelA;Woning_A31_Aansl_LabelB;Woning_A32_Aansl_LabelC;Woning_A33_Aansl_LabelD;Woning_A34_Aansl_LabelE;Woning_A35_Aansl_LabelF;Util_H01_Vraag_Totaal;Util_H02_Vraag_Ruimteverwarming;Util_H03_Vraag_Tapwater;Util_H04_Vraag_Ventilatie;Util_H05_Vraag_Koude;Util_H06_Vraag_Apparaten;Util_H07_Vraag_perhectare;Util_H08_Input_Totaal;Util_H09_Input_Aardgas;Util_H10_Input_Duurzaamgas;Util_H11_Input_Elektriciteit;Util_H12_Input_MTwarmte;Util_H13_Input_LTwarmte;Util_H14_Saldo_Omgevingswarmte;Util_H15_CO2_uitstoot;Util_H16_Nat_meerkost;Util_H17_Nat_meerkost_CO2;Util_H18_Nat_meerkost_WEQ;Util_H19_Waarde_hernieuwbaar_gas;Util_A01_Aansl_aardgas;Util_A02_Aansl_eWP;Util_A03_Aansl_MT;Util_A04_Aansl_LT;Util_A05_Aansl_hWP_HG;Util_A06_Aansl_HR_HG;Util_A10_Aansl_LT_WKO;Util_A11_Aansl_LT_LT15_30;Util_A12_Aansl_LT_LT15_50;Util_A13_Aansl_LT_LT15_70;Util_A14_Aansl_LT_LT30_30;Util_A15_Aansl_LT_LT30_50;Util_A16_Aansl_LT_LT30_70;Util_A17_Aansl_LT_TEO;Util_A18_Aansl_LT_BuurtWKO;Util_A19_Aansl_MT_Restwarmte;Util_A20_Aansl_MT_Geothermie;Util_A21_Aansl_MT_WijkWKK;Util_A22_Aansl_MT_BioWKK;Util_A23_Aansl_H2;nr_OrgEntity
BU19420001;BU19420001;Raadhuisplein;WK194200;Bussum Centrum;GM1942;Gooise Meren;Noord-Holland Zuid;Noord-Holland;834;150;1164;86411;42804;False;26;15;5;0;0;6;1157;26;0;22;7;0;0;-2;0;938914;382;807;0;0;0;0;0;0;834;0;0;0;0;0;0;0;0;0;0;0;0;0;0;131;157;197;349;0;0;26;6;0;0;4;16;359;26;0;6;17;0;0;3;0;938914;382;807;0;0;0;0;0;0;150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2590
BU19420002;BU19420002;Verbindingslaan;WK194200;Bussum Centrum;GM1942;Gooise Meren;Noord-Holland Zuid;Noord-Holland;635;86;793;62631;20503;False;33;19;6;0;0;7;1510;33;0;27;8;0;0;-2;0;706591;410;891;0;0;0;0;0;0;635;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;76;40;488;0;0;16;3;0;0;2;10;225;16;0;4;11;0;0;1;0;706591;410;891;0;0;0;0;0;0;86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2591
BU19420003;BU19420003;Batterijlaan;WK194200;Bussum Centrum;GM1942;Gooise Meren;Noord-Holland Zuid;Noord-Holland;499;37;568;55923;8862;False;40;24;7;0;0;9;1528;40;0;33;9;0;0;-2;0;578572;415;1020;0;0;0;0;0;0;499;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;29;34;433;0;0;9;2;0;0;2;5;123;9;0;2;6;0;0;1;0;578572;415;1020;0;0;0;0;0;0;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2592
BU19420004;BU19420004;Cereslaan;WK194200;Bussum Centrum;GM1942;Gooise Meren;Noord-Holland Zuid;Noord-Holland;567;51;656;53571;11516;False;35;20;7;0;0;8;1738;35;0;28;9;0;0;-2;0;541085;419;825;0;0;0;0;0;0;567;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66;20;71;410;0;0;11;2;0;0;2;7;104;11;0;2;8;0;0;1;0;541085;419;825;0;0;0;0;0;0;51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2593
BU19420005;BU19420005;Bijlstraat;WK194200;Bussum Centrum;GM1942;Gooise Meren;Noord-Holland Zuid;Noord-Holland;503;26;545;51237;5398;False;41;23;8;0;0;9;1468;41;0;33;10;0;0;-2;0;533334;418;979;0;0;0;0;0;0;503;0;0;0;0;0;0;0;0;0;0;0;0;0;0;132;9;29;333;0;0;5;2;0;0;2;2;84;5;0;2;2;0;0;1;0;533334;418;979;0;0;0;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2594
BU19420006;BU19420006;Nijverheidswerf;WK194200;Bussum Centrum;GM1942;Gooise Meren;Noord-Holland Zuid;Noord-Holland;420;52;511;36976;11727;False;32;18;6;0;0;8;1162;32;0;26;8;0;0;-2;0;429017;375;841;0;0;0;0;0;0;420;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;49;77;279;0;0;12;4;0;0;3;5;206;12;0;4;6;0;0;2;0;429017;375;841;0;0;0;0;0;0;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2595
BU19420007;BU19420007;Laarderwegkwartier;WK194200;Bussum Centrum;GM1942;Gooise Meren;Noord-Holland Zuid;Noord-Holland;633;141;718;58937;11027;False;33;19;6;0;0;8;987;33;0;27;8;0;0;-2;0;577719;409;805;0;0;0;0;0;0;633;0;0;0;0;0;0;0;0;0;0;0;0;0;0;59;136;133;305;0;0;9;2;0;0;1;6;81;9;0;2;6;0;0;1;0;577719;409;805;0;0;0;0;0;0;141;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2596
BU19420008;BU19420008;Spiegelzicht;WK194200;Bussum Centrum;GM1942;Gooise Meren;Noord-Holland Zuid;Noord-Holland;501;127;620;59095;15418;False;36;22;7;0;0;7;1158;36;0;30;8;0;0;-2;0;600952;404;970;0;0;0;0;0;0;501;0;0;0;0;0;0;0;0;0;0;0;0;0;0;63;39;16;383;0;0;15;3;0;0;2;10;118;15;0;3;11;0;0;2;0;600952;404;970;0;0;0;0;0;0;127;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2597
BU19420100;BU19420100;Prins Hendrikkwartier;WK194201;Brediuskwartier;GM1942;Gooise Meren;Noord-Holland Zuid;Noord-Holland;312;72;451;45974;17967;False;36;23;6;0;0;7;933;36;0;30;7;0;0;-2;0;521886;391;1159;0;0;0;0;0;0;312;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;12;292;0;0;28;6;0;0;6;15;199;28;0;6;17;0;0;4;0;521886;391;1159;0;0;0;0;0;0;72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2598
BU19420101;BU19420101;Hooftlaan;WK194201;Brediuskwartier;GM1942;Gooise Meren;Noord-Holland Zuid;Noord-Holland;249;55;389;29961;18151;False;26;15;5;0;0;6;701;26;0;22;6;0;0;-2;0;337074;406;867;0;0;0;0;0;0;249;0;0;0;0;0;0;0;0;0;0;0;0;0;0;114;1;7;127;0;0;30;9;0;0;4;16;331;30;0;9;17;0;0;3;0;337074;406;867;0;0;0;0;0;0;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2599
