BU_CODE;I01_buurtcode;I02_buurtnaam;I03_wijkcode;I04_wijknaam;I05_gemeentecode;I06_gemeentenaam;I07_energieregionaam;I08_provincienaam;I09_aantal_woningen;I10_aantal_utiliteit;I11_woningequivalenten;Uitgesloten;Woning_H01_Vraag_Totaal;Woning_H02_Vraag_Ruimteverwarming;Woning_H03_Vraag_Tapwater;Woning_H04_Vraag_Ventilatie;Woning_H05_Vraag_Koude;Woning_H06_Vraag_Apparaten;Woning_H07_Vraag_perhectare;Woning_H08_Input_Totaal;Woning_H09_Input_Aardgas;Woning_H10_Input_Duurzaamgas;Woning_H11_Input_Elektriciteit;Woning_H12_Input_MTwarmte;Woning_H13_Input_LTwarmte;Woning_H14_Saldo_Omgevingswarmte;Woning_H15_CO2_uitstoot;Woning_H16_Nat_meerkost;Woning_H17_Nat_meerkost_CO2;Woning_H18_Nat_meerkost_WEQ;Woning_H19_Waarde_hernieuwbaar_gas;Woning_A01_Aansl_aardgas;Woning_A02_Aansl_eWP;Woning_A03_Aansl_MT;Woning_A04_Aansl_LT;Woning_A05_Aansl_hWP_HG;Woning_A06_Aansl_HR_HG;Woning_A10_Aansl_LT_WKO;Woning_A11_Aansl_LT_LT15_30;Woning_A12_Aansl_LT_LT15_50;Woning_A13_Aansl_LT_LT15_70;Woning_A14_Aansl_LT_LT30_30;Woning_A15_Aansl_LT_LT30_50;Woning_A16_Aansl_LT_LT30_70;Woning_A17_Aansl_LT_TEO;Woning_A18_Aansl_LT_BuurtWKO;Woning_A19_Aansl_MT_Restwarmte;Woning_A20_Aansl_MT_Geothermie;Woning_A21_Aansl_MT_WijkWKK;Woning_A22_Aansl_MT_BioWKK;Woning_A23_Aansl_H2;Woning_A30_Aansl_LabelA;Woning_A31_Aansl_LabelB;Woning_A32_Aansl_LabelC;Woning_A33_Aansl_LabelD;Woning_A34_Aansl_LabelE;Woning_A35_Aansl_LabelF;Util_H01_Vraag_Totaal;Util_H02_Vraag_Ruimteverwarming;Util_H03_Vraag_Tapwater;Util_H04_Vraag_Ventilatie;Util_H05_Vraag_Koude;Util_H06_Vraag_Apparaten;Util_H07_Vraag_perhectare;Util_H08_Input_Totaal;Util_H09_Input_Aardgas;Util_H10_Input_Duurzaamgas;Util_H11_Input_Elektriciteit;Util_H12_Input_MTwarmte;Util_H13_Input_LTwarmte;Util_H14_Saldo_Omgevingswarmte;Util_H15_CO2_uitstoot;Util_H16_Nat_meerkost;Util_H17_Nat_meerkost_CO2;Util_H18_Nat_meerkost_WEQ;Util_H19_Waarde_hernieuwbaar_gas;Util_A01_Aansl_aardgas;Util_A02_Aansl_eWP;Util_A03_Aansl_MT;Util_A04_Aansl_LT;Util_A05_Aansl_hWP_HG;Util_A06_Aansl_HR_HG;Util_A10_Aansl_LT_WKO;Util_A11_Aansl_LT_LT15_30;Util_A12_Aansl_LT_LT15_50;Util_A13_Aansl_LT_LT15_70;Util_A14_Aansl_LT_LT30_30;Util_A15_Aansl_LT_LT30_50;Util_A16_Aansl_LT_LT30_70;Util_A17_Aansl_LT_TEO;Util_A18_Aansl_LT_BuurtWKO;Util_A19_Aansl_MT_Restwarmte;Util_A20_Aansl_MT_Geothermie;Util_A21_Aansl_MT_WijkWKK;Util_A22_Aansl_MT_BioWKK;Util_A23_Aansl_H2;nr_OrgEntity
BU19420201;BU19420201;Donderstraat;WK194202;Eng;GM1942;Gooise Meren;Noord-Holland Zuid;Noord-Holland;444;16;461;False;48;30;8;1;0;10;1113;48;0;0;21;0;0;27;0;482705;386;1048;0;0;441;0;3;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;443;0;0;0;0;3;1;0;0;0;3;16;3;0;0;3;0;0;0;0;482705;386;1048;0;0;15;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1290
BU19420202;BU19420202;Godelindebuurt;WK194202;Eng;GM1942;Gooise Meren;Noord-Holland Zuid;Noord-Holland;410;12;424;False;39;22;7;1;0;9;1355;39;0;0;18;0;2;19;0;363357;419;859;0;0;381;0;29;0;0;0;0;0;0;29;0;0;0;0;0;0;0;0;0;66;344;0;0;0;0;3;0;0;0;0;2;25;3;0;0;2;0;2;-1;0;363357;419;859;0;0;11;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1291
BU19420203;BU19420203;Waltherlaan;WK194202;Eng;GM1942;Gooise Meren;Noord-Holland Zuid;Noord-Holland;260;24;274;False;51;32;8;1;0;9;975;51;0;0;22;0;1;29;0;320727;428;1173;0;0;258;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;260;0;0;0;0;2;0;0;0;0;1;12;2;0;0;1;0;1;0;0;320727;428;1173;0;0;23;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1292
BU19420204;BU19420204;Bloemenbuurt;WK194202;Eng;GM1942;Gooise Meren;Noord-Holland Zuid;Noord-Holland;532;28;604;False;39;23;7;1;0;8;761;39;0;0;18;0;4;17;0;558222;363;925;0;0;475;0;57;0;0;0;0;0;0;57;0;0;0;0;0;0;0;0;0;28;504;0;0;0;0;8;3;0;0;1;4;87;8;0;0;6;0;4;-2;0;558222;363;925;0;0;27;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1293
BU19420205;BU19420205;Ooster Eng-Noord;WK194202;Eng;GM1942;Gooise Meren;Noord-Holland Zuid;Noord-Holland;920;252;1026;False;34;19;6;1;0;8;917;34;0;0;16;0;8;11;0;1095246;552;1068;0;0;586;0;334;0;0;0;0;0;0;334;0;0;0;0;0;0;0;0;0;68;852;0;0;0;0;7;1;0;0;1;4;58;7;0;0;7;0;8;-7;0;1095246;552;1068;0;0;248;0;4;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;1294
BU19420206;BU19420206;Ooster Eng-Zuid;WK194202;Eng;GM1942;Gooise Meren;Noord-Holland Zuid;Noord-Holland;1277;437;1573;False;30;16;6;0;0;7;739;30;0;0;15;0;4;11;0;1432446;442;911;0;0;1183;0;94;0;0;0;0;0;0;94;0;0;0;0;0;0;0;0;0;6;1271;0;0;0;0;14;4;1;0;2;7;152;14;0;0;9;0;4;1;0;1432446;442;911;0;0;429;0;8;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;1295
BU19420207;BU19420207;Midden Eng-Oost;WK194202;Eng;GM1942;Gooise Meren;Noord-Holland Zuid;Noord-Holland;802;82;851;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;802;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;127;675;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1296
BU19420208;BU19420208;Midden Eng-West;WK194202;Eng;GM1942;Gooise Meren;Noord-Holland Zuid;Noord-Holland;701;37;714;False;39;21;7;1;0;10;1157;39;0;0;18;0;1;20;0;602396;419;844;0;0;680;0;21;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;34;667;0;0;0;0;1;0;0;0;0;1;17;1;0;0;1;0;1;0;0;602396;419;844;0;0;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1297
BU19420209;BU19420209;Wester Eng;WK194202;Eng;GM1942;Gooise Meren;Noord-Holland Zuid;Noord-Holland;1070;261;1289;False;27;14;6;0;0;7;588;27;0;0;13;0;1;13;0;994265;450;772;0;0;988;0;82;0;0;0;0;0;0;82;0;0;0;0;0;0;0;0;0;71;999;0;0;0;0;16;5;0;0;2;8;166;16;0;0;10;0;1;4;0;994265;450;772;0;0;261;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1298
BU19420300;BU19420300;Lomanplein;WK194203;Spiegel;GM1942;Gooise Meren;Noord-Holland Zuid;Noord-Holland;392;64;523;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;392;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;378;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1299
