BU_CODE;WK_CODE;Gemeente;RES;Provincie;WarmteAllocatieOptie;Aantal_WoningEQ;Aantal_woningen;Aantal_utiliteiten;Vraag_Aardgas;Vraag_MT_Warmte;Vraag_LT_Warmte;Vraag_ElektrischeWarmte;Vraag_Koude;Vraag_Elektriciteit;Vraag_Warmte_totaal;Vraag_Warmte_perhectare;CO2_reductie;Nat_abskosten;Nat_meerkosten;Nat_meerkost_CO2;CO2_uitstoot_gas;CO2_uitstoot_elek;Maatschappelijke_kosten;Aansl_aardgas;Aansl_eWP;Aansl_MT;Aansl_LT;Aansl_hWPgroengas;Aansl_HRgroengas;nr_OrgEntity
BU04020403;WK040204;Hilversum;Noord-Holland Zuid;Noord-Holland;BioWKK;852.346154;810;42.3461538;0;47;0;0;2;13;47;1235;2631;410358;-868378;-330;0;194800.862;200733.243;0;0;937;0;0;0;5245
BU04020404;WK040204;Hilversum;Noord-Holland Zuid;Noord-Holland;;1744.03846;1620;124.038462;26;0;14;0;2;13;40;1655;2087;1743189;-520937;-250;2453406.53;400803.193;1019006.1;1228;9;0;639;0;0;5246
BU04020405;WK040204;Hilversum;Noord-Holland Zuid;Noord-Holland;;2421.75385;2277;144.753846;18;0;13;0;2;12;31;1371;2668;1936630;-718192;-269;2329916.51;525246.251;929429.4;1668;12;0;1026;0;0;5247
BU04020501;WK040205;Hilversum;Noord-Holland Zuid;Noord-Holland;;2060.36154;1437;623.361538;30;0;14;0;2;21;44;1045;3332;2651915;-1125972;-338;3388166.77;379501.424;1834594.61;1312;32;0;340;0;0;5248
BU04020502;WK040205;Hilversum;Noord-Holland Zuid;Noord-Holland;;675.9;624;51.9;32;0;8;0;3;13;40;195;680;976026;-146828;-216;1212329.05;158742.444;738159.941;483;11;0;181;0;0;5249
BU04020503;WK040205;Hilversum;Noord-Holland Zuid;Noord-Holland;BioWKK;1620.23846;240;1380.23846;0;34;0;0;1;45;34;1107;3449;1306621;-2269855;-658;0;54679.2053;608251.275;0;0;395;0;0;0;5250
BU04020504;WK040205;Hilversum;Noord-Holland Zuid;Noord-Holland;;121.176923;97;24.1769231;49;0;0;2;2;17;51;196;232;315344;-37332;-161;334178.096;27679.3927;282136.447;98;3;0;0;0;0;5251
BU04020505;WK040205;Hilversum;Noord-Holland Zuid;Noord-Holland;;2147.09231;1933;214.092308;26;0;0;0;1;13;26;1315;1072;2068386;-167235;-156;3051450.82;445877.586;1065777.52;2094;48;0;0;0;0;5252
BU04020506;WK040205;Hilversum;Noord-Holland Zuid;Noord-Holland;;2.78461538;0;2.78461538;4;0;0;1;8;66;5;3;1;47090;-162;-124;0;0;50245.4305;1;1;0;0;0;0;5253
BU04020601;WK040206;Hilversum;Noord-Holland Zuid;Noord-Holland;BioWKK;1559.46923;1200;359.469231;0;37;0;0;1;16;37;2086;3938;593750;-1532158;-389;0;275418.177;187616.916;0;0;1311;0;0;0;5254
BU04020602;WK040206;Hilversum;Noord-Holland Zuid;Noord-Holland;;1288.54615;1066;222.546154;28;0;0;1;1;17;29;1612;1094;1465455;-206286;-189;1994008.6;266286.568;887050.267;1083;30;0;0;0;0;5255
BU04020603;WK040206;Hilversum;Noord-Holland Zuid;Noord-Holland;;2268.59231;1916;352.592308;27;0;3;0;1;16;30;1461;1514;2570840;-263237;-174;3450466.78;474932.256;1543164.47;1980;67;0;11;0;0;5256
BU04020604;WK040206;Hilversum;Noord-Holland Zuid;Noord-Holland;;2463.03846;2251;212.038462;28;0;2;0;1;14;30;1500;1516;2604618;-236703;-156;3860200.88;570141.776;1507475.48;2271;49;0;15;0;0;5257
BU04020605;WK040206;Hilversum;Noord-Holland Zuid;Noord-Holland;;2858.4;2403;455.4;29;4;7;0;2;18;40;1503;2658;3575162;-493893;-186;5003665.16;629129.268;2170795.81;2301.3;50.4;262.9;16;0;0;5258
BU04020606;WK040206;Hilversum;Noord-Holland Zuid;Noord-Holland;;216.623077;204;12.6230769;29;0;0;0;2;12;29;346;59;311051;-7647;-130;356373.848;54229.7351;229111.052;207;1;0;0;0;0;5259
BU04020701;WK040207;Hilversum;Noord-Holland Zuid;Noord-Holland;;1031.49231;890;141.492308;37;0;0;1;2;16;38;1186;815;1420068;-128137;-157;2110448.48;232798.857;979544.198;901;27;0;0;0;0;5260
BU04020702;WK040207;Hilversum;Noord-Holland Zuid;Noord-Holland;;811.992308;767;44.9923077;37;0;0;0;2;14;37;1313;460;1037488;-28065;-61;1692561.37;201081.097;661353.819;817;32;0;0;0;0;5261
BU04020703;WK040207;Hilversum;Noord-Holland Zuid;Noord-Holland;;3926.90769;3684;242.907692;28;0;0;0;1;12;28;1179;1520;3922823;-196795;-129;6071984.14;877512.397;2085453.41;3910;50;0;0;0;0;5262
BU04020704;WK040207;Hilversum;Noord-Holland Zuid;Noord-Holland;;20.1307692;9;11.1307692;28;0;0;3;2;41;31;25;33;54279;-7014;-211;31078.1829;2453.40773;46885.5275;10;1;0;0;0;0;5263
BU04020801;WK040208;Hilversum;Noord-Holland Zuid;Noord-Holland;;1889.7;1827;62.7;35;0;0;0;2;13;35;641;670;2382740;-41274;-62;3720020.2;491917.995;1543262.7;1882;31;0;0;0;0;5264
BU04020901;WK040209;Hilversum;Noord-Holland Zuid;Noord-Holland;;93.4538462;12;81.4538462;7;0;0;4;4;40;11;1;199;377844;-37317;-187;36742.9785;3179.38213;365969.629;17;17;0;0;0;0;5265
BU04020902;WK040209;Hilversum;Noord-Holland Zuid;Noord-Holland;;15.5769231;0;15.5769231;0;0;6;4;5;45;10;2;26;55182;-7837;-302;0;0;52435.6842;1;3;0;1;0;0;5266
BU04020903;WK040209;Hilversum;Noord-Holland Zuid;Noord-Holland;RestWarmte;488.438462;19;469.438462;26;85;0;0;1;34;111;87;2474;907561;-418504;-169;0;4412.35;646043.205;0;0;54;0;0;0;5267
BU04020904;WK040209;Hilversum;Noord-Holland Zuid;Noord-Holland;;85.7076923;37;48.7076923;26;0;0;2;2;40;28;17;228;284294;-36102;-158;122303.75;10100.4371;255877.823;43;7;0;0;0;0;5268
